dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",8,512,0,33.745,594.519,2.08625,0.84064,631.382,631.191
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",8,512,1,30.3336,501.9,1.99659,0.448512,517.328,534.679
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",8,512,2,31.9104,482.741,1.99782,0.421856,510.118,517.071
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",8,512,3,30.2336,493.239,1.98177,0.420832,522.563,525.875
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",8,512,4,30.394,482.719,1.98321,0.448512,514.011,515.545
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",8,512,5,32.2507,513.168,1.99027,0.430048,537.093,547.839
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",8,512,6,32.0381,473.946,2.00097,0.432128,508.546,508.417
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",8,512,7,31.8886,499.677,1.98955,0.424928,533.945,533.98
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",8,512,8,31.9323,487.761,2.00468,0.432128,522.254,522.13
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",8,512,9,33.2619,487.124,2.06479,0.439264,523.041,522.89
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",8,512,10,32.0117,487.435,1.99722,0.422912,521.994,521.866
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",8,512,11,29.5933,479.36,1.97488,0.446464,506.985,511.375
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",8,512,12,32.2371,506.334,1.99399,0.426944,528.301,540.992
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",8,512,13,30.5143,507.722,1.98931,0.449536,537.869,540.675
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",8,512,14,30.1681,485.788,1.97743,0.444416,512.636,518.378
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",8,512,15,32.3955,514.09,2.00316,0.430112,549.054,548.918
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",8,512,16,29.3692,558.975,1.97142,0.446464,585.879,590.762
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",8,512,17,30.2197,509.419,2.03934,0.435168,541.56,542.113
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",8,512,18,29.9659,477.995,1.98678,0.423936,496.358,510.371
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",8,512,19,32.1235,477.978,1.99558,0.44336,512.665,512.54
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",8,512,20,31.964,513.46,1.98641,0.420864,547.943,547.831
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",8,512,21,29.9771,500.689,1.98328,0.41776,531.969,533.067
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",8,512,22,32.339,505.513,2.00324,0.437184,540.42,540.293
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",8,512,23,32.0232,479.054,1.99891,0.433088,513.625,513.509
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",8,512,24,32.3913,493.672,1.99116,0.420832,528.593,528.476
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",8,512,25,30.1634,491.14,1.98099,0.4208,520.286,523.706
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",8,512,26,32.2552,482.167,1.98954,0.420864,511.866,516.832
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",8,512,27,30.0649,495.663,1.97604,0.448512,513.047,528.153
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",8,512,28,31.8745,481.172,1.98467,0.419872,515.274,515.452
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",8,512,29,29.9713,473.42,1.98414,0.422912,493.96,505.798
