dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,512,0,0.799744,0,3659.07,1.54317,3661.56,3661.41
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,512,1,0.72736,0,3194.15,1.03322,3196,3195.91
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,512,2,0.72432,0,3186.19,1.02912,3188.04,3187.94
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,512,3,0.732288,0,3197.09,1.03731,3198.98,3198.86
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,512,4,0.728512,0,3185.34,1.0352,3187.22,3187.1
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,512,5,0.738016,0,3285.02,1.03014,3264.52,3286.79
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,512,6,0.726016,0,3194.51,1.03629,3196.37,3196.28
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,512,7,0.725984,0,3212.81,1.02502,3214.65,3214.56
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,512,8,0.730016,0,3192.31,1.03629,3194.2,3194.08
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,512,9,0.724896,0,3172.83,1.02605,3174.67,3174.58
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,512,10,0.732736,0,3184.83,1.024,3186.7,3186.59
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,512,11,0.727136,0,3183.92,1.03731,3185.78,3185.69
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,512,12,0.724736,0,3177.96,1.01888,3179.81,3179.7
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,512,13,0.726592,0,3190.7,1.02502,3192.54,3192.45
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,512,14,0.723584,0,3171.52,1.02707,3173.36,3173.27
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,512,15,0.724064,0,3180.29,1.02298,3182.13,3182.04
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,512,16,0.724576,0,3179.49,1.02093,3181.33,3181.23
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,512,17,0.725088,0,3170.39,1.02509,3172.24,3172.14
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,512,18,0.72928,0,3169.44,1.02093,3171.31,3171.19
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,512,19,0.726944,0,3273.95,1.03629,3263.1,3275.72
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,512,20,0.723072,0,3196.6,1.01786,3198.45,3198.35
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,512,21,0.725152,0,3181.2,1.02301,3183.03,3182.94
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,512,22,0.725216,0,3190.77,1.02906,3192.62,3192.53
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,512,23,0.724128,0,3202.13,1.02707,3203.97,3203.88
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,512,24,0.725216,0,3203.59,1.02093,3205.43,3205.34
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,512,25,0.731328,0,3324.86,1.04038,3326.75,3326.63
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,512,26,0.725344,0,3183.57,1.02298,3185.41,3185.32
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,512,27,0.723776,0,3166.04,1.02195,3167.88,3167.78
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,512,28,0.72384,0,3169.47,1.01987,3171.31,3171.21
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",4,512,29,0.72592,0,3186.39,1.02502,3188.23,3188.14
