dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"P | P | P | P | N | D",4,512,0,118.128,24.4487,11.7829,3.80006,154.559,158.16
3,double,uniform,CPU,"P | P | P | P | N | D",4,512,1,116.688,16.0001,11.8306,3.6055,145.283,148.124
3,double,uniform,CPU,"P | P | P | P | N | D",4,512,2,117.615,14.5727,11.8469,3.59629,144.153,147.631
3,double,uniform,CPU,"P | P | P | P | N | D",4,512,3,116.203,14.2374,11.8263,3.60346,142.502,145.87
3,double,uniform,CPU,"P | P | P | P | N | D",4,512,4,116.838,14.4846,11.8022,3.59731,143.632,146.723
3,double,uniform,CPU,"P | P | P | P | N | D",4,512,5,117.163,14.2702,11.7935,3.59936,143.6,146.826
3,double,uniform,CPU,"P | P | P | P | N | D",4,512,6,117.603,14.3008,11.8209,3.60141,143.153,147.326
3,double,uniform,CPU,"P | P | P | P | N | D",4,512,7,117.562,14.2747,11.8299,3.60653,143.815,147.274
3,double,uniform,CPU,"P | P | P | P | N | D",4,512,8,117.703,14.2862,11.8369,3.59117,143.92,147.417
3,double,uniform,CPU,"P | P | P | P | N | D",4,512,9,116.671,14.3175,11.7241,3.60346,143.595,146.316
3,double,uniform,CPU,"P | P | P | P | N | D",4,512,10,117.475,14.1367,11.7968,3.59322,143.069,147.002
3,double,uniform,CPU,"P | P | P | P | N | D",4,512,11,116.704,14.3788,11.7788,3.59219,144.311,146.454
3,double,uniform,CPU,"P | P | P | P | N | D",4,512,12,116.552,14.4324,11.8024,3.57581,143.329,146.363
3,double,uniform,CPU,"P | P | P | P | N | D",4,512,13,116.143,14.5503,11.7799,3.59629,143.383,146.069
3,double,uniform,CPU,"P | P | P | P | N | D",4,512,14,116.933,14.4202,11.731,3.6055,142.939,146.689
3,double,uniform,CPU,"P | P | P | P | N | D",4,512,15,116.707,14.1756,11.825,3.57581,142.527,146.283
3,double,uniform,CPU,"P | P | P | P | N | D",4,512,16,116.601,14.1892,11.8361,3.6055,142.533,146.231
3,double,uniform,CPU,"P | P | P | P | N | D",4,512,17,117.397,14.2861,11.7329,3.61165,143.7,147.028
3,double,uniform,CPU,"P | P | P | P | N | D",4,512,18,117.024,14.2504,11.8323,3.62496,142.543,146.732
3,double,uniform,CPU,"P | P | P | P | N | D",4,512,19,117.312,14.195,11.8373,3.62394,143.194,146.969
3,double,uniform,CPU,"P | P | P | P | N | D",4,512,20,117.164,14.3116,11.7912,3.61165,142.799,146.878
3,double,uniform,CPU,"P | P | P | P | N | D",4,512,21,117.547,14.2681,11.752,3.58707,142.97,147.154
3,double,uniform,CPU,"P | P | P | P | N | D",4,512,22,117.51,14.3135,11.7795,3.60141,143.796,147.204
3,double,uniform,CPU,"P | P | P | P | N | D",4,512,23,117.521,15.0666,11.7857,3.61062,144.494,147.984
3,double,uniform,CPU,"P | P | P | P | N | D",4,512,24,117.412,14.1395,11.8415,3.59424,142.736,146.987
3,double,uniform,CPU,"P | P | P | P | N | D",4,512,25,117.045,14.3152,11.8594,3.61984,143.452,146.839
3,double,uniform,CPU,"P | P | P | P | N | D",4,512,26,116.883,14.3104,11.7835,3.61165,143.709,146.588
3,double,uniform,CPU,"P | P | P | P | N | D",4,512,27,116.997,14.5748,11.8544,3.61779,143.828,147.044
3,double,uniform,CPU,"P | P | P | P | N | D",4,512,28,117.195,14.1329,11.7826,3.62701,142.721,146.738
3,double,uniform,CPU,"P | P | P | P | N | D",4,512,29,117.381,14.2894,11.7934,3.60858,143.65,147.072
