dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",8,512,0,1.35606,660.615,4.29941,1.02502,667.334,667.295
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",8,512,1,0.707488,489.611,4.26041,0.743456,495.253,495.322
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",8,512,2,0.701248,499.644,4.23869,0.733152,504.282,505.317
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",8,512,3,0.702688,492.033,4.22369,0.72704,496.187,497.686
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",8,512,4,0.702176,508.141,4.23614,0.735168,513.736,513.814
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",8,512,5,0.708864,495.492,4.23087,0.729024,498.68,501.16
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",8,512,6,0.716864,489.764,4.2922,0.753632,495.458,495.527
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",8,512,7,0.712768,485.896,4.25204,0.737248,491.526,491.598
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",8,512,8,0.704064,493.862,4.24173,0.73824,499.464,499.546
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",8,512,9,0.704352,511.463,4.23353,0.7352,517.052,517.136
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",8,512,10,0.705792,496.274,4.23498,0.72704,499.383,501.942
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",8,512,11,0.704576,508.438,4.23157,0.732128,514.017,514.106
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",8,512,12,0.703904,502.02,4.23077,0.729056,507.211,507.684
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",8,512,13,0.70016,491.238,4.23477,0.729056,496.826,496.902
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",8,512,14,0.699936,491.782,4.22515,0.728,496.859,497.435
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",8,512,15,0.70208,505.334,4.23748,0.72704,505.801,511.001
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",8,512,16,0.703648,498.766,4.23442,0.728032,500.196,504.432
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",8,512,17,0.703168,490.626,4.22989,0.727008,495.641,496.286
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",8,512,18,0.700992,508.728,4.23369,0.731104,511.505,514.393
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",8,512,19,0.702688,493.597,4.24811,0.728032,497.843,499.276
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",8,512,20,0.699744,485.106,4.23429,0.731104,490.685,490.771
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",8,512,21,0.702368,494.264,4.2314,0.733152,499.85,499.931
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",8,512,22,0.702208,497.366,4.22866,0.728,502.061,503.025
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",8,512,23,0.700768,503.257,4.23401,0.731136,506.18,508.923
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",8,512,24,0.69984,500.961,4.22814,0.729024,496.066,506.618
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",8,512,25,0.701056,505.765,4.23056,0.73008,508.433,511.426
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",8,512,26,0.703424,503.852,4.23541,0.732128,508.161,509.523
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",8,512,27,0.704096,494.129,4.29723,0.770048,499.206,499.9
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",8,512,28,0.70208,488.668,4.22595,0.732096,494.234,494.328
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",8,512,29,0.700128,515.982,4.22417,0.730112,521.331,521.636
