dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"D | D | D | D | N | D",4,512,0,118.094,23.811,15.8157,1.69267,155.393,159.414
3,double,uniform,CPU,"D | D | D | D | N | D",4,512,1,116.403,14.2472,14.4532,1.5575,142.321,146.661
3,double,uniform,CPU,"D | D | D | D | N | D",4,512,2,117.256,13.7857,13.5667,1.54624,142.189,146.155
3,double,uniform,CPU,"D | D | D | D | N | D",4,512,3,117.051,13.7506,13.5353,1.55136,141.392,145.888
3,double,uniform,CPU,"D | D | D | D | N | D",4,512,4,116.354,13.9046,13.4854,1.54931,142.166,145.293
3,double,uniform,CPU,"D | D | D | D | N | D",4,512,5,116.798,13.8617,13.4919,1.54726,142.443,145.699
3,double,uniform,CPU,"D | D | D | D | N | D",4,512,6,117.022,13.9161,13.5465,1.54726,142.352,146.032
3,double,uniform,CPU,"D | D | D | D | N | D",4,512,7,115.844,14.2889,13.5275,1.54317,141.325,145.203
3,double,uniform,CPU,"D | D | D | D | N | D",4,512,8,116.299,13.8299,13.5682,1.54522,141.898,145.242
3,double,uniform,CPU,"D | D | D | D | N | D",4,512,9,116.177,13.7629,13.5456,1.54726,141.3,145.033
3,double,uniform,CPU,"D | D | D | D | N | D",4,512,10,115.655,14.2494,13.5291,1.54214,141.032,144.975
3,double,uniform,CPU,"D | D | D | D | N | D",4,512,11,116.746,13.9821,13.5399,1.55136,142.355,145.819
3,double,uniform,CPU,"D | D | D | D | N | D",4,512,12,116.846,13.9733,13.507,1.54624,142.541,145.873
3,double,uniform,CPU,"D | D | D | D | N | D",4,512,13,116.931,13.7571,13.5593,1.54624,142.301,145.793
3,double,uniform,CPU,"D | D | D | D | N | D",4,512,14,117.27,13.8473,13.5306,1.53805,142.54,146.186
3,double,uniform,CPU,"D | D | D | D | N | D",4,512,15,117.198,13.7979,13.5436,1.5401,142.351,146.079
3,double,uniform,CPU,"D | D | D | D | N | D",4,512,16,117.463,13.8654,13.5258,1.54522,142.042,146.399
3,double,uniform,CPU,"D | D | D | D | N | D",4,512,17,116.5,13.9819,13.5101,1.54419,141.277,145.536
3,double,uniform,CPU,"D | D | D | D | N | D",4,512,18,116.684,13.8435,13.4813,1.55136,141.596,145.56
3,double,uniform,CPU,"D | D | D | D | N | D",4,512,19,117.131,13.8121,13.5774,1.54829,142.12,146.069
3,double,uniform,CPU,"D | D | D | D | N | D",4,512,20,115.923,13.8411,13.539,1.54829,142.051,144.851
3,double,uniform,CPU,"D | D | D | D | N | D",4,512,21,116.238,13.9799,13.5371,1.54112,140.993,145.296
3,double,uniform,CPU,"D | D | D | D | N | D",4,512,22,116.789,13.8085,13.4913,1.54726,142.512,145.636
3,double,uniform,CPU,"D | D | D | D | N | D",4,512,23,117.25,13.7821,13.5643,1.54726,142.093,146.143
3,double,uniform,CPU,"D | D | D | D | N | D",4,512,24,117.071,13.8952,13.501,1.54829,141.492,146.015
3,double,uniform,CPU,"D | D | D | D | N | D",4,512,25,115.768,14.3348,13.5248,1.55034,141.276,145.178
3,double,uniform,CPU,"D | D | D | D | N | D",4,512,26,116.775,13.6866,13.5168,1.54214,141.001,145.521
3,double,uniform,CPU,"D | D | D | D | N | D",4,512,27,117.344,13.7909,13.459,1.54931,141.521,146.143
3,double,uniform,CPU,"D | D | D | D | N | D",4,512,28,117.175,13.7721,13.5312,1.54931,142.557,146.027
3,double,uniform,CPU,"D | D | D | D | N | D",4,512,29,116.708,13.8196,13.5031,1.54214,142.086,145.573
