dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,0,125.593,0,4848.86,1.94662,4976.59,4976.4
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,1,125.966,0,4338.28,1.41005,4464.5,4465.65
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,2,125.253,0,4577.73,1.408,4670.01,4704.39
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,3,125.952,0,4369.82,1.4039,4497.28,4497.18
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,4,124.814,0,4322.32,1.40998,4448.68,4448.55
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,5,125.263,0,4545.49,1.40493,4630.46,4672.16
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,6,125.538,0,4354.88,1.39878,4481.92,4481.81
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,7,125.611,0,4349.06,1.4121,4476.22,4476.08
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,8,125.15,0,4529.56,1.39878,4623.1,4656.11
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,9,126.021,0,4346.48,1.39571,4474,4473.89
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,10,125.584,0,4326.45,1.41005,4453.57,4453.44
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,11,126.883,0,4346.43,1.40493,4474.82,4474.72
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,12,125.883,0,4372.58,1.39981,4499.97,4499.86
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,13,125.48,0,4368.5,1.40288,4495.52,4495.38
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,14,124.89,0,4346.87,1.41312,4473.28,4473.17
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,15,126.749,0,4338.7,1.41312,4463.39,4466.86
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,16,125.166,0,4324.27,1.39571,4450.94,4450.83
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,17,126.665,0,4334.37,1.41619,4462.56,4462.45
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,18,125.562,0,4332.18,1.39571,4453.77,4459.13
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,19,125.321,0,4330.35,1.40595,4457.18,4457.07
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,20,125.289,0,4310.26,1.41619,4437.1,4436.97
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,21,125.648,0,4329.08,1.4049,4456.24,4456.13
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,22,125.262,0,4317.41,1.39776,4444.17,4444.07
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,23,125.109,0,4534.61,1.39878,4630.59,4661.12
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,24,125.525,0,4329.39,1.39571,4456.41,4456.31
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,25,125.346,0,4325.91,1.40595,4452.76,4452.66
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,26,126.473,0,4320.05,1.41517,4448.04,4447.94
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,27,125.364,0,4324.14,1.39776,4451,4450.9
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,28,125.682,0,4328.32,1.41414,4455.54,4455.42
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,512,29,124.859,0,4323.53,1.39571,4449.89,4449.79
