dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",8,512,0,1.01539,618.74,1.47069,0.863168,623.535,622.09
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",8,512,1,0.39472,500.206,1.44972,0.565248,503.665,502.616
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",8,512,2,0.396192,487.999,1.44467,0.570368,491.465,490.41
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",8,512,3,0.38688,516.626,1.44082,0.562144,520.065,519.016
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",8,512,4,0.380576,494.272,1.43605,0.560096,496.929,496.649
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",8,512,5,0.390592,482.195,1.44541,0.569344,485.69,484.601
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",8,512,6,0.386112,485.282,1.44755,0.565248,486.836,487.68
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",8,512,7,0.3848,487.07,1.44135,0.569312,490.505,489.465
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",8,512,8,0.389312,489.453,1.46776,0.57952,492.969,491.889
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",8,512,9,0.3904,491.451,1.45711,0.569312,494.93,493.867
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",8,512,10,0.384256,495.136,1.4397,0.567264,498.581,497.527
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",8,512,11,0.3952,500.121,1.46393,0.582624,503.631,502.562
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",8,512,12,0.387168,498.46,1.443,0.567296,492.208,500.857
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",8,512,13,0.38016,491.063,1.4348,0.564192,485.7,493.442
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",8,512,14,0.383584,526.019,1.44292,0.569312,527.496,528.415
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",8,512,15,0.382048,496.443,1.43681,0.558016,496.942,498.82
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",8,512,16,0.384896,490.273,1.44011,0.566208,493.687,492.665
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",8,512,17,0.387072,506.401,1.44116,0.561152,509.814,508.79
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",8,512,18,0.382688,492.371,1.43244,0.561152,495.787,494.747
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",8,512,19,0.3928,501.667,1.45905,0.571392,502.902,504.09
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",8,512,20,0.387904,481.088,1.48107,0.583616,484.617,483.541
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",8,512,21,0.380864,491.357,1.43479,0.5632,488.352,493.736
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",8,512,22,0.385312,491.093,1.43263,0.557024,494.122,493.468
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",8,512,23,0.381408,482.095,1.43997,0.5632,481.771,484.48
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",8,512,24,0.379936,481.496,1.43358,0.557056,483.072,483.866
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",8,512,25,0.379904,479.485,1.42927,0.55808,480.806,481.852
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",8,512,26,0.38384,505.205,1.44394,0.5632,506.159,507.596
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",8,512,27,0.386752,492.064,1.4268,0.564192,495.479,494.442
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",8,512,28,0.383136,496.868,1.43729,0.561152,494.692,499.25
3,float,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",8,512,29,0.38416,488.805,1.43892,0.564224,492.22,491.192
