dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"D | D | D | D | N | D",6,512,0,1.23638,369.637,4.72258,1.02909,376.691,376.625
3,float,uniform,GPU,"D | D | D | D | N | D",6,512,1,0.614592,223.712,4.68638,0.618432,228.929,229.632
3,float,uniform,GPU,"D | D | D | D | N | D",6,512,2,0.618688,223.09,4.67965,0.617472,228.88,229.006
3,float,uniform,GPU,"D | D | D | D | N | D",6,512,3,0.612928,220.571,4.68051,0.6144,226.372,226.479
3,float,uniform,GPU,"D | D | D | D | N | D",6,512,4,0.62128,224.116,4.70289,0.621536,229.377,230.061
3,float,uniform,GPU,"D | D | D | D | N | D",6,512,5,0.606048,220.983,4.67802,0.61744,226.77,226.885
3,float,uniform,GPU,"D | D | D | D | N | D",6,512,6,0.615392,217.314,4.68687,0.616384,223.113,223.232
3,float,uniform,GPU,"D | D | D | D | N | D",6,512,7,0.611424,217.469,4.68755,0.614336,223.263,223.382
3,float,uniform,GPU,"D | D | D | D | N | D",6,512,8,0.613184,217.331,4.68224,0.614336,223.12,223.241
3,float,uniform,GPU,"D | D | D | D | N | D",6,512,9,0.614304,218.06,4.67875,0.615424,223.85,223.969
3,float,uniform,GPU,"D | D | D | D | N | D",6,512,10,0.615104,217.317,4.70238,0.616384,223.133,223.25
3,float,uniform,GPU,"D | D | D | D | N | D",6,512,11,0.616864,218.388,4.69,0.612288,224.186,224.307
3,float,uniform,GPU,"D | D | D | D | N | D",6,512,12,0.61232,219.501,4.68486,0.616384,225.304,225.414
3,float,uniform,GPU,"D | D | D | D | N | D",6,512,13,0.61408,218.245,4.68912,0.614368,224.04,224.162
3,float,uniform,GPU,"D | D | D | D | N | D",6,512,14,0.606656,221.836,4.68015,0.613312,227.614,227.736
3,float,uniform,GPU,"D | D | D | D | N | D",6,512,15,0.618528,218.192,4.70824,0.6256,224.043,224.145
3,float,uniform,GPU,"D | D | D | D | N | D",6,512,16,0.61568,219.862,4.74606,0.6256,225.753,225.849
3,float,uniform,GPU,"D | D | D | D | N | D",6,512,17,0.608512,218.327,4.68944,0.615392,224.125,224.24
3,float,uniform,GPU,"D | D | D | D | N | D",6,512,18,0.612416,219.435,4.68024,0.616384,225.232,225.344
3,float,uniform,GPU,"D | D | D | D | N | D",6,512,19,0.611904,218.522,4.68555,0.61232,224.307,224.432
3,float,uniform,GPU,"D | D | D | D | N | D",6,512,20,0.611872,217.488,4.68546,0.611296,223.284,223.397
3,float,uniform,GPU,"D | D | D | D | N | D",6,512,21,0.614432,219.615,4.6837,0.61232,225.416,225.525
3,float,uniform,GPU,"D | D | D | D | N | D",6,512,22,0.610336,217.559,4.68754,0.61536,223.351,223.472
3,float,uniform,GPU,"D | D | D | D | N | D",6,512,23,0.616064,218.311,4.68664,0.6144,224.123,224.228
3,float,uniform,GPU,"D | D | D | D | N | D",6,512,24,0.617792,217.49,4.68809,0.612288,223.293,223.408
3,float,uniform,GPU,"D | D | D | D | N | D",6,512,25,0.619968,217.558,4.68619,0.61952,223.358,223.484
3,float,uniform,GPU,"D | D | D | D | N | D",6,512,26,0.617632,218.543,4.68869,0.618432,224.35,224.468
3,float,uniform,GPU,"D | D | D | D | N | D",6,512,27,0.61856,218.818,4.67861,0.615456,224.017,224.731
3,float,uniform,GPU,"D | D | D | D | N | D",6,512,28,0.62176,222.458,4.67893,0.61536,228.257,228.374
3,float,uniform,GPU,"D | D | D | D | N | D",6,512,29,0.60912,217.404,4.67442,0.614368,223.189,223.302
