dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",8,512,0,1.06957,620.691,2.19767,1.23187,608.847,625.191
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",8,512,1,0.474336,486.471,2.14134,0.879552,473.033,489.966
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",8,512,2,0.470048,516.195,2.14191,0.878592,517.47,519.686
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",8,512,3,0.460032,489.864,2.15145,0.96768,480.279,493.443
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",8,512,4,0.478944,475.312,2.13957,0.887776,477.279,478.819
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",8,512,5,0.472832,481.047,2.10881,0.88672,457.774,484.515
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",8,512,6,0.45568,488.648,2.14543,0.968704,478.745,492.218
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",8,512,7,0.461536,487.985,2.17445,0.961536,484.335,491.582
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",8,512,8,0.461856,496.678,2.17873,0.953344,476.509,500.272
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",8,512,9,0.47312,484.63,2.17661,0.958464,475.643,488.239
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",8,512,10,0.452384,472.565,2.13948,0.963584,472.146,476.12
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",8,512,11,0.456416,490.184,2.14657,0.963584,480.662,493.751
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",8,512,12,0.455968,507.66,2.19518,0.964608,501.608,511.276
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",8,512,13,0.48336,498.72,2.16532,0.880608,499.753,502.249
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",8,512,14,0.457504,500.392,2.16315,0.965632,485.422,503.978
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",8,512,15,0.457312,495.481,2.12907,0.963584,493.018,499.031
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",8,512,16,0.46784,476.818,2.11245,0.882688,475.356,480.281
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",8,512,17,0.47776,475.889,2.16594,0.890816,479.532,479.424
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",8,512,18,0.458656,471.174,2.15959,0.96768,470.808,474.759
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",8,512,19,0.457088,476.077,2.14644,0.96256,456.699,479.643
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",8,512,20,0.47504,485.237,2.14827,0.959488,483.431,488.82
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",8,512,21,0.456032,476.191,2.14914,0.958464,457.462,479.755
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",8,512,22,0.457568,493.42,2.15245,0.959488,489.417,496.989
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",8,512,23,0.45968,474.112,2.16423,0.971776,474.713,477.708
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",8,512,24,0.47168,494.564,2.15245,0.971776,498.141,498.16
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",8,512,25,0.46576,476.907,2.21035,0.96256,476.806,480.546
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",8,512,26,0.468608,489.116,2.11283,0.881632,492.257,492.579
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",8,512,27,0.462272,480.071,2.17097,0.963584,483.626,483.668
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",8,512,28,0.4552,489.944,2.13332,0.960512,486.953,493.493
3,float,uniform,GPU,"P | P | P | P | Ns | Ds",8,512,29,0.469536,477.345,2.14068,0.879584,480.13,480.834
