dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,GPU,"P | P | P | P | N | D",4,512,0,1.49331,2103.11,11.982,4.30995,2088.32,2120.89
3,double,uniform,GPU,"P | P | P | P | N | D",4,512,1,1.40896,2033.94,11.9147,3.4191,2050.82,2050.68
3,double,uniform,GPU,"P | P | P | P | N | D",4,512,2,1.42064,2021.26,12.8026,3.45293,2039.1,2038.94
3,double,uniform,GPU,"P | P | P | P | N | D",4,512,3,1.42083,2096,12.7204,3.45293,2113.72,2113.59
3,double,uniform,GPU,"P | P | P | P | N | D",4,512,4,1.41408,2040.69,11.9122,3.4119,2056.86,2057.43
3,double,uniform,GPU,"P | P | P | P | N | D",4,512,5,1.41264,2040.95,11.9053,3.41498,2056.68,2057.69
3,double,uniform,GPU,"P | P | P | P | N | D",4,512,6,1.4216,2067.51,12.6958,3.45498,2083.58,2085.08
3,double,uniform,GPU,"P | P | P | P | N | D",4,512,7,1.41149,2018.73,11.9914,3.43958,2035.43,2035.57
3,double,uniform,GPU,"P | P | P | P | N | D",4,512,8,1.40566,2022.88,11.9094,3.40781,2039.74,2039.6
3,double,uniform,GPU,"P | P | P | P | N | D",4,512,9,1.40714,2014.54,11.9009,3.41494,2031.4,2031.27
3,double,uniform,GPU,"P | P | P | P | N | D",4,512,10,1.42061,2130.59,11.9167,3.41402,2147.5,2147.34
3,double,uniform,GPU,"P | P | P | P | N | D",4,512,11,1.40944,2018.75,11.9853,3.44054,2035.73,2035.59
3,double,uniform,GPU,"P | P | P | P | N | D",4,512,12,1.40861,2016.7,11.9128,3.41805,2033.57,2033.44
3,double,uniform,GPU,"P | P | P | P | N | D",4,512,13,1.40698,2010.27,11.9072,3.41501,2027.14,2027
3,double,uniform,GPU,"P | P | P | P | N | D",4,512,14,1.41811,2039.23,11.9604,3.43146,2056.2,2056.04
3,double,uniform,GPU,"P | P | P | P | N | D",4,512,15,1.42042,1975.85,12.7798,3.45293,1993.63,1993.5
3,double,uniform,GPU,"P | P | P | P | N | D",4,512,16,1.4071,2023.07,11.8991,3.41088,2039.93,2039.79
3,double,uniform,GPU,"P | P | P | P | N | D",4,512,17,1.40899,2052.73,11.9111,3.40781,2069.59,2069.45
3,double,uniform,GPU,"P | P | P | P | N | D",4,512,18,1.40672,1980.3,11.9097,3.41293,1997.17,1997.03
3,double,uniform,GPU,"P | P | P | P | N | D",4,512,19,1.40611,2039.04,11.9037,3.41302,2055.9,2055.76
3,double,uniform,GPU,"P | P | P | P | N | D",4,512,20,1.4048,2020.51,11.904,3.40886,2037.36,2037.22
3,double,uniform,GPU,"P | P | P | P | N | D",4,512,21,1.41674,2045.98,11.9627,3.43853,2062.96,2062.8
3,double,uniform,GPU,"P | P | P | P | N | D",4,512,22,1.40758,2052.53,11.9348,3.41398,2069.43,2069.29
3,double,uniform,GPU,"P | P | P | P | N | D",4,512,23,1.40758,2046.44,11.9144,3.41805,2063.32,2063.18
3,double,uniform,GPU,"P | P | P | P | N | D",4,512,24,1.40947,2021.32,11.9107,3.4119,2038.19,2038.05
3,double,uniform,GPU,"P | P | P | P | N | D",4,512,25,1.41021,2050.24,11.9036,3.41398,2067.1,2066.96
3,double,uniform,GPU,"P | P | P | P | N | D",4,512,26,1.40563,2007.39,11.9035,3.412,2024.24,2024.11
3,double,uniform,GPU,"P | P | P | P | N | D",4,512,27,1.41651,1979.13,11.9642,3.44368,1996.13,1995.95
3,double,uniform,GPU,"P | P | P | P | N | D",4,512,28,1.42278,2060.75,12.7737,3.4519,2078.47,2078.4
3,double,uniform,GPU,"P | P | P | P | N | D",4,512,29,1.4055,2126.84,11.9083,3.41498,2143.7,2143.57
