dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",6,465,0,0.47696,613.024,3.26518,1.752,618.709,618.518
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",6,465,1,0.42976,603.382,3.20157,1.01878,602.259,608.033
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",6,465,2,0.42624,599.059,3.21199,1.01984,602.749,603.717
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",6,465,3,0.441856,588.41,3.21134,1.03523,593.235,593.099
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",6,465,4,0.425856,593.538,3.20133,1.01779,595.106,598.183
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",6,465,5,0.432352,598.384,3.19304,1.03216,603.192,603.041
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",6,465,6,0.441856,605.719,3.2863,1.05059,610.023,610.498
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",6,465,7,0.43488,584.02,3.21273,1.0895,588.727,588.757
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",6,465,8,0.44496,591.038,3.21392,1.03005,595.862,595.727
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",6,465,9,0.432512,585.904,3.19675,1.09568,587.567,590.629
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",6,465,10,0.431328,589.664,3.21479,1.0311,593.092,594.342
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",6,465,11,0.432192,582.666,3.21077,1.11821,581.735,587.427
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",6,465,12,0.434528,568.272,3.21057,1.09773,572.773,573.015
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",6,465,13,0.43008,579.269,3.19554,1.02909,581.047,583.924
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",6,465,14,0.438976,580.7,3.23426,1.10899,584.905,585.482
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",6,465,15,0.427936,576.309,3.27674,1.03626,580.585,581.05
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",6,465,16,0.434112,579.5,3.22044,1.0311,584.322,584.185
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",6,465,17,0.430784,577.334,3.19781,1.09158,580.425,582.055
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",6,465,18,0.435584,610.914,3.19787,1.03626,615.724,615.583
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",6,465,19,0.466752,614.047,3.20629,1.03523,618.889,618.756
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",6,465,20,0.429184,576.754,3.19135,1.03622,578.954,581.411
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",6,465,21,0.434496,584.158,3.197,1.09875,588.54,588.889
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",6,465,22,0.434336,575.043,3.19052,1.09978,578.216,579.768
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",6,465,23,0.435296,595.359,3.23363,1.03421,600.194,600.062
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",6,465,24,0.43248,594.134,3.21686,1.03523,598.957,598.818
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",6,465,25,0.435488,574.356,3.20824,1.09158,576.415,579.092
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",6,465,26,0.443776,573.6,3.19915,1.0352,574.171,578.279
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",6,465,27,0.43168,588.347,3.22295,1.03424,593.168,593.036
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",6,465,28,0.430016,606.887,3.20126,1.03418,611.693,611.553
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",6,465,29,0.431744,576.075,3.21823,1.02912,580.892,580.754
