dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,203,0,0.573792,8.2834,0.626335,0.29184,9.89125,9.77537
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,203,1,0.158048,0.935668,0.611145,0.18432,1.965,1.88918
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,203,2,0.159392,0.932066,0.588111,0.147456,1.90208,1.82702
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,203,3,0.161568,0.933073,0.589678,0.150528,1.91162,1.83485
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,203,4,0.15792,0.931354,0.593567,0.150528,1.90657,1.83337
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,203,5,0.156192,0.940102,0.592612,0.149504,1.9132,1.83841
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,203,6,0.157312,0.998657,0.582455,0.149504,1.96307,1.88793
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,203,7,0.157696,0.991781,0.594678,0.14848,1.96618,1.89263
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,203,8,0.161952,0.93693,0.595251,0.149504,1.93789,1.84364
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,203,9,0.159328,0.936398,0.593376,0.150528,1.91656,1.83963
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,203,10,0.159392,0.934555,0.589724,0.147424,1.90478,1.83109
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,203,11,0.1592,0.931182,0.596001,0.147456,1.9057,1.83384
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,203,12,0.158656,0.93706,0.590283,0.149504,1.91122,1.8355
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,203,13,0.158496,0.947535,0.608334,0.150496,1.93856,1.86486
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,203,14,0.163488,0.985456,0.589584,0.14848,1.96431,1.88701
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,203,15,0.154048,0.926709,0.592207,0.14848,1.90799,1.82144
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,203,16,0.156736,1.05574,0.593878,0.146432,2.03063,1.95279
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,203,17,0.15856,0.929687,0.591052,0.14848,1.96563,1.82778
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,203,18,0.15632,0.953157,0.642234,0.150528,1.98052,1.90224
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,203,19,0.157216,0.931917,0.592549,0.146432,1.90105,1.82811
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,203,20,0.159392,0.938842,0.60624,0.147456,1.92893,1.85193
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,203,21,0.159648,0.93378,0.5911,0.147456,1.90774,1.83198
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,203,22,0.158016,0.934407,0.59072,0.14848,1.90743,1.83162
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,203,23,0.159904,0.943495,0.59369,0.14848,1.92305,1.84557
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,203,24,0.156832,0.928098,0.58917,0.14848,1.89776,1.82258
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,203,25,0.158816,0.975006,0.592173,0.149504,1.95403,1.8755
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,203,26,0.159776,0.950072,0.593574,0.14848,1.93432,1.8519
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,203,27,0.1592,0.93571,0.657397,0.150528,1.92747,1.90284
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,203,28,0.15968,0.933947,0.591967,0.14848,1.9095,1.83407
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,203,29,0.159264,0.929682,0.588983,0.147456,1.89817,1.82538
