dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,GPU,"P | P | P | P | N | D",1,161,0,0.634848,0.39189,1.39869,0.689152,3.22111,3.11458
3,double,uniform,GPU,"P | P | P | P | N | D",1,161,1,0.231168,0.380894,1.39125,0.478208,2.61106,2.48152
3,double,uniform,GPU,"P | P | P | P | N | D",1,161,2,0.231328,0.395844,1.36494,0.477184,2.59597,2.4693
3,double,uniform,GPU,"P | P | P | P | N | D",1,161,3,0.231456,0.379516,1.36888,0.478208,2.58637,2.45806
3,double,uniform,GPU,"P | P | P | P | N | D",1,161,4,0.231872,0.400884,1.37173,0.480256,2.6203,2.48474
3,double,uniform,GPU,"P | P | P | P | N | D",1,161,5,0.229408,0.381175,1.37583,0.477184,2.59104,2.4636
3,double,uniform,GPU,"P | P | P | P | N | D",1,161,6,0.233216,0.383198,1.39061,0.480256,2.61489,2.48728
3,double,uniform,GPU,"P | P | P | P | N | D",1,161,7,0.23248,0.460985,1.37464,0.477184,2.67355,2.54529
3,double,uniform,GPU,"P | P | P | P | N | D",1,161,8,0.23088,0.379884,1.3656,0.478208,2.60949,2.45457
3,double,uniform,GPU,"P | P | P | P | N | D",1,161,9,0.233568,0.382742,1.36831,0.48128,2.607,2.4659
3,double,uniform,GPU,"P | P | P | P | N | D",1,161,10,0.227904,0.380154,1.36708,0.479232,2.58096,2.45437
3,double,uniform,GPU,"P | P | P | P | N | D",1,161,11,0.234816,0.381029,1.36854,0.480256,2.59707,2.46464
3,double,uniform,GPU,"P | P | P | P | N | D",1,161,12,0.233408,0.380122,1.37133,0.482304,2.59574,2.46716
3,double,uniform,GPU,"P | P | P | P | N | D",1,161,13,0.232832,0.381418,1.36815,0.482304,2.59817,2.46471
3,double,uniform,GPU,"P | P | P | P | N | D",1,161,14,0.22896,0.381324,1.37274,0.479232,2.5931,2.46225
3,double,uniform,GPU,"P | P | P | P | N | D",1,161,15,0.230848,0.380963,1.36873,0.485376,2.59332,2.46592
3,double,uniform,GPU,"P | P | P | P | N | D",1,161,16,0.228992,0.38167,1.3689,0.478208,2.58759,2.45777
3,double,uniform,GPU,"P | P | P | P | N | D",1,161,17,0.232576,0.380307,1.37501,0.477184,2.59243,2.46508
3,double,uniform,GPU,"P | P | P | P | N | D",1,161,18,0.226496,0.380428,1.36877,0.479232,2.59308,2.45493
3,double,uniform,GPU,"P | P | P | P | N | D",1,161,19,0.229088,0.379636,1.37127,0.478208,2.58846,2.4582
3,double,uniform,GPU,"P | P | P | P | N | D",1,161,20,0.230432,0.383674,1.38511,0.477184,2.60564,2.4764
3,double,uniform,GPU,"P | P | P | P | N | D",1,161,21,0.23248,0.377951,1.37242,0.477184,2.58805,2.46003
3,double,uniform,GPU,"P | P | P | P | N | D",1,161,22,0.231712,0.379415,1.36988,0.480256,2.59254,2.46126
3,double,uniform,GPU,"P | P | P | P | N | D",1,161,23,0.227584,0.380406,1.36584,0.488448,2.58877,2.46228
3,double,uniform,GPU,"P | P | P | P | N | D",1,161,24,0.23152,0.380754,1.49048,0.482304,2.7124,2.58506
3,double,uniform,GPU,"P | P | P | P | N | D",1,161,25,0.231936,0.380832,1.37173,0.480256,2.58981,2.46475
3,double,uniform,GPU,"P | P | P | P | N | D",1,161,26,0.229376,0.379659,1.3709,0.478208,2.58873,2.45814
3,double,uniform,GPU,"P | P | P | P | N | D",1,161,27,0.231168,0.380238,1.36511,0.482304,2.583,2.45882
3,double,uniform,GPU,"P | P | P | P | N | D",1,161,28,0.22672,0.385526,1.366,0.479232,2.58636,2.45748
3,double,uniform,GPU,"P | P | P | P | N | D",1,161,29,0.231808,0.378659,1.36978,0.480256,2.5885,2.4605
