dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,GPU,"P | P | P | P | N | D",4,406,0,0.810432,1069.67,6.64009,2.50675,1077.09,1079.63
3,double,uniform,GPU,"P | P | P | P | N | D",4,406,1,0.77376,1061.49,6.70937,1.84925,1069.65,1070.82
3,double,uniform,GPU,"P | P | P | P | N | D",4,406,2,0.768544,1005.14,6.66683,1.89235,1014.51,1014.47
3,double,uniform,GPU,"P | P | P | P | N | D",4,406,3,0.761344,1017.36,6.79839,1.84518,1025.23,1026.77
3,double,uniform,GPU,"P | P | P | P | N | D",4,406,4,0.762688,1010.82,6.78009,1.85142,1020.36,1020.22
3,double,uniform,GPU,"P | P | P | P | N | D",4,406,5,0.772544,1028.72,6.85941,1.86877,1036.8,1038.22
3,double,uniform,GPU,"P | P | P | P | N | D",4,406,6,0.76256,1039.97,6.79684,1.84723,1048.27,1049.37
3,double,uniform,GPU,"P | P | P | P | N | D",4,406,7,0.761984,1012.48,6.74865,1.85853,1021.99,1021.85
3,double,uniform,GPU,"P | P | P | P | N | D",4,406,8,0.765888,999.716,6.73675,1.8503,1009.21,1009.07
3,double,uniform,GPU,"P | P | P | P | N | D",4,406,9,0.762752,992.611,6.79972,1.84822,1002.16,1002.02
3,double,uniform,GPU,"P | P | P | P | N | D",4,406,10,0.763168,1032.74,6.72648,1.84835,1042.22,1042.08
3,double,uniform,GPU,"P | P | P | P | N | D",4,406,11,0.775584,1028.31,6.76247,1.85862,1037.86,1037.7
3,double,uniform,GPU,"P | P | P | P | N | D",4,406,12,0.760352,1027.73,6.80049,1.86774,1037.29,1037.16
3,double,uniform,GPU,"P | P | P | P | N | D",4,406,13,0.7632,1051.2,6.82164,1.84928,1060.3,1060.64
3,double,uniform,GPU,"P | P | P | P | N | D",4,406,14,0.76224,1034.05,6.80541,1.84934,1043.6,1043.47
3,double,uniform,GPU,"P | P | P | P | N | D",4,406,15,0.772672,1058.26,6.70021,1.88314,1067.84,1067.62
3,double,uniform,GPU,"P | P | P | P | N | D",4,406,16,0.761728,1035.96,6.74642,1.84931,1044.21,1045.32
3,double,uniform,GPU,"P | P | P | P | N | D",4,406,17,0.765312,1021.35,6.76997,1.85242,1030.88,1030.74
3,double,uniform,GPU,"P | P | P | P | N | D",4,406,18,0.769024,1030.06,6.6142,1.88314,1039.48,1039.33
3,double,uniform,GPU,"P | P | P | P | N | D",4,406,19,0.762656,1010.83,6.77116,1.85542,1020.36,1020.22
3,double,uniform,GPU,"P | P | P | P | N | D",4,406,20,0.762848,984.9,6.79418,1.85238,994.449,994.309
3,double,uniform,GPU,"P | P | P | P | N | D",4,406,21,0.763392,1015.48,6.7079,1.85446,1024.94,1024.8
3,double,uniform,GPU,"P | P | P | P | N | D",4,406,22,0.770912,1040.27,6.6781,1.88723,1049.36,1049.61
3,double,uniform,GPU,"P | P | P | P | N | D",4,406,23,0.771936,1003.14,6.79374,1.85437,1012.7,1012.56
3,double,uniform,GPU,"P | P | P | P | N | D",4,406,24,0.764192,1018.09,6.73217,1.85344,1027.58,1027.44
3,double,uniform,GPU,"P | P | P | P | N | D",4,406,25,0.763328,1036.66,6.72892,1.85242,1046.14,1046
3,double,uniform,GPU,"P | P | P | P | N | D",4,406,26,0.761248,1020.85,6.81475,1.84928,1030.41,1030.28
3,double,uniform,GPU,"P | P | P | P | N | D",4,406,27,0.764352,1045.14,6.82782,1.8544,1054.73,1054.59
3,double,uniform,GPU,"P | P | P | P | N | D",4,406,28,0.763104,1033.33,6.80584,1.85133,1042.89,1042.75
3,double,uniform,GPU,"P | P | P | P | N | D",4,406,29,0.762848,1020.84,6.68792,1.85136,1030.29,1030.15
