dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,GPU,"D | D | D | D | N | D",2,203,0,0.664256,8.62783,1.49385,0.35328,11.271,11.1392
3,double,uniform,GPU,"D | D | D | D | N | D",2,203,1,0.246848,1.40751,1.48868,0.222208,3.45129,3.36525
3,double,uniform,GPU,"D | D | D | D | N | D",2,203,2,0.24464,1.41739,1.47733,0.219136,3.43639,3.3585
3,double,uniform,GPU,"D | D | D | D | N | D",2,203,3,0.24368,1.44241,1.47951,0.221184,3.47376,3.38678
3,double,uniform,GPU,"D | D | D | D | N | D",2,203,4,0.245536,1.41562,1.47469,0.224256,3.43842,3.3601
3,double,uniform,GPU,"D | D | D | D | N | D",2,203,5,0.244384,1.43892,1.47764,0.218112,3.45274,3.37906
3,double,uniform,GPU,"D | D | D | D | N | D",2,203,6,0.248896,1.49642,1.47343,0.221184,3.52087,3.43994
3,double,uniform,GPU,"D | D | D | D | N | D",2,203,7,0.24832,1.40592,1.48677,0.227328,3.44342,3.36834
3,double,uniform,GPU,"D | D | D | D | N | D",2,203,8,0.246944,1.41871,1.47662,0.221184,3.44549,3.36346
3,double,uniform,GPU,"D | D | D | D | N | D",2,203,9,0.247904,1.41211,1.47768,0.228352,3.44093,3.36605
3,double,uniform,GPU,"D | D | D | D | N | D",2,203,10,0.24736,1.40928,1.48084,0.221184,3.43528,3.35867
3,double,uniform,GPU,"D | D | D | D | N | D",2,203,11,0.243936,1.4128,1.47666,0.222208,3.43397,3.3556
3,double,uniform,GPU,"D | D | D | D | N | D",2,203,12,0.248864,1.42806,1.47944,0.221184,3.45463,3.37755
3,double,uniform,GPU,"D | D | D | D | N | D",2,203,13,0.245984,1.40805,1.47522,0.303104,3.51066,3.43236
3,double,uniform,GPU,"D | D | D | D | N | D",2,203,14,0.252448,1.42287,1.48058,0.22016,3.45941,3.37606
3,double,uniform,GPU,"D | D | D | D | N | D",2,203,15,0.24432,1.41071,1.47354,0.22016,3.41916,3.34872
3,double,uniform,GPU,"D | D | D | D | N | D",2,203,16,0.243648,1.40824,1.48012,0.22016,3.43014,3.35217
3,double,uniform,GPU,"D | D | D | D | N | D",2,203,17,0.24448,1.41194,1.47334,0.22016,3.42374,3.34992
3,double,uniform,GPU,"D | D | D | D | N | D",2,203,18,0.246016,1.41349,1.47736,0.222208,3.43779,3.35907
3,double,uniform,GPU,"D | D | D | D | N | D",2,203,19,0.248576,1.41161,1.47364,0.221184,3.43246,3.35501
3,double,uniform,GPU,"D | D | D | D | N | D",2,203,20,0.2488,1.41289,1.47464,0.218112,3.43148,3.35444
3,double,uniform,GPU,"D | D | D | D | N | D",2,203,21,0.24544,1.40975,1.47656,0.222208,3.42954,3.35396
3,double,uniform,GPU,"D | D | D | D | N | D",2,203,22,0.248384,1.41624,1.47919,0.221184,3.44441,3.365
3,double,uniform,GPU,"D | D | D | D | N | D",2,203,23,0.25856,1.42868,1.47587,0.22016,3.45755,3.38327
3,double,uniform,GPU,"D | D | D | D | N | D",2,203,24,0.24784,1.41711,1.47516,0.222208,3.43966,3.36232
3,double,uniform,GPU,"D | D | D | D | N | D",2,203,25,0.2472,1.42266,1.48002,0.223232,3.44879,3.37312
3,double,uniform,GPU,"D | D | D | D | N | D",2,203,26,0.246528,1.46604,1.47493,0.221184,3.49724,3.40868
3,double,uniform,GPU,"D | D | D | D | N | D",2,203,27,0.246912,1.4266,1.47427,0.22016,3.44125,3.36794
3,double,uniform,GPU,"D | D | D | D | N | D",2,203,28,0.249248,1.40435,1.47867,0.22016,3.42768,3.35242
3,double,uniform,GPU,"D | D | D | D | N | D",2,203,29,0.243616,1.43409,1.47967,0.218112,3.45644,3.37549
