dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",8,369,0,25.8182,461.929,2.8778,1.07725,489.38,491.702
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",8,369,1,24.0466,371.406,2.84907,0.710624,397.098,399.013
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",8,369,2,24.1796,357.256,2.84603,0.706528,383.791,384.988
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",8,369,3,24.1221,367.829,2.85814,0.711584,389.939,395.521
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",8,369,4,24.3597,388.686,2.84875,0.707584,414.42,416.602
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",8,369,5,24.527,369.917,2.9145,0.73008,398.214,398.088
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",8,369,6,24.0972,372.609,2.89014,0.716704,384.794,400.313
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",8,369,7,22.5772,378.793,2.86731,0.71168,384.889,404.95
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",8,369,8,24.1327,352.899,2.87961,0.70864,379.114,380.62
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",8,369,9,22.6515,360.449,2.85504,0.711648,383.37,386.667
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",8,369,10,24.0965,358.106,2.8551,0.706496,382.942,385.764
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",8,369,11,24.4186,362.54,2.84166,0.709568,383,390.51
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",8,369,12,24.0709,361.04,2.87671,0.708544,386.243,388.696
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",8,369,13,22.266,384.494,2.85308,0.708576,408.601,410.322
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",8,369,14,22.8329,371.869,2.79769,0.708544,393.553,398.209
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",8,369,15,24.4789,352.568,2.92257,0.721856,380.806,380.691
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",8,369,16,24.3331,352.757,2.84995,0.707584,375.18,380.647
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",8,369,17,24.2096,353.268,2.84867,0.706464,373.096,381.032
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",8,369,18,22.5639,351.437,2.86608,0.717824,374.962,377.585
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",8,369,19,23.5306,363.264,2.93734,0.734176,387.43,390.466
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",8,369,20,22.7066,357.96,2.85207,0.71168,381.635,384.23
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",8,369,21,24.8372,353.042,2.91244,0.723968,381.643,381.516
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",8,369,22,24.1348,350.07,2.85453,0.70752,372.769,377.767
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",8,369,23,22.7472,350.207,2.79787,0.705472,372.759,376.458
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",8,369,24,24.3373,363.461,2.9056,0.72496,391.545,391.429
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",8,369,25,22.7258,377.566,2.85315,0.71168,389.974,403.856
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",8,369,26,24.3658,352.581,2.8435,0.704416,379.857,380.494
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",8,369,27,24.1121,369.067,2.83944,0.704416,391.945,396.723
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",8,369,28,22.6795,356.6,2.86996,0.707584,381.567,382.857
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",8,369,29,22.4489,364.668,2.9239,0.709664,390.208,390.75
