dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",4,406,0,0.502112,531.913,2.92621,1.67622,528.69,537.018
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",4,406,1,0.4584,527.452,2.88034,1.00141,527.288,531.792
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",4,406,2,0.459392,536.835,2.89172,1.00141,541.029,541.188
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",4,406,3,0.469024,528.652,2.90551,1.00138,533.172,533.028
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",4,406,4,0.459552,522.074,2.9215,0.99728,526.602,526.452
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",4,406,5,0.46432,511.75,2.88974,1.00038,515.696,516.104
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",4,406,6,0.459744,522.83,2.91912,1.00045,527.353,527.209
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",4,406,7,0.462944,513.903,2.90838,1.00141,518.411,518.276
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",4,406,8,0.459936,514.209,2.88738,1.01267,518.362,518.569
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",4,406,9,0.461344,511.288,2.8986,0.99728,506.141,515.645
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",4,406,10,0.459168,530.783,2.88986,0.996288,532.484,535.128
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",4,406,11,0.469344,529.581,2.89847,1.00653,532.193,533.955
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",4,406,12,0.459584,513.862,2.94769,1.00653,517.721,518.276
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",4,406,13,0.471424,512.337,2.90601,0.999392,516.855,516.714
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",4,406,14,0.45792,513.999,2.88357,0.996384,518.471,518.337
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",4,406,15,0.459264,511.367,2.90018,0.998304,515.35,515.725
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",4,406,16,0.471712,513.763,2.89373,0.99936,517.078,518.128
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",4,406,17,0.478016,522.467,2.97878,1.02598,527.108,526.95
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",4,406,18,0.460384,513.93,2.88475,0.999328,518.059,518.275
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",4,406,19,0.462752,508.637,3.04546,1.09875,513.36,513.244
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",4,406,20,0.461344,531.916,2.89672,1.00035,536.413,536.274
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",4,406,21,0.462528,509.668,2.89516,1.00758,513.17,514.033
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",4,406,22,0.457088,507.753,2.90212,0.99728,512.246,512.109
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",4,406,23,0.46592,513.645,2.8988,1.00451,517.196,518.014
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",4,406,24,0.464736,509.679,2.89854,1.00653,513.507,514.048
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",4,406,25,0.462816,514.497,2.91009,1.00243,519.01,518.872
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",4,406,26,0.458496,503.089,2.88347,1.00656,505.584,507.438
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",4,406,27,0.459808,500.053,2.89507,1.00346,503.524,504.412
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",4,406,28,0.4608,520.585,2.88896,0.998304,524.124,524.933
3,float,uniform,GPU,"P | P | P | P | Ds | Ns",4,406,29,0.460544,506.773,2.88613,0.999328,510.823,511.119
