dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"D | D | D | D | D | D",4,406,0,0.52576,0,2340.46,1.08544,2342.22,2342.07
3,float,uniform,GPU,"D | D | D | D | D | D",4,406,1,0.450624,0,1875.88,0.482304,1876.92,1876.81
3,float,uniform,GPU,"D | D | D | D | D | D",4,406,2,0.436512,0,1865.38,0.467968,1866.37,1866.28
3,float,uniform,GPU,"D | D | D | D | D | D",4,406,3,0.444288,0,1863.56,0.467968,1864.58,1864.48
3,float,uniform,GPU,"D | D | D | D | D | D",4,406,4,0.434144,0,1875.99,0.46592,1876.99,1876.89
3,float,uniform,GPU,"D | D | D | D | D | D",4,406,5,0.436992,0,1876.82,0.460768,1877.81,1877.72
3,float,uniform,GPU,"D | D | D | D | D | D",4,406,6,0.445824,0,1872.02,0.477184,1873.05,1872.94
3,float,uniform,GPU,"D | D | D | D | D | D",4,406,7,0.435392,0,1874.02,0.46592,1875.01,1874.92
3,float,uniform,GPU,"D | D | D | D | D | D",4,406,8,0.434016,0,1872.02,0.461792,1873,1872.91
3,float,uniform,GPU,"D | D | D | D | D | D",4,406,9,0.446048,0,1992.11,0.463872,1976.51,1993.02
3,float,uniform,GPU,"D | D | D | D | D | D",4,406,10,0.451424,0,1993.95,0.479232,1978.42,1994.88
3,float,uniform,GPU,"D | D | D | D | D | D",4,406,11,0.43632,0,1870.05,0.459744,1871.04,1870.95
3,float,uniform,GPU,"D | D | D | D | D | D",4,406,12,0.434048,0,1873.67,0.459872,1874.65,1874.57
3,float,uniform,GPU,"D | D | D | D | D | D",4,406,13,0.434144,0,1863.47,0.457728,1864.46,1864.37
3,float,uniform,GPU,"D | D | D | D | D | D",4,406,14,0.463776,0,1873.18,0.468992,1874.23,1874.11
3,float,uniform,GPU,"D | D | D | D | D | D",4,406,15,0.435936,0,1873.98,0.465888,1874.97,1874.88
3,float,uniform,GPU,"D | D | D | D | D | D",4,406,16,0.439872,0,1874.1,0.457728,1875.1,1875
3,float,uniform,GPU,"D | D | D | D | D | D",4,406,17,0.43488,0,1873.38,0.459776,1874.37,1874.28
3,float,uniform,GPU,"D | D | D | D | D | D",4,406,18,0.450912,0,1879.25,0.46896,1880.27,1880.17
3,float,uniform,GPU,"D | D | D | D | D | D",4,406,19,0.437504,0,1871.48,0.464896,1872.47,1872.38
3,float,uniform,GPU,"D | D | D | D | D | D",4,406,20,0.436288,0,1879.54,0.459776,1880.52,1880.44
3,float,uniform,GPU,"D | D | D | D | D | D",4,406,21,0.43728,0,1885.22,0.460832,1886.2,1886.12
3,float,uniform,GPU,"D | D | D | D | D | D",4,406,22,0.442208,0,1881.94,0.461824,1882.93,1882.84
3,float,uniform,GPU,"D | D | D | D | D | D",4,406,23,0.434912,0,1875.55,0.459776,1876.53,1876.44
3,float,uniform,GPU,"D | D | D | D | D | D",4,406,24,0.442624,0,2006.37,0.461824,1989.95,2007.28
3,float,uniform,GPU,"D | D | D | D | D | D",4,406,25,0.440768,0,2001.59,0.4608,1983.87,2002.49
3,float,uniform,GPU,"D | D | D | D | D | D",4,406,26,0.449216,0,2001.41,0.479232,1989.55,2002.34
3,float,uniform,GPU,"D | D | D | D | D | D",4,406,27,0.435136,0,1863.37,0.458752,1864.36,1864.26
3,float,uniform,GPU,"D | D | D | D | D | D",4,406,28,0.434688,0,1871.89,0.462816,1872.87,1872.79
3,float,uniform,GPU,"D | D | D | D | D | D",4,406,29,0.436736,0,1873.33,0.4608,1874.31,1874.23
