dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,GPU,"P | P | P | P | N | D",2,203,0,0.664576,10.1179,1.41431,0.690176,13.0118,12.8869
3,double,uniform,GPU,"P | P | P | P | N | D",2,203,1,0.24368,2.38356,1.41818,0.489472,4.62542,4.5349
3,double,uniform,GPU,"P | P | P | P | N | D",2,203,2,0.244832,2.43608,1.41584,0.4864,4.67159,4.58316
3,double,uniform,GPU,"P | P | P | P | N | D",2,203,3,0.248064,2.42814,1.41781,0.488448,4.68717,4.58246
3,double,uniform,GPU,"P | P | P | P | N | D",2,203,4,0.25056,2.4094,1.42545,0.484352,4.66163,4.56977
3,double,uniform,GPU,"P | P | P | P | N | D",2,203,5,0.248416,2.39232,1.41575,0.487424,4.63208,4.54391
3,double,uniform,GPU,"P | P | P | P | N | D",2,203,6,0.247648,2.4319,1.41761,0.49152,4.71908,4.58867
3,double,uniform,GPU,"P | P | P | P | N | D",2,203,7,0.247328,2.43103,1.41092,0.484352,4.6788,4.57362
3,double,uniform,GPU,"P | P | P | P | N | D",2,203,8,0.248192,2.38489,1.41483,0.4864,4.62352,4.53431
3,double,uniform,GPU,"P | P | P | P | N | D",2,203,9,0.247264,2.3701,1.41039,0.489472,4.60296,4.51722
3,double,uniform,GPU,"P | P | P | P | N | D",2,203,10,0.247808,2.37973,1.4124,0.484352,4.61437,4.52429
3,double,uniform,GPU,"P | P | P | P | N | D",2,203,11,0.247808,2.41564,1.41536,0.4864,4.69225,4.56521
3,double,uniform,GPU,"P | P | P | P | N | D",2,203,12,0.247712,2.47081,1.40794,0.485376,4.70686,4.61183
3,double,uniform,GPU,"P | P | P | P | N | D",2,203,13,0.24544,2.37706,1.4078,0.488448,4.60705,4.51875
3,double,uniform,GPU,"P | P | P | P | N | D",2,203,14,0.247072,2.39883,1.41635,0.487424,4.64049,4.54967
3,double,uniform,GPU,"P | P | P | P | N | D",2,203,15,0.248928,2.38572,1.41923,0.489472,4.63507,4.54336
3,double,uniform,GPU,"P | P | P | P | N | D",2,203,16,0.246112,2.4515,1.40119,0.484352,4.69138,4.58315
3,double,uniform,GPU,"P | P | P | P | N | D",2,203,17,0.248352,2.39036,1.41459,0.485376,4.63059,4.53868
3,double,uniform,GPU,"P | P | P | P | N | D",2,203,18,0.243776,2.43944,1.39559,0.485376,4.65401,4.56419
3,double,uniform,GPU,"P | P | P | P | N | D",2,203,19,0.247168,2.42503,1.39842,0.483328,4.64488,4.55395
3,double,uniform,GPU,"P | P | P | P | N | D",2,203,20,0.247264,2.39042,1.4136,0.487424,4.6283,4.53871
3,double,uniform,GPU,"P | P | P | P | N | D",2,203,21,0.243392,2.49615,1.38921,0.482304,4.69367,4.61105
3,double,uniform,GPU,"P | P | P | P | N | D",2,203,22,0.247616,2.37621,1.41989,0.485376,4.61644,4.5291
3,double,uniform,GPU,"P | P | P | P | N | D",2,203,23,0.24928,2.37511,1.40641,0.485376,4.60629,4.51618
3,double,uniform,GPU,"P | P | P | P | N | D",2,203,24,0.247776,2.39627,1.41847,0.4864,4.64058,4.54891
3,double,uniform,GPU,"P | P | P | P | N | D",2,203,25,0.258528,2.42718,1.42173,0.485376,4.68612,4.59282
3,double,uniform,GPU,"P | P | P | P | N | D",2,203,26,0.24416,2.44131,1.4036,0.482304,4.66392,4.57138
3,double,uniform,GPU,"P | P | P | P | N | D",2,203,27,0.246016,2.40507,1.4019,0.4864,4.63307,4.53939
3,double,uniform,GPU,"P | P | P | P | N | D",2,203,28,0.248672,2.37573,1.42165,0.49664,4.63256,4.54269
3,double,uniform,GPU,"P | P | P | P | N | D",2,203,29,0.247264,2.37702,1.40809,0.487424,4.61122,4.5198
