dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",2,203,0,15.4584,9.70998,1.49855,0.700416,27.4894,27.3673
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",2,203,1,14.4758,2.38615,1.54593,0.492544,18.9962,18.9005
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",2,203,2,14.5804,2.39351,1.45236,0.482304,18.9969,18.9086
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",2,203,3,14.6219,2.39814,1.47551,0.490496,19.1025,18.986
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",2,203,4,14.5226,2.38118,1.47327,0.49152,18.9704,18.8686
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",2,203,5,14.5789,2.42215,1.45935,0.490496,18.9678,18.9509
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",2,203,6,14.7722,2.38875,1.47226,0.488448,19.2233,19.1216
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",2,203,7,14.7308,2.4101,1.47164,0.490496,19.23,19.103
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",2,203,8,14.5783,2.38867,1.47709,0.490496,19.0362,18.9346
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",2,203,9,14.7445,2.40059,1.47107,0.489472,19.2294,19.1057
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",2,203,10,14.5257,2.37541,1.46796,0.485376,18.9527,18.8544
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",2,203,11,14.678,2.39052,1.47239,0.488448,19.1342,19.0293
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",2,203,12,14.6321,2.47494,1.45663,0.4864,19.0791,19.0501
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",2,203,13,14.6332,2.3976,1.45832,0.483328,19.0422,18.9725
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",2,203,14,14.9392,2.43273,1.4603,0.485376,19.3573,19.3176
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",2,203,15,14.7506,2.39643,1.47771,0.4864,19.2132,19.1111
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",2,203,16,14.6215,2.43597,1.4654,0.485376,19.0565,19.0082
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",2,203,17,14.8903,2.46862,1.48066,0.49152,19.433,19.3311
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",2,203,18,14.5927,2.43471,1.45663,0.528384,19.0701,19.0124
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",2,203,19,14.5978,2.4098,1.47254,0.487424,19.0984,18.9675
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",2,203,20,14.7328,2.40366,1.45974,0.4864,19.1212,19.0826
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",2,203,21,14.7344,2.42454,1.47373,0.489472,19.2667,19.1221
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",2,203,22,14.9414,2.40481,1.46187,0.485376,19.3217,19.2935
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",2,203,23,14.462,2.37581,1.46986,0.488448,18.8949,18.7961
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",2,203,24,14.5898,2.49364,1.4462,0.4864,19.144,19.016
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",2,203,25,14.8767,2.3734,1.47304,0.487424,19.3156,19.2105
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",2,203,26,14.7506,2.37756,1.47199,0.490496,19.1947,19.0907
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",2,203,27,14.7032,2.39702,1.45804,0.482304,19.1191,19.0405
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",2,203,28,14.6737,2.38967,1.46074,0.4864,19.033,19.0105
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",2,203,29,14.9084,2.42451,1.45698,0.483328,19.1948,19.2732
