dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"D | D | D | D | D | D",6,465,0,68.2152,0,6865.17,1.3312,6934.9,6934.72
3,double,uniform,CPU,"D | D | D | D | D | D",6,465,1,67.3547,0,2472.71,0.781312,2524.12,2540.85
3,double,uniform,CPU,"D | D | D | D | D | D",6,465,2,67.9188,0,2318.59,0.782368,2387.4,2387.3
3,double,uniform,CPU,"D | D | D | D | D | D",6,465,3,68.716,0,2334.68,0.791552,2404.32,2404.19
3,double,uniform,CPU,"D | D | D | D | D | D",6,465,4,68.1673,0,2321.29,0.778176,2390.34,2390.24
3,double,uniform,CPU,"D | D | D | D | D | D",6,465,5,68.0984,0,2465.63,0.7792,2534.61,2534.51
3,double,uniform,CPU,"D | D | D | D | D | D",6,465,6,67.8972,0,2405.28,0.786496,2474.1,2473.97
3,double,uniform,CPU,"D | D | D | D | D | D",6,465,7,67.9691,0,2355.62,0.785408,2424.48,2424.37
3,double,uniform,CPU,"D | D | D | D | D | D",6,465,8,68.2885,0,2346.02,0.779264,2415.19,2415.09
3,double,uniform,CPU,"D | D | D | D | D | D",6,465,9,68.2223,0,2332.1,0.780288,2401.23,2401.1
3,double,uniform,CPU,"D | D | D | D | D | D",6,465,10,67.3062,0,2449.22,0.765984,2504.75,2517.29
3,double,uniform,CPU,"D | D | D | D | D | D",6,465,11,68.0412,0,2334.41,0.774208,2403.33,2403.23
3,double,uniform,CPU,"D | D | D | D | D | D",6,465,12,68.1265,0,2333.93,0.776192,2402.94,2402.83
3,double,uniform,CPU,"D | D | D | D | D | D",6,465,13,68.1765,0,2359.29,0.77824,2428.34,2428.24
3,double,uniform,CPU,"D | D | D | D | D | D",6,465,14,68.0372,0,2373.31,0.781312,2442.25,2442.13
3,double,uniform,CPU,"D | D | D | D | D | D",6,465,15,67.7229,0,2345.34,0.782336,2413.96,2413.85
3,double,uniform,CPU,"D | D | D | D | D | D",6,465,16,68.0061,0,2314.3,0.777216,2383.19,2383.09
3,double,uniform,CPU,"D | D | D | D | D | D",6,465,17,68.3189,0,2336.72,0.779232,2405.92,2405.81
3,double,uniform,CPU,"D | D | D | D | D | D",6,465,18,68.0941,0,2326.39,0.778208,2395.37,2395.27
3,double,uniform,CPU,"D | D | D | D | D | D",6,465,19,67.7597,0,2320.9,0.785376,2389.57,2389.45
3,double,uniform,CPU,"D | D | D | D | D | D",6,465,20,67.9812,0,2322.88,0.785408,2391.75,2391.65
3,double,uniform,CPU,"D | D | D | D | D | D",6,465,21,68.2738,0,2334.5,0.780288,2403.67,2403.56
3,double,uniform,CPU,"D | D | D | D | D | D",6,465,22,67.9836,0,2336.82,0.777248,2405.68,2405.58
3,double,uniform,CPU,"D | D | D | D | D | D",6,465,23,67.9931,0,2331.12,0.77824,2399.99,2399.89
3,double,uniform,CPU,"D | D | D | D | D | D",6,465,24,68.1858,0,2339.18,0.77824,2408.25,2408.14
3,double,uniform,CPU,"D | D | D | D | D | D",6,465,25,68.5189,0,2316.45,0.776192,2385.86,2385.75
3,double,uniform,CPU,"D | D | D | D | D | D",6,465,26,67.9428,0,2324.09,0.782336,2392.91,2392.81
3,double,uniform,CPU,"D | D | D | D | D | D",6,465,27,68.0123,0,2333.72,0.781312,2402.61,2402.51
3,double,uniform,CPU,"D | D | D | D | D | D",6,465,28,67.7244,0,2315.33,0.782368,2383.96,2383.83
3,double,uniform,CPU,"D | D | D | D | D | D",6,465,29,67.9895,0,2329.77,0.782336,2398.65,2398.55
