dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",2,203,0,0.59328,8.8563,0.77848,0.489472,10.8505,10.7175
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",2,203,1,0.15584,1.59903,0.740033,0.295936,2.87839,2.79084
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",2,203,2,0.156128,1.71195,0.712666,0.292864,2.96454,2.87361
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",2,203,3,0.15888,1.58636,0.714307,0.289792,2.83829,2.74934
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",2,203,4,0.162592,1.66628,0.709678,0.288768,2.91362,2.82732
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",2,203,5,0.157952,1.60072,0.716759,0.30208,2.8647,2.77751
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",2,203,6,0.15584,1.58738,0.721191,0.292864,2.84548,2.75728
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",2,203,7,0.15936,1.62428,0.720975,0.29184,2.88207,2.79645
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",2,203,8,0.157152,1.58374,0.71812,0.29488,2.84079,2.75389
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",2,203,9,0.156704,1.59004,0.720916,0.292864,2.84692,2.76052
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",2,203,10,0.15776,1.59468,0.723017,0.292864,2.85364,2.76833
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",2,203,11,0.158016,1.58167,0.71199,0.293888,2.84036,2.74557
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",2,203,12,0.15568,1.58593,0.707872,0.29696,2.83156,2.74644
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",2,203,13,0.159552,1.60264,0.702873,0.292864,2.84093,2.75793
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",2,203,14,0.154784,1.58887,0.733212,0.289792,2.8543,2.76665
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",2,203,15,0.156544,1.59677,0.712632,0.294912,2.84637,2.76086
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",2,203,16,0.160384,1.61567,0.708817,0.295936,2.86915,2.78081
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",2,203,17,0.156544,1.58161,0.715816,0.288768,2.82797,2.74274
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",2,203,18,0.159616,1.60108,0.705391,0.32256,2.87833,2.78865
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",2,203,19,0.158976,1.58449,0.71969,0.290816,2.8417,2.75398
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",2,203,20,0.161792,1.59166,0.717635,0.293888,2.85361,2.76497
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",2,203,21,0.159968,1.6227,0.720337,0.290816,2.88165,2.79382
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",2,203,22,0.157696,1.58882,0.716748,0.290816,2.84382,2.75408
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",2,203,23,0.157376,1.59472,0.717937,0.294912,2.85339,2.76494
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",2,203,24,0.158048,1.60357,0.717007,0.293888,2.86024,2.77251
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",2,203,25,0.155904,1.58269,0.715462,0.290816,2.83209,2.74487
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",2,203,26,0.164832,1.58241,0.722718,0.287744,2.84434,2.7577
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",2,203,27,0.15296,1.57805,0.714479,0.29696,2.8351,2.74245
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",2,203,28,0.15888,1.58189,0.714079,0.288768,2.83432,2.74362
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",2,203,29,0.157376,1.58589,0.713904,0.289792,2.83132,2.74696
