dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",6,323,0,22.9553,310.419,2.12657,0.601088,334.542,336.102
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",6,323,1,21.7758,233.273,2.11695,0.268288,257.548,257.434
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",6,323,2,21.4984,224.915,2.12178,0.284672,248.967,248.819
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",6,323,3,21.4721,235.622,2.11469,0.278496,259.602,259.488
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",6,323,4,21.5708,234.82,2.09819,0.268256,258.868,258.757
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",6,323,5,21.5346,240.953,2.11215,0.270304,264.985,264.87
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",6,323,6,21.6356,222.211,2.13646,0.290816,246.427,246.274
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",6,323,7,21.5358,210.008,2.1121,0.270336,234.033,233.926
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",6,323,8,21.4701,223.933,2.10012,0.273344,247.89,247.776
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",6,323,9,21.4709,212.767,2.11196,0.280576,236.743,236.631
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",6,323,10,21.6847,219.423,2.11101,0.268288,243.598,243.487
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",6,323,11,21.7307,222.085,2.12683,0.288736,246.374,246.232
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",6,323,12,21.5128,232.143,2.09335,0.268288,246.685,256.018
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",6,323,13,21.5208,213.95,2.104,0.272352,237.96,237.847
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",6,323,14,21.5183,209.87,2.09688,0.267232,228.534,233.752
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",6,323,15,21.4879,209.363,2.09819,0.266208,231.471,233.215
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",6,323,16,21.545,240.779,2.09674,0.274432,255.644,264.695
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",6,323,17,21.7257,224.071,2.10329,0.267232,248.282,248.168
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",6,323,18,21.534,217.18,2.09225,0.266208,234.755,241.072
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",6,323,19,21.4866,221.732,2.09521,0.270368,226.572,245.585
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",6,323,20,21.5165,237.085,2.09738,0.2672,261.068,260.966
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",6,323,21,21.611,222.156,2.10343,0.2672,235.888,246.138
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",6,323,22,21.5561,215.338,2.10826,0.267232,236.443,239.269
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",6,323,23,21.6449,213.309,2.10743,0.271296,234.517,237.333
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",6,323,24,21.4354,224.805,2.10359,0.268256,246.162,248.612
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",6,323,25,21.4769,226.453,2.09787,0.268288,250.399,250.297
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",6,323,26,21.6143,215.47,2.09651,0.268256,233.866,239.449
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",6,323,27,21.7176,217.885,2.09983,0.271328,229.245,241.973
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",6,323,28,21.576,209.846,2.0952,0.26928,232.976,233.787
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",6,323,29,21.5097,210.662,2.09638,0.268288,226.464,234.536
