dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",6,465,0,67.8736,1259.87,6.93515,2.53952,1337.43,1337.22
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",6,465,1,67.6731,1212.25,6.96814,1.86067,1287.68,1288.75
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",6,465,2,67.6373,1162.7,6.92457,1.85747,1239.27,1239.12
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",6,465,3,68.6939,1176.68,6.93139,1.86563,1254.32,1254.17
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",6,465,4,67.7029,1149.71,6.92328,1.85958,1226.34,1226.19
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",6,465,5,68.0501,1160.31,6.96843,1.87597,1237.38,1237.2
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",6,465,6,67.5537,1160.07,6.93471,1.8503,1228.51,1236.41
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",6,465,7,67.4839,1137.18,6.9157,1.85027,1211.15,1213.43
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",6,465,8,68.7487,1149.02,6.9393,1.86058,1226.71,1226.56
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",6,465,9,68.3013,1144.47,6.92373,1.8513,1219.48,1221.55
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",6,465,10,68.0804,1152.82,6.94546,1.86262,1229.85,1229.71
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",6,465,11,67.6136,1130.61,6.94937,1.8504,1199.32,1207.02
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",6,465,12,67.7904,1164.41,6.92218,1.86157,1241.14,1240.98
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",6,465,13,67.7175,1156.81,6.93393,1.85952,1233.48,1233.32
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",6,465,14,67.9121,1130.45,6.92287,1.86051,1207.3,1207.15
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",6,465,15,68.0643,1202.3,6.94387,1.86054,1279.32,1279.17
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",6,465,16,67.9527,1117.24,6.92103,1.86262,1194.13,1193.97
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",6,465,17,67.6531,1144.09,6.93142,1.86058,1220.69,1220.54
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",6,465,18,68.064,1189.8,6.96545,1.8647,1266.88,1266.7
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",6,465,19,68.192,1170.33,7.00733,1.87078,1247.56,1247.41
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",6,465,20,68.39,1141.11,6.90714,1.8503,1216.86,1218.26
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",6,465,21,67.5863,1142.58,6.92537,1.85955,1219.11,1218.95
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",6,465,22,68.2043,1183.62,6.93981,1.86051,1260.77,1260.62
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",6,465,23,67.3233,1182.34,6.9235,1.84826,1258.01,1258.44
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",6,465,24,68.5561,1165.1,6.9326,1.85955,1242.6,1242.45
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",6,465,25,67.9227,1127.65,6.937,1.86061,1204.52,1204.37
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",6,465,26,68.3195,1130.48,6.91649,1.84822,1201.9,1207.56
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",6,465,27,68.2981,1143.36,6.92728,1.84829,1218.37,1220.44
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",6,465,28,67.77,1160.72,6.93651,1.85853,1237.45,1237.29
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",6,465,29,67.8748,1156.55,6.93735,1.86262,1233.38,1233.22
