dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,203,0,0.620096,8.79107,0.730514,0.336896,11.16,10.4786
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,203,1,0.220448,1.41488,0.740288,0.151552,3.06488,2.52717
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,203,2,0.22128,1.41744,0.712367,0.152576,3.04387,2.50366
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,203,3,0.221088,1.41274,0.718511,0.152576,3.0377,2.50491
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,203,4,0.222624,1.48668,0.712227,0.151552,3.09143,2.57308
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,203,5,0.219136,1.44752,0.706872,0.152576,3.03332,2.52611
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,203,6,0.218848,1.41713,0.715254,0.149504,3.03909,2.50074
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,203,7,0.223584,1.41176,0.720675,0.152576,3.03986,2.5086
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,203,8,0.222048,1.4669,0.716096,0.155648,3.10183,2.5607
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,203,9,0.220992,1.4244,0.711071,0.1536,3.04447,2.51006
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,203,10,0.220736,1.41047,0.714534,0.156672,3.03414,2.50241
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,203,11,0.223296,1.41658,0.720414,0.1536,3.06476,2.51389
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,203,12,0.221216,1.41799,0.718655,0.1536,3.04364,2.51146
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,203,13,0.22,1.40832,0.719483,0.1536,3.03959,2.5014
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,203,14,0.225408,1.41363,0.725371,0.1536,3.05179,2.51801
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,203,15,0.224928,1.42426,0.720976,0.150528,3.05745,2.5207
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,203,16,0.285248,1.40643,0.718132,0.152576,3.09836,2.56239
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,203,17,0.219456,1.41176,0.71625,0.154624,3.03751,2.50209
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,203,18,0.2224,1.48808,0.719023,0.152576,3.11934,2.58208
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,203,19,0.220224,1.41589,0.718055,0.1536,3.04395,2.50777
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,203,20,0.222784,1.41461,0.71529,0.154624,3.03428,2.50731
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,203,21,0.220704,1.40837,0.71773,0.150528,3.02798,2.49734
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,203,22,0.222496,1.41684,0.717332,0.152576,3.04211,2.50924
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,203,23,0.222976,1.41608,0.717924,0.154624,3.04984,2.51161
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,203,24,0.223424,1.42527,0.717535,0.154624,3.05594,2.52086
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,203,25,0.22272,1.41623,0.710299,0.152576,3.03356,2.50183
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,203,26,0.220576,1.42002,0.717237,0.1536,3.04482,2.51143
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,203,27,0.219872,1.41117,0.717481,0.152576,3.03444,2.5011
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,203,28,0.22416,1.41011,0.713132,0.154624,3.03437,2.50203
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,203,29,0.221248,1.42392,0.717415,0.151552,3.05089,2.51413
