dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",8,369,0,13.6158,269.179,1.53482,0.768992,278.191,285.098
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",8,369,1,12.2643,188.484,1.64235,0.4208,202.934,202.811
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",8,369,2,12.2656,176.74,1.63097,0.419744,191.177,191.056
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",8,369,3,12.2205,181.492,1.53137,0.413664,193.622,195.657
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",8,369,4,12.2833,182.531,1.52645,0.411552,191.386,196.752
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",8,369,5,12.2208,184.433,1.63845,0.423872,198.844,198.716
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",8,369,6,11.5442,186.902,1.5036,0.408544,200.484,200.359
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",8,369,7,12.2337,186.158,1.69993,0.45968,200.749,200.551
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",8,369,8,12.3243,177.111,1.64763,0.42384,191.639,191.507
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",8,369,9,11.6904,179.078,1.50075,0.407456,191.285,192.677
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",8,369,10,12.1612,185.692,1.52281,0.416704,198.406,199.793
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",8,369,11,11.5972,197.749,1.49595,0.432096,210.619,211.274
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",8,369,12,11.4558,194.604,1.50061,0.411648,206.932,207.973
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",8,369,13,12.15,188.169,1.52408,0.41056,201.086,202.254
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",8,369,14,12.3297,193.325,1.52524,0.41056,199.58,207.591
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",8,369,15,11.2343,190.503,1.50559,0.413696,199.566,203.656
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",8,369,16,11.486,186.454,1.49777,0.407552,197.689,199.846
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",8,369,17,12.2528,182.757,1.63647,0.421824,197.197,197.068
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",8,369,18,11.5672,203.718,1.50023,0.415712,212.414,217.201
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",8,369,19,12.2778,179.192,1.63474,0.419744,193.644,193.524
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",8,369,20,12.2498,177.342,1.63851,0.421824,191.771,191.652
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",8,369,21,11.5044,178.294,1.50304,0.4096,190.349,191.711
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",8,369,22,12.2309,180.879,1.62982,0.418752,195.274,195.158
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",8,369,23,12.1628,175.28,1.52243,0.40544,189.251,189.37
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",8,369,24,12.176,189.792,1.52362,0.408512,192.448,203.9
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",8,369,25,12.2253,185.728,1.63487,0.424896,200.149,200.014
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",8,369,26,11.5287,179.672,1.50171,0.410528,191.193,193.113
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",8,369,27,11.4607,177.216,1.52351,0.40448,190.548,190.605
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",8,369,28,12.3758,175.393,1.6318,0.415648,189.936,189.816
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",8,369,29,12.1728,177.526,1.5279,0.406464,189.882,191.634
