dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,CPU,"P | P | P | P | N | D",6,323,0,12.4176,223.119,1.19584,0.720864,237.63,237.453
3,float,uniform,CPU,"P | P | P | P | N | D",6,323,1,10.8316,116.605,1.13203,0.374688,128.79,128.944
3,float,uniform,CPU,"P | P | P | P | N | D",6,323,2,10.7761,124.267,1.13149,0.36752,134.025,136.543
3,float,uniform,CPU,"P | P | P | P | N | D",6,323,3,10.7997,114.687,1.1403,0.367552,121.739,126.995
3,float,uniform,CPU,"P | P | P | P | N | D",6,323,4,10.9737,113.08,1.14919,0.373696,125.696,125.577
3,float,uniform,CPU,"P | P | P | P | N | D",6,323,5,10.7851,122.525,1.13432,0.371648,134.461,134.816
3,float,uniform,CPU,"P | P | P | P | N | D",6,323,6,10.8684,111.067,1.15175,0.367552,123.578,123.455
3,float,uniform,CPU,"P | P | P | P | N | D",6,323,7,10.7995,107.639,1.14771,0.368544,116.655,119.955
3,float,uniform,CPU,"P | P | P | P | N | D",6,323,8,10.8441,112.602,1.1509,0.364448,125.083,124.961
3,float,uniform,CPU,"P | P | P | P | N | D",6,323,9,10.8088,114.527,1.14208,0.368608,124.56,126.846
3,float,uniform,CPU,"P | P | P | P | N | D",6,323,10,10.8035,104.47,1.14022,0.378816,116.282,116.793
3,float,uniform,CPU,"P | P | P | P | N | D",6,323,11,10.8274,108.491,1.1456,0.368608,120.65,120.833
3,float,uniform,CPU,"P | P | P | P | N | D",6,323,12,10.9128,104.429,1.14915,0.3696,116.971,116.86
3,float,uniform,CPU,"P | P | P | P | N | D",6,323,13,10.8748,110.559,1.1593,0.367552,123.08,122.961
3,float,uniform,CPU,"P | P | P | P | N | D",6,323,14,10.8168,109.176,1.15565,0.373696,117.091,121.522
3,float,uniform,CPU,"P | P | P | P | N | D",6,323,15,10.9028,113.783,1.17251,0.388032,126.415,126.246
3,float,uniform,CPU,"P | P | P | P | N | D",6,323,16,10.9167,115.836,1.15197,0.368608,128.388,128.273
3,float,uniform,CPU,"P | P | P | P | N | D",6,323,17,10.8119,117.025,1.13353,0.368576,127.394,129.339
3,float,uniform,CPU,"P | P | P | P | N | D",6,323,18,10.7824,113.132,1.14791,0.372672,116.054,125.435
3,float,uniform,CPU,"P | P | P | P | N | D",6,323,19,10.8327,112.328,1.1718,0.3696,119.249,124.702
3,float,uniform,CPU,"P | P | P | P | N | D",6,323,20,10.8116,119.83,1.13809,0.364448,126.514,132.144
3,float,uniform,CPU,"P | P | P | P | N | D",6,323,21,10.9086,108.098,1.15035,0.368544,120.638,120.526
3,float,uniform,CPU,"P | P | P | P | N | D",6,323,22,10.8259,111.547,1.13182,0.368544,118.631,123.873
3,float,uniform,CPU,"P | P | P | P | N | D",6,323,23,10.8172,130.205,1.15816,0.371616,140.985,142.552
3,float,uniform,CPU,"P | P | P | P | N | D",6,323,24,10.8861,106.455,1.1477,0.366528,118.971,118.855
3,float,uniform,CPU,"P | P | P | P | N | D",6,323,25,10.911,107.275,1.16791,0.381888,119.87,119.736
3,float,uniform,CPU,"P | P | P | P | N | D",6,323,26,10.8132,109.159,1.13706,0.366496,118.643,121.476
3,float,uniform,CPU,"P | P | P | P | N | D",6,323,27,10.9333,105.451,1.14694,0.371648,118.013,117.902
3,float,uniform,CPU,"P | P | P | P | N | D",6,323,28,10.8609,107.963,1.13502,0.368544,118.888,120.328
3,float,uniform,CPU,"P | P | P | P | N | D",6,323,29,10.9076,104.834,1.14484,0.366528,117.363,117.253
