dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,GPU,"P | P | P | P | D | N",6,465,0,0.90784,1231.83,6.74656,2.59475,1242.29,1242.08
3,double,uniform,GPU,"P | P | P | P | D | N",6,465,1,0.867136,1160.01,6.72493,1.86259,1169.61,1169.47
3,double,uniform,GPU,"P | P | P | P | D | N",6,465,2,0.86944,1203.44,6.72383,1.86054,1213.03,1212.89
3,double,uniform,GPU,"P | P | P | P | D | N",6,465,3,0.868896,1188.63,6.78794,1.85744,1195.07,1198.15
3,double,uniform,GPU,"P | P | P | P | D | N",6,465,4,0.865568,1155.76,6.69038,1.85037,1153.94,1165.17
3,double,uniform,GPU,"P | P | P | P | D | N",6,465,5,0.865024,1128.88,6.72439,1.85133,1135.64,1138.32
3,double,uniform,GPU,"P | P | P | P | D | N",6,465,6,0.862176,1141.78,6.72168,1.8616,1151.37,1151.23
3,double,uniform,GPU,"P | P | P | P | D | N",6,465,7,0.8648,1139.88,6.72944,1.8513,1146.46,1149.33
3,double,uniform,GPU,"P | P | P | P | D | N",6,465,8,0.906048,1141.91,6.6788,1.89133,1150.78,1151.38
3,double,uniform,GPU,"P | P | P | P | D | N",6,465,9,0.86368,1157.87,6.6999,1.85232,1167.29,1167.29
3,double,uniform,GPU,"P | P | P | P | D | N",6,465,10,0.883936,1164.56,6.78426,1.88618,1174.29,1174.11
3,double,uniform,GPU,"P | P | P | P | D | N",6,465,11,0.864576,1167.21,6.67486,1.85136,1166.69,1176.6
3,double,uniform,GPU,"P | P | P | P | D | N",6,465,12,0.884576,1167.76,6.65551,1.8944,1172.27,1177.2
3,double,uniform,GPU,"P | P | P | P | D | N",6,465,13,0.865728,1138.05,6.72083,1.85238,1139.62,1147.49
3,double,uniform,GPU,"P | P | P | P | D | N",6,465,14,0.86752,1177.56,6.71535,1.85955,1187.15,1187
3,double,uniform,GPU,"P | P | P | P | D | N",6,465,15,0.864448,1164.69,6.73155,1.85754,1168.52,1174.14
3,double,uniform,GPU,"P | P | P | P | D | N",6,465,16,0.865088,1137.92,6.7049,1.84925,1147.12,1147.34
3,double,uniform,GPU,"P | P | P | P | D | N",6,465,17,0.883104,1170.62,6.77882,1.86976,1168.87,1180.15
3,double,uniform,GPU,"P | P | P | P | D | N",6,465,18,0.865888,1178.45,6.73755,1.84925,1183.81,1187.91
3,double,uniform,GPU,"P | P | P | P | D | N",6,465,19,0.869472,1167.44,6.69132,1.8585,1174.75,1176.86
3,double,uniform,GPU,"P | P | P | P | D | N",6,465,20,0.865216,1142.99,6.80804,1.88819,1152.69,1152.56
3,double,uniform,GPU,"P | P | P | P | D | N",6,465,21,0.865024,1140.15,6.73252,1.8544,1149.7,1149.6
3,double,uniform,GPU,"P | P | P | P | D | N",6,465,22,0.864608,1203.66,6.71778,1.8503,1208.28,1213.1
3,double,uniform,GPU,"P | P | P | P | D | N",6,465,23,0.863168,1157.38,6.67296,1.85034,1162.95,1166.76
3,double,uniform,GPU,"P | P | P | P | D | N",6,465,24,0.867488,1162.25,6.72234,1.85542,1155.41,1171.7
3,double,uniform,GPU,"P | P | P | P | D | N",6,465,25,0.881472,1128.94,6.75444,1.86877,1130.47,1138.44
3,double,uniform,GPU,"P | P | P | P | D | N",6,465,26,0.863936,1159.2,6.72369,1.8585,1168.78,1168.65
3,double,uniform,GPU,"P | P | P | P | D | N",6,465,27,0.888,1167.62,6.64563,1.89338,1173.63,1177.05
3,double,uniform,GPU,"P | P | P | P | D | N",6,465,28,0.880768,1223.63,6.77487,1.87491,1233.33,1233.16
3,double,uniform,GPU,"P | P | P | P | D | N",6,465,29,0.865056,1167.49,6.70313,1.84928,1170.35,1176.91
