dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,CPU,"D | D | D | D | D | D",4,406,0,37.5469,0,2929.18,1.01578,2942.15,2967.75
3,float,uniform,CPU,"D | D | D | D | D | D",4,406,1,37.4908,0,1884.36,0.492544,1922.46,1922.34
3,float,uniform,CPU,"D | D | D | D | D | D",4,406,2,37.4083,0,1876.37,0.463872,1914.34,1914.24
3,float,uniform,CPU,"D | D | D | D | D | D",4,406,3,36.2011,0,1864.73,0.470016,1901.53,1901.41
3,float,uniform,CPU,"D | D | D | D | D | D",4,406,4,36.2519,0,1858.9,0.461792,1895.71,1895.61
3,float,uniform,CPU,"D | D | D | D | D | D",4,406,5,37.3575,0,1865.55,0.462816,1903.47,1903.37
3,float,uniform,CPU,"D | D | D | D | D | D",4,406,6,36.115,0,1865.72,0.464896,1902.42,1902.3
3,float,uniform,CPU,"D | D | D | D | D | D",4,406,7,36.1233,0,1864.36,0.458752,1901.04,1900.94
3,float,uniform,CPU,"D | D | D | D | D | D",4,406,8,37.2292,0,1879.43,0.454656,1917.22,1917.11
3,float,uniform,CPU,"D | D | D | D | D | D",4,406,9,36.2249,0,1887.72,0.457728,1924.5,1924.4
3,float,uniform,CPU,"D | D | D | D | D | D",4,406,10,36.3968,0,1880.69,0.478208,1917.69,1917.57
3,float,uniform,CPU,"D | D | D | D | D | D",4,406,11,36.5987,0,1871.13,0.456704,1908.32,1908.19
3,float,uniform,CPU,"D | D | D | D | D | D",4,406,12,36.3116,0,1877.36,0.456704,1914.23,1914.13
3,float,uniform,CPU,"D | D | D | D | D | D",4,406,13,36.3428,0,1864.98,0.461824,1901.88,1901.78
3,float,uniform,CPU,"D | D | D | D | D | D",4,406,14,37.3921,0,1875.62,0.465984,1913.61,1913.48
3,float,uniform,CPU,"D | D | D | D | D | D",4,406,15,36.3233,0,1870.61,0.462848,1907.49,1907.39
3,float,uniform,CPU,"D | D | D | D | D | D",4,406,16,36.3263,0,1872.18,0.457728,1909.06,1908.96
3,float,uniform,CPU,"D | D | D | D | D | D",4,406,17,36.2844,0,1875.23,0.458752,1912.13,1911.98
3,float,uniform,CPU,"D | D | D | D | D | D",4,406,18,36.1386,0,1873.77,0.461888,1910.49,1910.37
3,float,uniform,CPU,"D | D | D | D | D | D",4,406,19,36.1143,0,1861.88,0.462848,1898.55,1898.46
3,float,uniform,CPU,"D | D | D | D | D | D",4,406,20,36.3955,0,1866.25,0.458752,1903.2,1903.1
3,float,uniform,CPU,"D | D | D | D | D | D",4,406,21,36.6147,0,1864.64,0.456704,1901.81,1901.71
3,float,uniform,CPU,"D | D | D | D | D | D",4,406,22,36.6454,0,1860.51,0.457728,1897.72,1897.62
3,float,uniform,CPU,"D | D | D | D | D | D",4,406,23,36.7095,0,1870.2,0.455712,1907.49,1907.36
3,float,uniform,CPU,"D | D | D | D | D | D",4,406,24,36.0887,0,1862.62,0.455744,1899.26,1899.17
3,float,uniform,CPU,"D | D | D | D | D | D",4,406,25,36.6448,0,1872.99,0.457728,1910.19,1910.1
3,float,uniform,CPU,"D | D | D | D | D | D",4,406,26,36.5699,0,1863.6,0.47104,1900.76,1900.64
3,float,uniform,CPU,"D | D | D | D | D | D",4,406,27,36.5475,0,1860.05,0.456672,1897.14,1897.05
3,float,uniform,CPU,"D | D | D | D | D | D",4,406,28,36.2832,0,1868.18,0.456704,1905.02,1904.92
3,float,uniform,CPU,"D | D | D | D | D | D",4,406,29,36.1888,0,1858.68,0.458752,1895.42,1895.32
