dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,GPU,"D | D | D | D | D | D",4,256,0,0.646336,12.3859,2.09592,0.342016,15.5466,15.4701
3,double,uniform,GPU,"D | D | D | D | D | D",4,256,1,0.214432,2.47665,2.08814,0.202752,5.04401,4.98198
3,double,uniform,GPU,"D | D | D | D | D | D",4,256,2,0.218272,2.47412,2.09001,0.201728,5.04866,4.98412
3,double,uniform,GPU,"D | D | D | D | D | D",4,256,3,0.217568,2.53355,2.09235,0.201728,5.07955,5.0452
3,double,uniform,GPU,"D | D | D | D | D | D",4,256,4,0.215136,2.44753,2.10136,0.202752,5.06028,4.96677
3,double,uniform,GPU,"D | D | D | D | D | D",4,256,5,0.216064,2.50616,2.08699,0.2048,5.0592,5.01402
3,double,uniform,GPU,"D | D | D | D | D | D",4,256,6,0.215968,2.51391,2.08967,0.202752,5.09598,5.02229
3,double,uniform,GPU,"D | D | D | D | D | D",4,256,7,0.2184,2.49144,2.07942,0.206848,5.02116,4.99611
3,double,uniform,GPU,"D | D | D | D | D | D",4,256,8,0.219936,2.59168,2.07994,0.203776,5.11142,5.09533
3,double,uniform,GPU,"D | D | D | D | D | D",4,256,9,0.21472,2.4624,2.08549,0.2048,5.05154,4.9674
3,double,uniform,GPU,"D | D | D | D | D | D",4,256,10,0.212608,2.45233,2.09133,0.203776,5.04321,4.96004
3,double,uniform,GPU,"D | D | D | D | D | D",4,256,11,0.217664,2.48544,2.07925,0.202752,5.0496,4.98511
3,double,uniform,GPU,"D | D | D | D | D | D",4,256,12,0.217024,2.45527,2.08781,0.203776,5.0132,4.96389
3,double,uniform,GPU,"D | D | D | D | D | D",4,256,13,0.21712,2.57464,2.08042,0.203776,5.15354,5.07595
3,double,uniform,GPU,"D | D | D | D | D | D",4,256,14,0.21552,2.47649,2.11941,0.206848,5.10027,5.01827
3,double,uniform,GPU,"D | D | D | D | D | D",4,256,15,0.214912,2.45993,2.0804,0.212992,5.05442,4.96824
3,double,uniform,GPU,"D | D | D | D | D | D",4,256,16,0.217856,2.4381,2.1607,0.202752,5.03743,5.01941
3,double,uniform,GPU,"D | D | D | D | D | D",4,256,17,0.21488,2.47308,2.10074,0.203776,5.04732,4.99247
3,double,uniform,GPU,"D | D | D | D | D | D",4,256,18,0.219008,2.4561,2.08088,0.207872,5.03666,4.96387
3,double,uniform,GPU,"D | D | D | D | D | D",4,256,19,0.252672,2.49496,2.08991,0.203776,5.12546,5.04132
3,double,uniform,GPU,"D | D | D | D | D | D",4,256,20,0.21552,2.44308,2.08678,0.203776,5.03536,4.94916
3,double,uniform,GPU,"D | D | D | D | D | D",4,256,21,0.213632,2.44357,2.09282,0.2048,5.04157,4.95482
3,double,uniform,GPU,"D | D | D | D | D | D",4,256,22,0.220416,2.43459,2.09538,0.203776,5.02172,4.95416
3,double,uniform,GPU,"D | D | D | D | D | D",4,256,23,0.215904,2.44964,2.09302,0.201728,5.03789,4.96028
3,double,uniform,GPU,"D | D | D | D | D | D",4,256,24,0.210592,2.49942,2.08004,0.205824,5.09131,4.99587
3,double,uniform,GPU,"D | D | D | D | D | D",4,256,25,0.218912,2.46648,2.0805,0.200704,5.01364,4.9666
3,double,uniform,GPU,"D | D | D | D | D | D",4,256,26,0.217472,2.45748,2.08638,0.205824,5.04352,4.96716
3,double,uniform,GPU,"D | D | D | D | D | D",4,256,27,0.216544,2.48828,2.08516,0.203776,5.15809,4.99376
3,double,uniform,GPU,"D | D | D | D | D | D",4,256,28,0.216448,2.43649,2.0843,0.203776,5.02352,4.94102
3,double,uniform,GPU,"D | D | D | D | D | D",4,256,29,0.217216,2.45992,2.08454,0.202752,5.0423,4.96443
