dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,406,0,65.0482,0,2946.2,1.28102,3012.78,3012.53
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,406,1,64.7152,0,2442.63,0.772,2508.22,2508.11
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,406,2,63.6878,0,2437.63,0.776192,2502.22,2502.1
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,406,3,64.6108,0,2559.93,0.761856,2601.34,2625.3
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,406,4,63.5079,0,2434.21,0.777184,2498.62,2498.49
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,406,5,64.885,0,2425.48,0.759872,2491.23,2491.12
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,406,6,63.7875,0,2427.85,0.761856,2492.52,2492.4
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,406,7,63.6416,0,2467.1,0.769984,2531.61,2531.51
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,406,8,63.4588,0,2455.31,0.759808,2519.63,2519.53
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,406,9,64.4719,0,2448.32,0.75776,2513.65,2513.55
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,406,10,63.8025,0,2429.96,0.772096,2494.65,2494.53
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,406,11,63.6862,0,2427.38,0.7568,2491.93,2491.83
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,406,12,65.5944,0,2441.18,0.75776,2507.64,2507.53
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,406,13,63.6644,0,2431.22,0.755712,2495.76,2495.64
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,406,14,63.8574,0,2432.92,0.769024,2497.67,2497.54
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,406,15,63.4999,0,2432.67,0.758784,2497.03,2496.93
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,406,16,63.8409,0,2426.72,0.756736,2490.14,2491.31
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,406,17,63.6399,0,2571.84,0.760832,2604.92,2636.24
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,406,18,64.7929,0,2429.98,0.756736,2495.63,2495.53
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,406,19,63.7048,0,2553.06,0.760832,2596.71,2617.52
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,406,20,63.4621,0,2473.97,0.77312,2538.33,2538.21
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,406,21,63.9311,0,2447.91,0.756736,2512.7,2512.6
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,406,22,63.657,0,2609.12,0.758784,2653.88,2673.53
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,406,23,63.7683,0,2458.5,0.756768,2523.12,2523.02
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,406,24,64.7515,0,2575.17,0.761856,2623.42,2640.68
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,406,25,63.5635,0,2571.24,0.758784,2618.53,2635.56
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,406,26,63.5876,0,2437.59,0.756736,2502.03,2501.93
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,406,27,63.65,0,2575.44,0.761856,2615.31,2639.85
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,406,28,63.6789,0,2430.2,0.75776,2494.74,2494.64
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,406,29,63.9933,0,2437.68,0.776192,2502.57,2502.45
