dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,203,0,15.4722,8.88001,0.724911,0.300032,26.107,25.3772
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,203,1,14.6632,1.46869,0.72551,0.152576,17.5358,17.0099
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,203,2,14.6963,1.42341,0.722186,0.1536,17.5383,16.9955
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,203,3,14.5,1.4309,0.721383,0.152576,17.3507,16.8049
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,203,4,14.8829,1.49764,0.710734,0.14848,17.646,17.2398
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,203,5,14.852,1.41632,0.717486,0.151552,17.6779,17.1373
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,203,6,14.648,1.43651,0.721546,0.1536,17.5064,16.9597
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,203,7,14.6161,1.41168,0.712419,0.151552,17.4418,16.8917
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,203,8,14.6876,1.54159,0.709862,0.1536,17.5422,17.0927
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,203,9,14.8588,1.43081,0.719883,0.151552,17.7047,17.161
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,203,10,14.5854,1.40602,0.719095,0.151552,17.3996,16.8621
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,203,11,14.6964,1.47171,0.720566,0.150528,17.4953,17.0392
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,203,12,14.7115,1.40839,0.712215,0.150528,17.4605,16.9826
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,203,13,14.6801,1.44777,0.722394,0.152576,17.5414,17.0029
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,203,14,14.8267,1.41988,0.71348,0.152576,17.6594,17.1126
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,203,15,14.8571,1.41279,0.727168,0.151552,17.6939,17.1486
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,203,16,14.6401,1.4162,0.711287,0.151552,17.4469,16.9191
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,203,17,14.6429,1.41038,0.718341,0.150528,17.4712,16.9221
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,203,18,14.817,1.41272,0.720849,0.154624,17.658,17.1052
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,203,19,14.6465,1.43795,0.716751,0.155648,17.5423,16.9568
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,203,20,14.757,1.42608,0.721828,0.1536,17.6311,17.0585
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,203,21,14.8836,1.47993,0.715099,0.152576,17.78,17.2312
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,203,22,14.5947,1.46076,0.713552,0.150528,17.4152,16.9195
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,203,23,14.7036,1.42994,0.71726,0.155648,17.5634,17.0064
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,203,24,14.8012,1.41474,0.832365,0.152576,17.7474,17.2009
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,203,25,14.726,1.41631,0.716911,0.152576,17.5575,17.0118
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,203,26,14.7309,1.41327,0.733199,0.152576,17.5744,17.03
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,203,27,14.5047,1.49293,0.718648,0.154592,17.417,16.8709
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,203,28,14.795,1.42119,0.721683,0.152576,17.6392,17.0905
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,203,29,14.7894,1.43342,0.717824,0.155648,17.6453,17.0963
