dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",1,161,0,0.625472,0.429725,1.46953,0.69632,3.33098,3.22105
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",1,161,1,0.232928,0.383562,1.45077,0.479232,2.67394,2.54649
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",1,161,2,0.232288,0.38247,1.43979,0.479232,2.66158,2.53378
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",1,161,3,0.234464,0.380845,1.44857,0.483328,2.67369,2.54721
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",1,161,4,0.232416,0.440464,1.4557,0.479232,2.74486,2.60781
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",1,161,5,0.22944,0.383771,1.45174,0.48128,2.67714,2.54623
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",1,161,6,0.231296,0.386557,1.46258,0.490496,2.71016,2.57093
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",1,161,7,0.230592,0.38189,1.45324,0.48128,2.681,2.547
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",1,161,8,0.231424,0.379472,1.44903,0.482304,2.66973,2.54223
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",1,161,9,0.231616,0.380085,1.46006,0.48128,2.68171,2.55304
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",1,161,10,0.234368,0.380546,1.44947,0.478208,2.69053,2.5426
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",1,161,11,0.225248,0.379583,1.45063,0.48128,2.66095,2.53674
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",1,161,12,0.229408,0.38452,1.45456,0.482304,2.68181,2.5508
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",1,161,13,0.231264,0.382383,1.45148,0.482304,2.67764,2.54743
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",1,161,14,0.231456,0.381549,1.45527,0.479232,2.68112,2.54751
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",1,161,15,0.231552,0.379757,1.45661,0.480256,2.67623,2.54817
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",1,161,16,0.234592,0.386607,1.45482,0.478208,2.68428,2.55423
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",1,161,17,0.230208,0.380572,1.45284,0.482304,2.67282,2.54592
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",1,161,18,0.232384,0.382826,1.45402,0.480256,2.67928,2.54949
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",1,161,19,0.233728,0.380547,1.45277,0.480256,2.69008,2.5473
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",1,161,20,0.229984,0.381949,1.44469,0.48128,2.66685,2.5379
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",1,161,21,0.233312,0.379658,1.51438,0.480256,2.7363,2.60761
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",1,161,22,0.23392,0.384939,1.44818,0.479232,2.67541,2.54627
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",1,161,23,0.228224,0.383199,1.45246,0.480256,2.67486,2.54414
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",1,161,24,0.236096,0.380429,1.45309,0.48128,2.68077,2.5509
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",1,161,25,0.226944,0.381683,1.44996,0.48128,2.6673,2.53987
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",1,161,26,0.228736,0.382402,1.44645,0.478208,2.66393,2.53579
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",1,161,27,0.230464,0.401428,1.44854,0.48128,2.69078,2.56171
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",1,161,28,0.229984,0.382634,1.45167,0.479232,2.67338,2.54352
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",1,161,29,0.230752,0.380639,1.46436,0.48128,2.68432,2.55703
