dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",8,369,0,0.81152,484.556,2.83834,1.05882,489.366,489.265
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",8,369,1,0.35792,368.072,2.95137,0.720864,372.214,372.102
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",8,369,2,0.351616,367.034,2.81173,0.734208,369.283,370.931
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",8,369,3,0.356288,359.348,2.80453,0.713696,356.779,363.223
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",8,369,4,0.350624,365.84,2.8174,0.733184,362.272,369.741
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",8,369,5,0.365952,357.332,2.78526,0.73728,355.56,361.221
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",8,369,6,0.378656,352.157,2.92758,0.725984,356.329,356.189
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",8,369,7,0.37408,351.242,3.01008,0.744448,355.498,355.371
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",8,369,8,0.346496,349.397,2.80367,0.735232,352.332,353.283
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",8,369,9,0.350528,352.455,2.80454,0.736256,351.193,356.346
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",8,369,10,0.356672,358.435,2.80426,0.71056,343.928,362.307
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",8,369,11,0.360864,376.566,2.79333,0.712672,372.729,380.433
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",8,369,12,0.35056,366.825,2.86174,0.711648,345.445,370.749
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",8,369,13,0.36176,367.137,2.80148,0.706496,357.388,371.007
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",8,369,14,0.358592,391.586,2.84634,0.70752,391.848,395.499
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",8,369,15,0.359104,363.269,2.8143,0.709568,364.127,367.152
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",8,369,16,0.347936,356.722,2.7769,0.736256,356.279,360.583
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",8,369,17,0.361248,351.089,2.80478,0.702432,354.19,354.957
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",8,369,18,0.350464,363.859,2.79637,0.73728,367.78,367.744
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",8,369,19,0.360736,364.542,2.79999,0.710656,366.59,368.413
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",8,369,20,0.348832,365.419,2.81762,0.73216,369.359,369.317
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",8,369,21,0.369248,369.883,2.89643,0.744448,361.811,373.893
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",8,369,22,0.348832,359.116,2.82633,0.734208,360.229,363.026
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",8,369,23,0.346912,359.664,2.81053,0.73216,354.337,363.553
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",8,369,24,0.348192,367.183,2.79722,0.731136,346.538,371.06
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",8,369,25,0.35424,357.848,2.8911,0.714752,347.697,361.808
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",8,369,26,0.360384,351.996,2.82567,0.711616,345.573,355.894
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",8,369,27,0.355776,356.418,2.91204,0.724928,360.531,360.411
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",8,369,28,0.366016,351.026,2.88045,0.734208,349.373,355.006
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",8,369,29,0.349568,353.436,2.81097,0.731136,353.997,357.327
