dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",1,256,0,0.394976,0.701047,1.61061,0.88576,3.71959,3.5924
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",1,256,1,0.363264,0.695868,1.56189,0.519168,3.2729,3.14019
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",1,256,2,0.363232,0.695214,1.5365,0.516096,3.24001,3.11104
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",1,256,3,0.363328,0.694862,1.54934,0.508928,3.24982,3.11646
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",1,256,4,0.365632,0.696607,1.54306,0.508928,3.24811,3.11422
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",1,256,5,0.362464,0.696111,1.54668,0.510976,3.25893,3.11623
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",1,256,6,0.36,0.700213,1.55524,0.518144,3.26822,3.13359
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",1,256,7,0.358784,0.69651,1.54691,0.507904,3.23966,3.1101
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",1,256,8,0.364064,0.70366,1.54528,0.513024,3.26011,3.12602
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",1,256,9,0.368448,0.696058,1.55092,0.50688,3.25231,3.12231
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",1,256,10,0.36688,0.698785,1.54455,0.510976,3.25205,3.12119
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",1,256,11,0.366592,0.695597,1.55072,0.507904,3.25388,3.12081
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",1,256,12,0.359904,0.698053,1.54945,0.512,3.25502,3.11941
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",1,256,13,0.367072,0.695734,1.55038,0.510976,3.25767,3.12417
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",1,256,14,0.36672,0.695563,1.55183,0.512,3.25674,3.12611
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",1,256,15,0.364672,0.694195,1.55115,0.505856,3.24729,3.11587
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",1,256,16,0.359328,0.695258,1.54954,0.516096,3.24978,3.12022
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",1,256,17,0.357856,0.695871,1.55482,0.508928,3.24921,3.11748
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",1,256,18,0.365984,0.701599,1.54707,0.512,3.27973,3.12665
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",1,256,19,0.359296,0.695671,1.5538,0.503808,3.24337,3.11257
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",1,256,20,0.366976,0.699359,1.55023,0.509952,3.25711,3.12652
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",1,256,21,0.365184,0.694512,1.54779,0.505856,3.24384,3.11335
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",1,256,22,0.366304,0.696664,1.54697,0.507904,3.24663,3.11784
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",1,256,23,0.366432,0.694765,1.54432,0.508928,3.245,3.11445
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",1,256,24,0.36608,0.700032,1.54915,0.510976,3.2603,3.12624
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",1,256,25,0.364096,0.694104,1.54663,0.515072,3.24857,3.1199
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",1,256,26,0.359648,0.70074,1.54426,0.513024,3.25341,3.11767
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",1,256,27,0.360384,0.7062,1.55157,0.507904,3.26181,3.12606
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",1,256,28,0.365728,0.695205,1.54211,0.515072,3.25068,3.11812
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",1,256,29,0.366944,0.695403,1.54798,0.509952,3.26084,3.12028
