dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"D | D | D | D | N | D",1,256,0,0.381472,0.700863,3.16706,0.90112,5.26061,5.15052
3,float,uniform,GPU,"D | D | D | D | N | D",1,256,1,0.364192,0.696138,3.14203,0.512,4.83914,4.71436
3,float,uniform,GPU,"D | D | D | D | N | D",1,256,2,0.364896,0.695767,3.14968,0.513024,4.85598,4.72337
3,float,uniform,GPU,"D | D | D | D | N | D",1,256,3,0.364896,0.698554,3.15763,0.507904,4.8605,4.72899
3,float,uniform,GPU,"D | D | D | D | N | D",1,256,4,0.362848,0.693895,3.14624,0.512,4.84572,4.71498
3,float,uniform,GPU,"D | D | D | D | N | D",1,256,5,0.416896,0.695344,3.15717,0.510976,4.91115,4.78039
3,float,uniform,GPU,"D | D | D | D | N | D",1,256,6,0.364448,0.693924,3.15263,0.515072,4.85503,4.72608
3,float,uniform,GPU,"D | D | D | D | N | D",1,256,7,0.36448,0.695068,3.14895,0.509952,4.84968,4.71845
3,float,uniform,GPU,"D | D | D | D | N | D",1,256,8,0.362208,0.695996,3.14639,0.513024,4.8506,4.71762
3,float,uniform,GPU,"D | D | D | D | N | D",1,256,9,0.362528,0.694298,3.15393,0.50688,4.84921,4.71763
3,float,uniform,GPU,"D | D | D | D | N | D",1,256,10,0.36224,0.697474,3.14897,0.512992,4.85226,4.72167
3,float,uniform,GPU,"D | D | D | D | N | D",1,256,11,0.363936,0.6956,3.15157,0.507904,4.85181,4.71901
3,float,uniform,GPU,"D | D | D | D | N | D",1,256,12,0.36576,0.693647,3.15001,0.508928,4.84986,4.71834
3,float,uniform,GPU,"D | D | D | D | N | D",1,256,13,0.363488,0.694068,3.14766,0.505824,4.84478,4.71104
3,float,uniform,GPU,"D | D | D | D | N | D",1,256,14,0.363328,0.696993,3.15181,0.508928,4.85773,4.72106
3,float,uniform,GPU,"D | D | D | D | N | D",1,256,15,0.362272,0.695217,3.1543,0.505856,4.8488,4.71765
3,float,uniform,GPU,"D | D | D | D | N | D",1,256,16,0.363392,0.691924,3.1489,0.507904,4.84924,4.71212
3,float,uniform,GPU,"D | D | D | D | N | D",1,256,17,0.364064,0.755572,3.15315,0.510976,4.91938,4.78376
3,float,uniform,GPU,"D | D | D | D | N | D",1,256,18,0.368192,0.692908,3.14743,0.507904,4.84624,4.71643
3,float,uniform,GPU,"D | D | D | D | N | D",1,256,19,0.368096,0.696699,3.15739,0.50688,4.85776,4.72906
3,float,uniform,GPU,"D | D | D | D | N | D",1,256,20,0.364768,0.702054,3.14797,0.50688,4.85705,4.72168
3,float,uniform,GPU,"D | D | D | D | N | D",1,256,21,0.3656,0.694896,3.14503,0.513024,4.85127,4.71855
3,float,uniform,GPU,"D | D | D | D | N | D",1,256,22,0.360576,0.696431,3.15436,0.509952,4.85859,4.72132
3,float,uniform,GPU,"D | D | D | D | N | D",1,256,23,0.365216,0.695423,3.15094,0.504832,4.84562,4.71641
3,float,uniform,GPU,"D | D | D | D | N | D",1,256,24,0.37648,0.692873,3.15019,0.509952,4.79692,4.7295
3,float,uniform,GPU,"D | D | D | D | N | D",1,256,25,0.359552,0.692109,3.15015,0.510976,4.84227,4.71279
3,float,uniform,GPU,"D | D | D | D | N | D",1,256,26,0.359936,0.695324,3.15285,0.513024,4.85347,4.72114
3,float,uniform,GPU,"D | D | D | D | N | D",1,256,27,0.36416,0.699351,3.1545,0.50688,4.85622,4.72489
3,float,uniform,GPU,"D | D | D | D | N | D",1,256,28,0.363328,0.695001,3.14889,0.512,4.85338,4.71922
3,float,uniform,GPU,"D | D | D | D | N | D",1,256,29,0.365376,0.694616,3.15058,0.505856,4.84677,4.71642
