dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",2,203,0,0.560864,9.44979,0.673542,0.2816,11.067,10.9658
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",2,203,1,0.151072,2.12425,0.665543,0.141312,3.15556,3.08218
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",2,203,2,0.148224,2.12082,0.649452,0.140288,3.13089,3.05878
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",2,203,3,0.151296,2.16446,0.656104,0.142336,3.19066,3.1142
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",2,203,4,0.152096,2.16644,0.66532,0.142336,3.2014,3.12619
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",2,203,5,0.150592,2.12514,0.65672,0.144384,3.1491,3.07684
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",2,203,6,0.15488,2.10934,0.661552,0.146432,3.14246,3.0722
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",2,203,7,0.152,2.12369,0.660297,0.146432,3.15763,3.08242
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",2,203,8,0.153504,2.12106,0.654676,0.14336,3.14394,3.0726
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",2,203,9,0.150688,2.12541,0.658778,0.141312,3.15064,3.07619
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",2,203,10,0.153024,2.11719,0.660904,0.141312,3.14048,3.07243
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",2,203,11,0.151744,2.11447,0.657925,0.140288,3.13566,3.06442
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",2,203,12,0.15168,2.1146,0.658419,0.140288,3.13962,3.06498
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",2,203,13,0.155808,2.14145,0.663591,0.145408,3.18479,3.10626
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",2,203,14,0.149888,2.12254,0.657649,0.14336,3.14503,3.07343
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",2,203,15,0.149728,2.11801,0.652317,0.140288,3.14133,3.06035
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",2,203,16,0.149216,2.11756,0.730343,0.141312,3.21187,3.13843
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",2,203,17,0.1528,2.11122,0.655143,0.14336,3.13324,3.06253
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",2,203,18,0.150368,2.12847,0.656306,0.142336,3.15217,3.07749
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",2,203,19,0.150432,2.14491,0.658264,0.142336,3.17007,3.09594
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",2,203,20,0.151328,2.11923,0.658153,0.14848,3.14872,3.07719
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",2,203,21,0.150848,2.11668,0.658572,0.146432,3.14665,3.07254
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",2,203,22,0.153728,2.13689,0.661961,0.142336,3.17543,3.09491
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",2,203,23,0.149984,2.14452,0.658751,0.144384,3.17609,3.09764
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",2,203,24,0.147808,2.12095,0.658046,0.14336,3.1457,3.07017
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",2,203,25,0.152384,2.1116,0.657087,0.142336,3.13654,3.06341
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",2,203,26,0.159328,2.12158,0.657143,0.144384,3.15779,3.08243
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",2,203,27,0.1536,2.10743,0.664589,0.141312,3.1341,3.06694
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",2,203,28,0.151232,2.11141,0.657741,0.141312,3.12967,3.0617
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",2,203,29,0.151776,2.11217,0.655004,0.142336,3.12682,3.06129
