dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",6,465,0,68.2163,949.514,4.33744,2.40637,1027.72,1024.47
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",6,465,1,67.5718,937.187,4.32189,2.04486,1014.4,1011.13
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",6,465,2,67.4946,902.211,4.36505,2.03472,979.358,976.105
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",6,465,3,68.1251,928.79,4.35461,2.04899,1006.55,1003.32
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",6,465,4,69.2523,880.214,4.35958,2.01933,959.18,955.846
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",6,465,5,67.7747,855.485,4.32646,2.06131,932.87,929.648
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",6,465,6,68.0213,849.621,4.32529,2.01619,927.343,923.984
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",6,465,7,67.8284,859.258,4.34708,2.00294,936.725,933.436
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",6,465,8,68.5407,868.482,4.33456,2.04694,946.07,943.404
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",6,465,9,68.1685,863.876,4.33845,2.00288,941.689,938.386
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",6,465,10,68.6306,891.117,4.33344,2.06538,969.49,966.147
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",6,465,11,68.182,892.119,4.34279,2.02029,969.964,966.664
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",6,465,12,63.813,900.036,4.27822,2.0183,945.554,970.145
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",6,465,13,68.7607,865.295,4.33723,2.03981,943.771,940.433
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",6,465,14,67.9384,847.857,4.33498,1.99066,925.339,922.121
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",6,465,15,68.1484,877.663,4.32348,2.01213,955.022,952.147
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",6,465,16,68.0748,866.811,4.32733,2.00598,944.531,941.219
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",6,465,17,67.9615,888.296,4.3258,2.03264,966.009,962.616
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",6,465,18,68.2748,872.379,4.31952,2.02035,950.293,946.994
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",6,465,19,68.7621,879.41,4.32075,2.00909,957.785,954.502
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",6,465,20,68.2333,885.805,4.32801,2.06026,963.75,960.426
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",6,465,21,68.8176,847.13,4.33776,2.03155,925.628,922.317
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",6,465,22,67.6691,853.821,4.32052,2.0367,931.147,927.847
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",6,465,23,68.5269,863.898,4.3384,2.02442,941.339,938.788
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",6,465,24,68.33,923.005,4.33563,2.02342,1001,997.694
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",6,465,25,68.1718,873.702,4.35335,2.00086,951.627,948.228
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",6,465,26,67.7949,857.818,4.33044,2.03565,935.304,931.979
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",6,465,27,68.4248,884.622,4.33857,2.00701,962.666,959.392
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",6,465,28,68.1877,892.943,4.32723,2.0071,970.773,967.465
3,double,nonuniform_z,CPU,"P | P | P | P | Ns | Ns",6,465,29,68.0814,910.959,4.3305,1.98861,988.758,985.36
