dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",6,465,0,0.464928,571.591,2.94078,1.63843,568.309,576.635
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",6,465,1,0.432768,523.637,2.91053,1.00141,528.129,527.981
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",6,465,2,0.434752,522.925,2.90857,1.00141,527.408,527.27
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",6,465,3,0.432832,526.764,2.91188,0.997312,531.242,531.106
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",6,465,4,0.435712,529.078,2.87908,1.08954,532.585,533.482
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",6,465,5,0.426848,530.888,2.89766,0.994304,533.583,535.207
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",6,465,6,0.435744,529.443,2.89116,1.09773,532.483,533.868
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",6,465,7,0.433088,527.984,2.91178,1.00659,532.467,532.335
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",6,465,8,0.431808,558.588,2.97621,1.00858,563.143,563.005
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",6,465,9,0.433536,569.584,2.90855,1.00038,574.068,573.927
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",6,465,10,0.434656,552.944,2.91889,1.00448,557.44,557.302
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",6,465,11,0.440576,539.104,2.93957,1.01168,543.653,543.496
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",6,465,12,0.434816,534.393,2.96769,1.01162,538.945,538.807
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",6,465,13,0.431008,527.742,2.91221,1.00451,532.221,532.089
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",6,465,14,0.433632,552.355,2.90916,1.00147,556.834,556.699
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",6,465,15,0.433984,541.458,2.91423,0.9984,545.944,545.805
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",6,465,16,0.44144,539.303,2.92022,1.00042,543.822,543.665
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",6,465,17,0.43504,565.761,2.99479,1.03315,570.371,570.224
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",6,465,18,0.433664,527.002,2.91442,0.997344,531.483,531.348
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",6,465,19,0.431552,532.469,2.90292,0.996384,536.938,536.8
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",6,465,20,0.432032,527.096,2.91614,0.998368,531.58,531.442
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",6,465,21,0.433696,591.377,2.89949,1.00147,595.849,595.711
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",6,465,22,0.433888,527.681,2.91332,1.0025,532.168,532.031
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",6,465,23,0.436352,566.676,2.9207,1.00448,571.193,571.038
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",6,465,24,0.43312,527.822,2.91006,1.00653,532.305,532.172
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",6,465,25,0.441312,541.675,2.91945,0.99728,546.136,546.033
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",6,465,26,0.432384,557.373,2.91012,1.00659,561.856,561.722
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",6,465,27,0.430176,523.86,2.90597,1.0024,528.341,528.199
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",6,465,28,0.434016,522.998,2.90672,1.00246,527.476,527.341
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",6,465,29,0.439104,522.831,2.90305,1.00349,527.314,527.176
