dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",2,203,0,8.45885,9.01321,0.8078,0.478208,18.8946,18.7581
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",2,203,1,7.74381,1.60093,0.797306,0.289792,10.5267,10.4318
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",2,203,2,7.58554,1.63319,0.760796,0.289792,10.3487,10.2693
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",2,203,3,7.5799,1.62759,0.806835,0.29184,10.3504,10.3062
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",2,203,4,7.6752,1.70105,0.771598,0.289792,10.4616,10.4376
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",2,203,5,7.61635,1.65948,0.775227,0.290816,10.4258,10.3419
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",2,203,6,7.78256,1.61512,0.772858,0.293888,10.4876,10.4644
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",2,203,7,7.64051,1.65954,0.776188,0.29184,10.4669,10.3681
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",2,203,8,7.78685,1.62643,0.774337,0.289792,10.5786,10.4774
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",2,203,9,7.65952,1.58801,0.780474,0.292864,10.4173,10.3209
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",2,203,10,7.66,1.60907,0.778117,0.29184,10.4405,10.339
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",2,203,11,7.73405,1.59135,0.780349,0.292864,10.4989,10.3986
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",2,203,12,7.72595,1.63389,0.777371,0.293888,10.5299,10.4311
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",2,203,13,7.54362,1.59637,0.783912,0.293888,10.3207,10.2178
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",2,203,14,7.5857,1.61284,0.77902,0.29184,10.3704,10.2694
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",2,203,15,7.5992,1.58544,0.769868,0.29184,10.334,10.2463
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",2,203,16,7.67766,1.5884,0.776677,0.289792,10.4349,10.3325
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",2,203,17,7.63843,1.64216,0.774161,0.287744,10.4228,10.3425
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",2,203,18,7.53162,1.61271,0.773169,0.290816,10.3054,10.2083
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",2,203,19,7.62886,1.65574,0.779885,0.293888,10.4651,10.3584
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",2,203,20,7.65206,1.63178,0.778058,0.292864,10.4546,10.3548
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",2,203,21,7.59261,1.62249,0.772983,0.288768,10.2666,10.2769
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",2,203,22,7.64998,1.59751,0.776157,0.297984,10.42,10.3216
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",2,203,23,7.67536,1.59049,0.780063,0.290816,10.4337,10.3367
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",2,203,24,7.60554,1.71082,0.777006,0.293888,10.4876,10.3872
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",2,203,25,7.59443,1.66509,0.77696,0.292864,10.4043,10.3293
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",2,203,26,7.72298,1.57762,0.77707,0.292864,10.4653,10.3705
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",2,203,27,7.58243,1.58163,0.780036,0.295936,10.3383,10.24
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",2,203,28,7.65782,1.58219,0.776921,0.288768,10.4027,10.3057
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",2,203,29,7.7161,1.62823,0.782139,0.290816,10.4593,10.4173
