dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,323,0,63.3164,0,2383.81,1.09773,2448.36,2448.23
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,323,1,63.6245,0,2086.11,0.82432,2150.65,2150.55
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,323,2,62.8252,0,2086.09,0.8192,2149.83,2149.74
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,323,3,63.472,0,2084.67,0.818176,2149.05,2148.96
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,323,4,63.6519,0,2085.5,0.817152,2150.06,2149.97
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,323,5,63.3157,0,2082.94,0.821248,2147.17,2147.08
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,323,6,63.6249,0,2084.21,0.813056,2148.74,2148.65
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,323,7,63.4605,0,2084.4,0.821248,2148.78,2148.69
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,323,8,63.7228,0,2086.39,0.820224,2151.04,2150.94
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,323,9,63.292,0,2086.12,0.820224,2150.32,2150.24
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,323,10,63.5928,0,2085.11,0.813056,2149.6,2149.52
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,323,11,62.7881,0,2087.35,0.818176,2151.04,2150.96
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,323,12,62.3749,0,2083.31,0.8192,2146.59,2146.5
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,323,13,63.4328,0,2086.1,0.813056,2150.43,2150.35
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,323,14,63.572,0,2087.01,0.816128,2151.48,2151.4
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,323,15,62.8009,0,2084.24,0.81408,2147.94,2147.86
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,323,16,62.8424,0,2084.38,0.821248,2148.13,2148.04
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,323,17,63.0252,0,2084.91,0.818176,2148.84,2148.75
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,323,18,63.6142,0,2085.13,0.816128,2149.64,2149.56
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,323,19,63.4334,0,2082.77,0.81408,2147.1,2147.02
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,323,20,62.7176,0,2085,0.818176,2148.62,2148.54
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,323,21,63.3106,0,2084.04,0.817152,2148.25,2148.17
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,323,22,63.4424,0,2088.3,0.816128,2152.64,2152.55
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,323,23,62.9189,0,2083.42,0.811008,2147.24,2147.15
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,323,24,63.5904,0,2085.38,0.821248,2149.89,2149.79
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,323,25,63.1492,0,2087.35,0.816128,2151.4,2151.32
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,323,26,62.6362,0,2085.51,0.81408,2149.04,2148.96
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,323,27,63.635,0,2083.21,0.809984,2147.74,2147.65
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,323,28,63.1458,0,2083.97,0.81408,2148.02,2147.93
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",2,323,29,62.783,0,2082.49,0.815104,2146.18,2146.09
