dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,161,0,0.543808,0.227761,0.695551,0.308224,1.88425,1.77534
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,161,1,0.137376,0.217199,0.735226,0.149504,1.37018,1.23931
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,161,2,0.14192,0.215703,0.662859,0.146432,1.29517,1.16691
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,161,3,0.141376,0.21494,0.67752,0.149504,1.31134,1.18334
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,161,4,0.14192,0.213869,0.675654,0.147456,1.30832,1.1789
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,161,5,0.140768,0.213824,0.679596,0.145408,1.30757,1.1796
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,161,6,0.142368,0.212481,0.677256,0.146432,1.30558,1.17854
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,161,7,0.139072,0.217836,0.676941,0.146432,1.30749,1.18028
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,161,8,0.138016,0.219212,0.681504,0.147456,1.31881,1.18619
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,161,9,0.144288,0.215076,0.677885,0.144384,1.30798,1.18163
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,161,10,0.143616,0.217069,0.675319,0.147456,1.31049,1.18346
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,161,11,0.1416,0.213577,0.679189,0.14848,1.30738,1.18285
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,161,12,0.142144,0.212728,0.677393,0.146432,1.30394,1.1787
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,161,13,0.142976,0.214466,0.677433,0.150528,1.31512,1.1854
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,161,14,0.14368,0.213873,0.680102,0.145408,1.31084,1.18306
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,161,15,0.137248,0.21486,0.676275,0.144384,1.29917,1.17277
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,161,16,0.14256,0.224802,0.679684,0.147456,1.32007,1.1945
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,161,17,0.137024,0.212864,0.691226,0.145408,1.31409,1.18652
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,161,18,0.141856,0.214368,0.67733,0.145408,1.30746,1.17896
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,161,19,0.138848,0.213873,0.677292,0.145408,1.30376,1.17542
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,161,20,0.142592,0.212966,0.682003,0.146432,1.31063,1.18399
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,161,21,0.143264,0.215002,0.676732,0.146432,1.30856,1.18143
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,161,22,0.140832,0.213641,0.685133,0.146432,1.31312,1.18604
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,161,23,0.139008,0.213526,0.684869,0.147456,1.31056,1.18486
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,161,24,0.142304,0.213174,0.675447,0.145408,1.2986,1.17633
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,161,25,0.143104,0.217653,0.676678,0.147456,1.31211,1.18489
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,161,26,0.141632,0.224308,0.685497,0.14848,1.32802,1.19992
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,161,27,0.14144,0.221538,0.677671,0.145408,1.31344,1.18606
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,161,28,0.139424,0.214626,0.678257,0.149504,1.3087,1.18181
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",1,161,29,0.14064,0.212868,0.696113,0.145408,1.32217,1.19503
