dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",4,256,0,8.71638,12.0202,0.452726,0.259072,21.3689,21.4483
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",4,256,1,7.86134,2.79185,0.43332,0.121856,11.0892,11.2084
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",4,256,2,7.75731,2.8017,0.402654,0.12288,10.8673,11.0845
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",4,256,3,7.74806,2.8052,0.404067,0.121856,10.9757,11.0792
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",4,256,4,7.63789,2.79897,0.411807,0.121856,10.8718,10.9705
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",4,256,5,7.64989,2.79858,0.408604,0.120832,10.8695,10.9779
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",4,256,6,7.75741,2.78911,0.408339,0.119808,10.9962,11.0747
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",4,256,7,7.65238,2.79956,0.416489,0.123904,10.9165,10.9923
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",4,256,8,7.88963,2.77538,0.411762,0.12288,10.9137,11.1997
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",4,256,9,7.76397,2.78387,0.409369,0.121856,10.9258,11.0791
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",4,256,10,7.70275,2.77339,0.407268,0.123904,10.9104,11.0073
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",4,256,11,7.79274,2.76886,0.413829,0.123904,10.9365,11.0993
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",4,256,12,7.70106,2.77648,0.411957,0.121856,10.7827,11.0113
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",4,256,13,7.74557,2.7816,0.414537,0.121856,10.8635,11.0636
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",4,256,14,7.74611,2.7818,0.41245,0.120832,10.9194,11.0612
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",4,256,15,7.81766,2.78244,0.412025,0.123904,11.0196,11.136
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",4,256,16,7.63808,2.79132,0.418624,0.12288,10.9243,10.9709
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",4,256,17,7.69046,2.76225,0.413597,0.12288,10.8289,10.9892
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",4,256,18,7.65421,2.78094,0.412693,0.123904,10.7919,10.9717
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",4,256,19,7.72787,2.78431,0.411703,0.120832,10.9608,11.0447
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",4,256,20,7.66019,2.76297,0.414949,0.120832,10.8671,10.9589
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",4,256,21,7.7569,2.75557,0.407908,0.12288,10.8832,11.0433
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",4,256,22,7.6505,2.75888,0.409316,0.12288,10.8065,10.9416
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",4,256,23,7.69782,2.82538,0.409416,0.121856,10.9036,11.0545
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",4,256,24,7.7217,2.76688,0.409686,0.12288,10.8736,11.0211
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",4,256,25,7.77763,2.77028,0.417003,0.120832,11.0068,11.0858
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",4,256,26,7.69782,2.76894,0.413892,0.120832,10.8809,11.0015
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",4,256,27,7.7224,2.76031,0.413957,0.12288,11.0328,11.0195
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",4,256,28,7.76902,2.7672,0.417451,0.119808,10.912,11.0735
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",4,256,29,7.67875,2.76541,0.411418,0.120832,10.9118,10.9764
