dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",1,161,0,7.79386,0.226118,0.83864,0.484352,9.4527,9.34297
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",1,161,1,6.9031,0.212683,0.810422,0.289792,8.29817,8.216
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",1,161,2,6.9567,0.215059,0.791811,0.284672,8.33326,8.24825
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",1,161,3,7.03792,0.214062,0.799796,0.285696,8.42021,8.33747
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",1,161,4,6.82963,0.215415,0.803229,0.287744,8.21563,8.13602
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",1,161,5,6.90477,0.212387,0.800732,0.285696,8.29012,8.20358
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",1,161,6,6.95782,0.212944,0.800794,0.284672,8.33881,8.25623
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",1,161,7,6.82733,0.21756,0.801409,0.28672,8.21326,8.13302
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",1,161,8,6.91536,0.213473,0.79723,0.287744,8.29474,8.21381
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",1,161,9,7.05296,0.212891,0.803789,0.288768,8.43975,8.35841
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",1,161,10,6.95315,0.219444,0.79956,0.28672,8.33996,8.25888
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",1,161,11,6.88666,0.213114,0.803142,0.289792,8.27325,8.1927
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",1,161,12,6.90445,0.212879,0.802275,0.294912,8.29248,8.21451
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",1,161,13,6.86346,0.229408,0.800927,0.30208,8.27612,8.19587
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",1,161,14,6.88774,0.212694,0.804485,0.28672,8.26977,8.19164
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",1,161,15,6.88941,0.217726,0.816661,0.284672,8.29024,8.20847
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",1,161,16,6.91459,0.213955,0.80327,0.28672,8.30249,8.21854
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",1,161,17,6.87782,0.214737,0.805873,0.284672,8.26853,8.18311
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",1,161,18,6.94742,0.214444,0.803781,0.292864,8.34085,8.25851
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",1,161,19,6.96742,0.212165,0.803878,0.285696,8.34948,8.26916
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",1,161,20,6.94646,0.212263,0.798214,0.287744,8.32921,8.24468
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",1,161,21,6.93638,0.213529,0.803071,0.288768,8.31866,8.24175
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",1,161,22,7.08234,0.211774,0.799258,0.28672,8.46198,8.38009
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",1,161,23,7.02573,0.212197,0.800303,0.288768,8.40508,8.327
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",1,161,24,6.90618,0.210946,0.811021,0.285696,8.29283,8.21384
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",1,161,25,6.88579,0.213193,0.801742,0.288768,8.26836,8.1895
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",1,161,26,7.04656,0.213854,0.802746,0.28672,8.42949,8.34988
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",1,161,27,7.02051,0.212162,0.804007,0.28672,8.40387,8.3234
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",1,161,28,7.07978,0.212557,0.803024,0.28672,8.464,8.38208
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",1,161,29,6.9817,0.209616,0.800881,0.284672,8.35607,8.27687
