dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,256,0,0.703424,12.9791,0.85808,0.351232,14.9695,14.8919
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,256,1,0.215936,2.54897,0.833927,0.208896,3.88512,3.80773
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,256,2,0.214592,2.46023,0.801589,0.208896,3.77002,3.6853
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,256,3,0.213664,2.45589,0.812705,0.210944,3.77624,3.6932
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,256,4,0.215616,2.45787,0.810143,0.206848,3.76721,3.69047
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,256,5,0.214784,2.48827,0.805205,0.208896,3.8025,3.71716
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,256,6,0.215648,2.47348,0.826808,0.206848,3.80373,3.72278
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,256,7,0.215904,2.44695,0.807245,0.208896,3.75845,3.67899
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,256,8,0.217184,2.45202,0.805227,0.207872,3.75916,3.6823
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,256,9,0.331072,2.43303,0.809397,0.207872,3.86567,3.78137
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,256,10,0.213024,2.48279,0.810865,0.206848,3.78365,3.71352
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,256,11,0.216448,2.53334,0.811517,0.208896,3.84508,3.7702
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,256,12,0.217216,2.51949,0.810526,0.207872,3.75027,3.7551
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,256,13,0.213856,2.45989,0.879153,0.20992,3.8448,3.76282
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,256,14,0.217184,2.45883,0.807104,0.20992,3.75915,3.69304
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,256,15,0.214528,2.4554,0.809932,0.210944,3.76266,3.69081
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,256,16,0.214976,2.43799,0.813289,0.208896,3.75108,3.67515
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,256,17,0.21792,2.44146,0.810393,0.207872,3.75318,3.67764
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,256,18,0.216864,2.45038,0.826708,0.20992,3.77864,3.70387
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,256,19,0.21376,2.53487,0.814181,0.206848,3.84948,3.76966
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,256,20,0.212128,2.51055,0.804021,0.207872,3.772,3.73457
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,256,21,0.21632,2.50647,0.802225,0.206848,3.80908,3.73186
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,256,22,0.216416,2.44962,0.808216,0.208896,3.75687,3.68314
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,256,23,0.216672,2.44519,0.821179,0.208896,3.77452,3.69194
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,256,24,0.215264,2.45211,0.808465,0.208896,3.7484,3.68473
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,256,25,0.217632,2.4604,0.807719,0.207872,3.7587,3.69362
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,256,26,0.217568,2.45922,0.816335,0.206848,3.77793,3.69997
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,256,27,0.21696,2.44286,0.807632,0.208896,3.74454,3.67634
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,256,28,0.2176,2.45438,0.810282,0.20992,3.76497,3.69219
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,256,29,0.216128,2.47985,0.808986,0.207872,3.7426,3.71283
