dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"D | D | D | D | D | D",8,369,0,26.1792,264.891,3.45969,0.724992,295.418,295.255
3,double,uniform,CPU,"D | D | D | D | D | D",8,369,1,24.079,213.151,3.32227,0.30512,240.943,240.857
3,double,uniform,CPU,"D | D | D | D | D | D",8,369,2,24.304,195.834,3.41857,0.309248,223.978,223.866
3,double,uniform,CPU,"D | D | D | D | D | D",8,369,3,24.3129,190.568,3.42364,0.324576,218.777,218.629
3,double,uniform,CPU,"D | D | D | D | D | D",8,369,4,24.1364,190.375,3.31542,0.298944,218.183,218.126
3,double,uniform,CPU,"D | D | D | D | D | D",8,369,5,24.041,200.258,3.31395,0.295872,227.964,227.909
3,double,uniform,CPU,"D | D | D | D | D | D",8,369,6,24.4344,212.053,3.31353,0.310272,240.053,240.111
3,double,uniform,CPU,"D | D | D | D | D | D",8,369,7,24.141,192.749,3.31368,0.301056,220.557,220.505
3,double,uniform,CPU,"D | D | D | D | D | D",8,369,8,24.0977,199.544,3.31749,0.296928,227.298,227.256
3,double,uniform,CPU,"D | D | D | D | D | D",8,369,9,24.3339,190.301,3.32566,0.3,218.196,218.26
3,double,uniform,CPU,"D | D | D | D | D | D",8,369,10,24.4633,194.474,3.40632,0.309248,222.758,222.653
3,double,uniform,CPU,"D | D | D | D | D | D",8,369,11,22.9302,198.896,3.40566,0.3072,224.367,225.54
3,double,uniform,CPU,"D | D | D | D | D | D",8,369,12,24.1095,196.99,3.32356,0.301024,224.828,224.724
3,double,uniform,CPU,"D | D | D | D | D | D",8,369,13,24.567,323.175,3.4124,0.31024,351.579,351.465
3,double,uniform,CPU,"D | D | D | D | D | D",8,369,14,24.1817,211.534,3.32173,0.301024,239.359,239.338
3,double,uniform,CPU,"D | D | D | D | D | D",8,369,15,24.1792,204.771,3.32375,0.30512,232.671,232.579
3,double,uniform,CPU,"D | D | D | D | D | D",8,369,16,24.0972,201.651,3.31402,0.301024,229.389,229.364
3,double,uniform,CPU,"D | D | D | D | D | D",8,369,17,24.3102,196.797,3.31795,0.29696,224.807,224.722
3,double,uniform,CPU,"D | D | D | D | D | D",8,369,18,24.4754,200.751,3.40797,0.313312,229.056,228.948
3,double,uniform,CPU,"D | D | D | D | D | D",8,369,19,23.937,189.979,3.36799,0.322528,215.051,217.606
3,double,uniform,CPU,"D | D | D | D | D | D",8,369,20,22.6169,188.987,3.36395,0.305152,211.576,215.273
3,double,uniform,CPU,"D | D | D | D | D | D",8,369,21,22.8211,192.516,3.35074,0.309248,217.416,218.997
3,double,uniform,CPU,"D | D | D | D | D | D",8,369,22,24.4013,202,3.40104,0.309216,230.221,230.111
3,double,uniform,CPU,"D | D | D | D | D | D",8,369,23,24.5609,202.868,3.40621,0.315328,231.263,231.151
3,double,uniform,CPU,"D | D | D | D | D | D",8,369,24,24.2932,206.691,3.31524,0.296928,234.618,234.596
3,double,uniform,CPU,"D | D | D | D | D | D",8,369,25,24.4507,195.662,3.40491,0.310304,223.938,223.828
3,double,uniform,CPU,"D | D | D | D | D | D",8,369,26,24.133,193.362,3.31705,0.295936,221.112,221.108
3,double,uniform,CPU,"D | D | D | D | D | D",8,369,27,24.2386,195.024,3.31633,0.298944,222.901,222.877
3,double,uniform,CPU,"D | D | D | D | D | D",8,369,28,24.3236,196.744,3.39985,0.308192,224.876,224.775
3,double,uniform,CPU,"D | D | D | D | D | D",8,369,29,22.6375,208.58,3.33822,0.303104,232.905,234.859
