dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",2,203,0,0.588064,8.27685,0.643468,0.333824,9.95586,9.84221
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",2,203,1,0.160128,0.93224,0.635859,0.145408,1.95054,1.87364
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",2,203,2,0.158144,0.939498,0.618937,0.150528,1.94304,1.86711
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",2,203,3,0.159008,0.945352,0.613371,0.146432,1.94103,1.86416
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",2,203,4,0.160352,0.9409,0.617704,0.145408,1.94334,1.86436
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",2,203,5,0.1584,0.934645,0.61437,0.144384,1.92382,1.8518
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",2,203,6,0.153504,0.9376,0.614125,0.145408,1.928,1.85064
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",2,203,7,0.15744,0.939474,0.680333,0.146432,2.00361,1.92368
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",2,203,8,0.16032,0.94215,0.617436,0.14336,1.9427,1.86327
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",2,203,9,0.158912,0.939893,0.615772,0.145408,1.93552,1.85998
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",2,203,10,0.163072,0.944808,0.618557,0.145408,1.94741,1.87185
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",2,203,11,0.157408,0.931541,0.614106,0.14848,1.92406,1.85153
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",2,203,12,0.156384,0.945565,0.615778,0.145408,1.94274,1.86313
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",2,203,13,0.156864,0.941092,0.614703,0.145408,1.93756,1.85807
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",2,203,14,0.159168,0.944684,0.617805,0.145408,1.94922,1.86707
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",2,203,15,0.159072,0.982304,0.609986,0.14336,1.93566,1.89472
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",2,203,16,0.160288,0.959589,0.60824,0.14336,1.94266,1.87148
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",2,203,17,0.15728,0.944823,0.61566,0.147456,1.94522,1.86522
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",2,203,18,0.155488,0.93624,0.614861,0.144384,1.93315,1.85097
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",2,203,19,0.156992,0.960661,0.610987,0.142336,1.97819,1.87098
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",2,203,20,0.157504,1.01905,0.611817,0.146432,1.93003,1.9348
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",2,203,21,0.15696,0.943599,0.610975,0.14336,1.93035,1.85489
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",2,203,22,0.162784,0.943526,0.641304,0.144384,1.97463,1.892
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",2,203,23,0.160512,0.945502,0.61411,0.146432,1.94119,1.86656
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",2,203,24,0.158176,0.940746,0.61443,0.145408,1.9345,1.85876
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",2,203,25,0.161696,0.94112,0.616957,0.145408,1.94015,1.86518
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",2,203,26,0.159296,1.00783,0.618726,0.145408,2.0082,1.93126
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",2,203,27,0.157024,0.946856,0.61525,0.146432,1.94231,1.86556
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",2,203,28,0.160128,0.936841,0.614758,0.145408,1.9353,1.85713
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",2,203,29,0.158496,0.939104,0.616265,0.144384,1.9329,1.85825
