dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"P | P | P | P | N | D",1,161,0,15.0138,0.395115,1.40395,0.69632,17.6284,17.5092
3,double,uniform,CPU,"P | P | P | P | N | D",1,161,1,14.0699,0.380565,1.38283,0.48128,16.4045,16.3146
3,double,uniform,CPU,"P | P | P | P | N | D",1,161,2,14.2905,0.381131,1.36062,0.48128,16.6016,16.5136
3,double,uniform,CPU,"P | P | P | P | N | D",1,161,3,14.1943,0.382079,1.37099,0.479232,16.514,16.4266
3,double,uniform,CPU,"P | P | P | P | N | D",1,161,4,14.0461,0.382631,1.38271,0.477184,16.3814,16.2886
3,double,uniform,CPU,"P | P | P | P | N | D",1,161,5,14.2364,0.38084,1.36908,0.48128,16.5547,16.4677
3,double,uniform,CPU,"P | P | P | P | N | D",1,161,6,13.8562,0.384307,1.37183,0.540672,16.242,16.153
3,double,uniform,CPU,"P | P | P | P | N | D",1,161,7,14.1743,0.381197,1.37043,0.482304,16.4972,16.4082
3,double,uniform,CPU,"P | P | P | P | N | D",1,161,8,14.2316,0.380394,1.36705,0.480256,16.5507,16.4593
3,double,uniform,CPU,"P | P | P | P | N | D",1,161,9,13.9791,0.381613,1.37233,0.478208,16.3095,16.2113
3,double,uniform,CPU,"P | P | P | P | N | D",1,161,10,14.2701,0.381425,1.46747,0.480256,16.6886,16.5993
3,double,uniform,CPU,"P | P | P | P | N | D",1,161,11,14.1645,0.380476,1.37029,0.480256,16.487,16.3956
3,double,uniform,CPU,"P | P | P | P | N | D",1,161,12,13.939,0.382686,1.36734,0.48128,16.2575,16.1703
3,double,uniform,CPU,"P | P | P | P | N | D",1,161,13,14.0365,0.381689,1.37571,0.480256,16.366,16.2742
3,double,uniform,CPU,"P | P | P | P | N | D",1,161,14,14.1865,0.379075,1.3698,0.480256,16.501,16.4156
3,double,uniform,CPU,"P | P | P | P | N | D",1,161,15,14.1722,0.381521,1.38504,0.480256,16.5119,16.419
3,double,uniform,CPU,"P | P | P | P | N | D",1,161,16,14.1948,0.379291,1.37657,0.483328,16.5338,16.434
3,double,uniform,CPU,"P | P | P | P | N | D",1,161,17,14.1364,0.379608,1.37633,0.480256,16.4604,16.3726
3,double,uniform,CPU,"P | P | P | P | N | D",1,161,18,13.9166,0.405295,1.38353,0.479232,16.2915,16.1847
3,double,uniform,CPU,"P | P | P | P | N | D",1,161,19,14.0584,0.380796,1.37076,0.480256,16.3745,16.2902
3,double,uniform,CPU,"P | P | P | P | N | D",1,161,20,13.9238,0.382741,1.37585,0.48128,16.2491,16.1636
3,double,uniform,CPU,"P | P | P | P | N | D",1,161,21,14.1249,0.384609,1.37449,0.479232,16.4563,16.3632
3,double,uniform,CPU,"P | P | P | P | N | D",1,161,22,14.0576,0.443788,1.37334,0.479232,16.4461,16.3539
3,double,uniform,CPU,"P | P | P | P | N | D",1,161,23,14.1911,0.383645,1.36693,0.484352,16.5316,16.4261
3,double,uniform,CPU,"P | P | P | P | N | D",1,161,24,14.1691,0.379513,1.3706,0.480256,16.498,16.3995
3,double,uniform,CPU,"P | P | P | P | N | D",1,161,25,14.0122,0.380116,1.39035,0.483328,16.358,16.266
3,double,uniform,CPU,"P | P | P | P | N | D",1,161,26,14.1483,0.400822,1.37167,0.478208,16.4872,16.399
3,double,uniform,CPU,"P | P | P | P | N | D",1,161,27,14.1466,0.379242,1.37825,0.478208,16.471,16.3823
3,double,uniform,CPU,"P | P | P | P | N | D",1,161,28,14.2137,0.379511,1.37312,0.480256,16.5354,16.4466
3,double,uniform,CPU,"P | P | P | P | N | D",1,161,29,14.1693,0.382202,1.37306,0.480256,16.49,16.4049
