dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",6,465,0,0.907104,1096.09,6.26469,2.53949,1105.96,1105.8
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",6,465,1,0.871712,1054.13,6.21047,1.77766,1063.13,1062.99
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",6,465,2,0.87024,1053.49,6.20828,1.77555,1062.49,1062.35
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",6,465,3,0.871392,1070.26,6.18538,1.77962,1079.24,1079.1
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",6,465,4,0.869536,1113.79,6.21473,1.77456,1122.79,1122.65
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",6,465,5,0.88128,1109.41,6.22109,1.78275,1118.45,1118.3
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",6,465,6,0.86784,1093.71,6.29177,1.79091,1102.8,1102.66
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",6,465,7,0.869792,1028.2,6.23518,1.77248,1037.22,1037.08
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",6,465,8,0.868768,1050.94,6.22136,1.77354,1059.95,1059.81
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",6,465,9,0.870976,1032.78,6.23205,1.77248,1041.79,1041.65
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",6,465,10,0.867296,1048.1,6.21057,1.77354,1057.08,1056.95
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",6,465,11,0.888,1282.19,6.25592,1.79302,1291.3,1291.13
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",6,465,12,0.867936,1215.05,6.21184,1.77245,1224.05,1223.9
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",6,465,13,0.866112,1086.75,6.19123,1.77459,1095.73,1095.59
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",6,465,14,0.868416,1029.42,6.23086,1.7704,1038.42,1038.28
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",6,465,15,0.868064,1091.64,6.19229,1.77142,1100.61,1100.47
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",6,465,16,0.86784,1050.37,6.21313,1.77254,1059.36,1059.22
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",6,465,17,0.863296,1226.06,6.19724,1.76941,1231.39,1234.89
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",6,465,18,0.867744,1085.48,6.19401,1.77354,1094.45,1094.31
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",6,465,19,0.869056,1021.61,6.18324,1.77965,1030.58,1030.44
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",6,465,20,0.869056,1082.51,6.19321,1.77459,1091.49,1091.35
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",6,465,21,0.88528,1090.04,6.21693,1.78173,1099.07,1098.92
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",6,465,22,0.880096,1074.71,6.26927,1.79299,1083.79,1083.66
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",6,465,23,0.869216,1052.22,6.22104,1.7735,1061.23,1061.09
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",6,465,24,0.86896,1044.52,6.22519,1.77555,1053.53,1053.39
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",6,465,25,0.8704,1033.6,6.19477,1.77354,1042.58,1042.44
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",6,465,26,0.86416,1117.59,6.21543,1.77354,1123.82,1126.44
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",6,465,27,0.86816,1120.27,6.20015,1.77459,1129.26,1129.12
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",6,465,28,0.87856,1050.94,6.2404,1.77661,1059.97,1059.83
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",6,465,29,0.868768,1044.26,6.20625,1.77146,1053.25,1053.11
