dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"P | P | P | P | N | D",6,465,0,0.46912,675.359,3.19965,1.67933,680.822,680.707
3,float,uniform,GPU,"P | P | P | P | N | D",6,465,1,0.429632,610.657,3.16728,1.03114,610.26,615.285
3,float,uniform,GPU,"P | P | P | P | N | D",6,465,2,0.429504,626.51,3.18653,1.03318,627.253,631.159
3,float,uniform,GPU,"P | P | P | P | N | D",6,465,3,0.428992,586.573,3.2014,1.03213,590.99,591.236
3,float,uniform,GPU,"P | P | P | P | N | D",6,465,4,0.436064,592.655,3.17077,1.03418,597.094,597.296
3,float,uniform,GPU,"P | P | P | P | N | D",6,465,5,0.433152,582.993,3.17887,1.03318,587.775,587.638
3,float,uniform,GPU,"P | P | P | P | N | D",6,465,6,0.436096,584.956,3.21092,1.10387,589.641,589.707
3,float,uniform,GPU,"P | P | P | P | N | D",6,465,7,0.434368,584.122,3.21275,1.09773,588.647,588.867
3,float,uniform,GPU,"P | P | P | P | N | D",6,465,8,0.442848,576.789,3.17913,1.03318,581.59,581.445
3,float,uniform,GPU,"P | P | P | P | N | D",6,465,9,0.431424,575.054,3.18812,1.02701,579.832,579.7
3,float,uniform,GPU,"P | P | P | P | N | D",6,465,10,0.433664,590.215,3.19598,1.10797,594.58,594.952
3,float,uniform,GPU,"P | P | P | P | N | D",6,465,11,0.430304,623.384,3.22089,1.04138,628.211,628.077
3,float,uniform,GPU,"P | P | P | P | N | D",6,465,12,0.43328,639.227,3.17579,1.02902,624.445,643.865
3,float,uniform,GPU,"P | P | P | P | N | D",6,465,13,0.430304,620.779,3.19892,1.02701,623.199,625.435
3,float,uniform,GPU,"P | P | P | P | N | D",6,465,14,0.431456,585.426,3.16507,1.02701,588.409,590.05
3,float,uniform,GPU,"P | P | P | P | N | D",6,465,15,0.44864,592.244,3.25849,1.05363,597.151,597.005
3,float,uniform,GPU,"P | P | P | P | N | D",6,465,16,0.431264,573.88,3.16083,1.0352,578.643,578.508
3,float,uniform,GPU,"P | P | P | P | N | D",6,465,17,0.432416,569.962,3.18507,1.02294,573.019,574.603
3,float,uniform,GPU,"P | P | P | P | N | D",6,465,18,0.429472,609.328,3.172,1.028,607.375,613.958
3,float,uniform,GPU,"P | P | P | P | N | D",6,465,19,0.432384,589.558,3.18439,1.03014,594.34,594.205
3,float,uniform,GPU,"P | P | P | P | N | D",6,465,20,0.433024,587.618,3.19695,1.0352,592.418,592.283
3,float,uniform,GPU,"P | P | P | P | N | D",6,465,21,0.43088,577.274,3.20636,1.0311,579.339,581.942
3,float,uniform,GPU,"P | P | P | P | N | D",6,465,22,0.435232,614.476,3.19099,1.03418,619.271,619.137
3,float,uniform,GPU,"P | P | P | P | N | D",6,465,23,0.431808,581.059,3.1902,1.02602,582.873,585.707
3,float,uniform,GPU,"P | P | P | P | N | D",6,465,24,0.434848,629.248,3.15324,1.03622,634.009,633.872
3,float,uniform,GPU,"P | P | P | P | N | D",6,465,25,0.431808,664.838,3.17824,1.02701,658.716,669.475
3,float,uniform,GPU,"P | P | P | P | N | D",6,465,26,0.430496,631.813,3.19503,1.03325,636.61,636.472
3,float,uniform,GPU,"P | P | P | P | N | D",6,465,27,0.433536,602.508,3.22022,1.02701,607.319,607.189
3,float,uniform,GPU,"P | P | P | P | N | D",6,465,28,0.432512,598.301,3.16354,1.0321,603.064,602.93
3,float,uniform,GPU,"P | P | P | P | N | D",6,465,29,0.434304,581.18,3.18997,1.02806,581.475,585.832
