dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"D | D | D | D | D | D",4,406,0,64.8803,0,2989.03,1.28819,3052.36,3055.19
3,double,uniform,CPU,"D | D | D | D | D | D",4,406,1,65.342,0,2457.53,0.750592,2521.18,2523.62
3,double,uniform,CPU,"D | D | D | D | D | D",4,406,2,65.4935,0,2462.9,0.759808,2528.14,2529.15
3,double,uniform,CPU,"D | D | D | D | D | D",4,406,3,63.7777,0,2442.92,0.743424,2507.55,2507.44
3,double,uniform,CPU,"D | D | D | D | D | D",4,406,4,63.4673,0,2441.09,0.75776,2505.08,2505.31
3,double,uniform,CPU,"D | D | D | D | D | D",4,406,5,64.8925,0,2442.56,0.744448,2508.3,2508.2
3,double,uniform,CPU,"D | D | D | D | D | D",4,406,6,63.5145,0,2656.42,0.749568,2680.54,2720.69
3,double,uniform,CPU,"D | D | D | D | D | D",4,406,7,64.3113,0,2474.72,0.753664,2539.14,2539.78
3,double,uniform,CPU,"D | D | D | D | D | D",4,406,8,63.559,0,2479.59,0.741376,2542.67,2543.89
3,double,uniform,CPU,"D | D | D | D | D | D",4,406,9,64.7147,0,2468.5,0.750592,2533.22,2533.97
3,double,uniform,CPU,"D | D | D | D | D | D",4,406,10,63.7954,0,2469.54,0.75264,2533.56,2534.09
3,double,uniform,CPU,"D | D | D | D | D | D",4,406,11,63.3444,0,2442.99,0.7424,2503.22,2507.07
3,double,uniform,CPU,"D | D | D | D | D | D",4,406,12,64.7446,0,2450.19,0.744448,2511.03,2515.68
3,double,uniform,CPU,"D | D | D | D | D | D",4,406,13,63.4662,0,2444.41,0.744448,2507.96,2508.62
3,double,uniform,CPU,"D | D | D | D | D | D",4,406,14,63.97,0,2448.06,0.753664,2512.89,2512.79
3,double,uniform,CPU,"D | D | D | D | D | D",4,406,15,63.7187,0,2446.79,0.745472,2511.36,2511.26
3,double,uniform,CPU,"D | D | D | D | D | D",4,406,16,63.4827,0,2438.72,0.744448,2503.05,2502.95
3,double,uniform,CPU,"D | D | D | D | D | D",4,406,17,63.7902,0,2447.7,0.744448,2512.28,2512.24
3,double,uniform,CPU,"D | D | D | D | D | D",4,406,18,65.42,0,2453.81,0.743424,2520.08,2519.97
3,double,uniform,CPU,"D | D | D | D | D | D",4,406,19,64.2301,0,2450.1,0.744448,2515.08,2515.07
3,double,uniform,CPU,"D | D | D | D | D | D",4,406,20,64.3595,0,2451.71,0.755712,2512.14,2516.82
3,double,uniform,CPU,"D | D | D | D | D | D",4,406,21,63.3701,0,2445.32,0.743424,2508.02,2509.44
3,double,uniform,CPU,"D | D | D | D | D | D",4,406,22,63.8515,0,2448.4,0.743424,2510.18,2512.99
3,double,uniform,CPU,"D | D | D | D | D | D",4,406,23,65.3491,0,2458.33,0.749568,2519.89,2524.43
3,double,uniform,CPU,"D | D | D | D | D | D",4,406,24,63.671,0,2644.43,0.746496,2677.12,2708.85
3,double,uniform,CPU,"D | D | D | D | D | D",4,406,25,63.5537,0,2634.32,0.746464,2667.75,2698.62
3,double,uniform,CPU,"D | D | D | D | D | D",4,406,26,63.3477,0,2446.23,0.741376,2505.97,2510.31
3,double,uniform,CPU,"D | D | D | D | D | D",4,406,27,63.6301,0,2447.25,0.743424,2511.73,2511.63
3,double,uniform,CPU,"D | D | D | D | D | D",4,406,28,64.3991,0,2451.02,0.753664,2512.76,2516.17
3,double,uniform,CPU,"D | D | D | D | D | D",4,406,29,63.3522,0,2446.44,0.751616,2507.71,2510.55
