dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"D | D | D | D | N | D",8,369,0,25.7156,315.638,2.8617,0.699392,345.014,344.915
3,double,uniform,CPU,"D | D | D | D | N | D",8,369,1,24.2161,198.939,2.86077,0.297984,226.318,226.314
3,double,uniform,CPU,"D | D | D | D | N | D",8,369,2,24.4487,196.307,2.84367,0.299968,223.746,223.899
3,double,uniform,CPU,"D | D | D | D | N | D",8,369,3,24.2052,200.442,2.84006,0.294912,227.747,227.783
3,double,uniform,CPU,"D | D | D | D | N | D",8,369,4,24.2214,196.173,2.84702,0.3,223.506,223.541
3,double,uniform,CPU,"D | D | D | D | N | D",8,369,5,24.2385,194.376,2.84391,0.29792,221.725,221.756
3,double,uniform,CPU,"D | D | D | D | N | D",8,369,6,24.233,202.317,2.8579,0.302016,229.673,229.71
3,double,uniform,CPU,"D | D | D | D | N | D",8,369,7,24.1508,197.305,2.89542,0.302016,224.657,224.653
3,double,uniform,CPU,"D | D | D | D | N | D",8,369,8,24.6036,196.877,2.8431,0.29792,224.45,224.622
3,double,uniform,CPU,"D | D | D | D | N | D",8,369,9,24.5355,193.054,2.84376,0.296928,220.557,220.73
3,double,uniform,CPU,"D | D | D | D | N | D",8,369,10,22.5248,206.475,2.89471,0.306144,231.555,232.2
3,double,uniform,CPU,"D | D | D | D | N | D",8,369,11,24.2114,192.929,2.84821,0.30208,220.306,220.291
3,double,uniform,CPU,"D | D | D | D | N | D",8,369,12,22.7934,195.319,2.8895,0.301024,220.744,221.303
3,double,uniform,CPU,"D | D | D | D | N | D",8,369,13,22.5317,196.86,2.89702,0.308224,220.611,222.597
3,double,uniform,CPU,"D | D | D | D | N | D",8,369,14,24.4725,189.936,2.94942,0.310272,217.774,217.668
3,double,uniform,CPU,"D | D | D | D | N | D",8,369,15,24.1464,202.503,2.84531,0.298976,229.825,229.793
3,double,uniform,CPU,"D | D | D | D | N | D",8,369,16,24.5717,192.225,2.85139,0.299968,219.744,219.948
3,double,uniform,CPU,"D | D | D | D | N | D",8,369,17,24.4946,188.963,2.8412,0.295904,216.441,216.595
3,double,uniform,CPU,"D | D | D | D | N | D",8,369,18,24.2701,194.34,2.8394,0.296928,221.674,221.746
3,double,uniform,CPU,"D | D | D | D | N | D",8,369,19,24.4588,192.083,2.9645,0.320544,219.938,219.827
3,double,uniform,CPU,"D | D | D | D | N | D",8,369,20,22.5574,191.772,2.89111,0.304128,216.604,217.524
3,double,uniform,CPU,"D | D | D | D | N | D",8,369,21,24.1828,195.229,2.85301,0.303104,222.601,222.568
3,double,uniform,CPU,"D | D | D | D | N | D",8,369,22,22.6049,210.656,2.89195,0.3072,236.447,236.46
3,double,uniform,CPU,"D | D | D | D | N | D",8,369,23,22.668,200.747,2.9106,0.301024,225.876,226.626
3,double,uniform,CPU,"D | D | D | D | N | D",8,369,24,24.1438,198.801,2.84467,0.296928,226.082,226.086
3,double,uniform,CPU,"D | D | D | D | N | D",8,369,25,22.5338,204.459,2.90404,0.303104,223.717,230.2
3,double,uniform,CPU,"D | D | D | D | N | D",8,369,26,24.185,195.141,2.83925,0.297984,222.565,222.463
3,double,uniform,CPU,"D | D | D | D | N | D",8,369,27,22.5916,205.566,2.89289,0.301056,231.205,231.352
3,double,uniform,CPU,"D | D | D | D | N | D",8,369,28,22.6242,201.37,2.90538,0.3072,227.07,227.207
3,double,uniform,CPU,"D | D | D | D | N | D",8,369,29,24.2086,197.701,2.92417,0.318432,225.138,225.152
