dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",2,323,0,36.1323,512.834,2.95207,1.48685,553.438,553.406
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",2,323,1,36.3416,514.878,2.91765,1.06291,555.306,555.2
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",2,323,2,36.4743,515.258,2.94682,1.0793,555.852,555.758
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",2,323,3,36.289,516.458,2.92042,1.06291,556.825,556.731
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",2,323,4,36.2144,512.726,2.93524,1.05779,553.036,552.934
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",2,323,5,36.5949,514.974,2.92138,1.06496,555.664,555.556
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",2,323,6,36.1168,514.333,2.97491,1.10285,554.615,554.527
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",2,323,7,36.282,514.628,2.91439,1.06086,554.981,554.885
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",2,323,8,36.5351,513.865,2.91681,1.05984,554.476,554.377
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",2,323,9,36.4319,514.41,2.94649,1.08544,554.846,554.874
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",2,323,10,36.3792,516.047,2.94275,1.0967,556.492,556.465
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",2,323,11,36.2928,514.829,2.91814,1.06291,555.2,555.103
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",2,323,12,36.1718,514.035,2.91847,1.06598,554.286,554.191
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",2,323,13,36.3662,512.771,2.9203,1.06906,553.229,553.127
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",2,323,14,36.2148,513.639,2.91686,1.06189,553.93,553.832
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",2,323,15,36.7253,513.994,2.9216,1.06598,554.804,554.707
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",2,323,16,36.6502,513.607,2.94415,1.07827,554.385,554.279
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",2,323,17,36.1627,516.011,2.93845,1.1008,556.264,556.213
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",2,323,18,36.2285,514.553,2.93409,1.08851,554.769,554.805
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",2,323,19,36.4634,511.899,2.91462,1.06701,552.446,552.344
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",2,323,20,36.5446,514.86,2.92222,1.06394,555.493,555.391
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",2,323,21,36.5027,514.816,2.9186,1.05779,555.39,555.295
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",2,323,22,35.8522,512.508,2.9349,1.08442,552.462,552.379
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",2,323,23,35.8679,511.293,2.91945,1.06394,551.235,551.145
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",2,323,24,36.2558,514.473,2.92543,1.07213,554.823,554.727
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",2,323,25,36.247,513.583,2.91448,1.06803,553.907,553.813
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",2,323,26,36.3114,513.361,2.91874,1.06598,553.751,553.658
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",2,323,27,36.3399,513.922,2.9218,1.06189,554.342,554.246
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",2,323,28,36.2152,516.258,2.91616,1.0711,556.556,556.461
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",2,323,29,36.2307,515.86,2.96213,1.10182,556.216,556.155
