dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",6,465,0,0.473632,295.801,2.64728,1.12944,300.211,300.051
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",6,465,1,0.430016,274.708,2.6351,0.497696,278.378,278.27
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",6,465,2,0.43104,260.218,2.62288,0.511968,263.886,263.784
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",6,465,3,0.430048,260.198,2.63034,0.501696,263.865,263.76
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",6,465,4,0.427936,292.129,2.61978,0.4976,295.783,295.675
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",6,465,5,0.430304,287.199,2.6385,0.504768,290.877,290.772
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",6,465,6,0.4304,286.345,2.62765,0.498656,290.009,289.902
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",6,465,7,0.426272,271.559,2.62287,0.498656,275.211,275.106
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",6,465,8,0.432096,276.256,2.63228,0.49968,279.925,279.82
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",6,465,9,0.44192,278.914,2.63155,0.49968,282.61,282.488
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",6,465,10,0.42736,277.564,2.64335,0.49664,281.233,281.131
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",6,465,11,0.427264,278.99,2.61537,0.496576,282.637,282.529
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",6,465,12,0.43264,276.535,2.62791,0.5048,280.21,280.101
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",6,465,13,0.432096,260.025,2.63226,0.504768,263.697,263.594
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",6,465,14,0.430368,262.991,2.62412,0.502752,266.65,266.548
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",6,465,15,0.431744,279.986,2.63343,0.498624,283.658,283.55
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",6,465,16,0.430912,291.755,2.62783,0.499648,295.422,295.313
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",6,465,17,0.430048,270.073,2.63649,0.500704,273.747,273.64
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",6,465,18,0.431328,271.991,2.63739,0.49664,275.664,275.556
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",6,465,19,0.444704,276.99,2.63389,0.500704,280.694,280.569
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",6,465,20,0.430528,273.19,2.70594,0.517056,276.948,276.843
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",6,465,21,0.430336,271.349,2.64053,0.500672,275.031,274.921
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",6,465,22,0.431904,283.529,2.63202,0.496608,287.194,287.09
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",6,465,23,0.431168,278.017,2.63116,0.503808,281.687,281.583
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",6,465,24,0.432384,278.378,2.63481,0.498656,282.047,281.944
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",6,465,25,0.430816,262.417,2.64029,0.50176,266.092,265.99
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",6,465,26,0.427136,275.565,2.6318,0.500672,279.232,279.125
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",6,465,27,0.431552,286.976,2.63067,0.503808,290.646,290.542
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",6,465,28,0.427584,261.307,2.62183,0.496608,264.957,264.853
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",6,465,29,0.432576,259.909,2.6296,0.499712,263.573,263.471
