dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,256,0,0.688736,12.8649,0.535872,0.241664,14.9235,14.3312
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,256,1,0.201504,2.47056,0.527755,0.106496,3.82436,3.30632
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,256,2,0.20096,2.44543,0.494092,0.105472,3.7587,3.24596
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,256,3,0.200448,2.54418,0.489286,0.106496,3.76386,3.34041
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,256,4,0.200256,2.47228,0.49238,0.106496,3.77519,3.27141
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,256,5,0.202848,2.49147,0.486436,0.10752,3.79692,3.28828
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,256,6,0.202688,2.47149,0.494247,0.10752,3.79231,3.27594
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,256,7,0.202304,2.51806,0.493192,0.105472,3.84103,3.31903
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,256,8,0.201664,2.45689,0.48808,0.105472,3.77244,3.2521
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,256,9,0.201088,2.4894,0.495785,0.104448,3.813,3.29072
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,256,10,0.202848,2.46774,0.490516,0.104448,3.78359,3.26556
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,256,11,0.203456,2.45736,0.486839,0.1024,3.76162,3.25006
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,256,12,0.204608,2.46199,0.503607,0.108544,3.78786,3.27875
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,256,13,0.20048,2.46404,0.500777,0.109568,3.79104,3.27487
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,256,14,0.201792,2.46154,0.491247,0.105472,3.7747,3.26005
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,256,15,0.20016,2.45091,0.497763,0.105472,3.76168,3.25431
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,256,16,0.199264,2.43887,0.489993,0.105472,3.75029,3.2336
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,256,17,0.2032,2.46135,0.496706,0.105472,3.78497,3.26673
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,256,18,0.20176,2.44023,0.498056,0.103424,3.74547,3.24347
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,256,19,0.202176,2.43607,0.497496,0.105472,3.74673,3.24122
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,256,20,0.200288,2.52667,0.490622,0.103424,3.83844,3.321
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,256,21,0.203776,2.45071,0.494533,0.104448,3.7444,3.25346
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,256,22,0.203232,2.6007,0.492315,0.104448,3.78361,3.40069
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,256,23,0.20192,2.47535,0.492131,0.105472,3.78894,3.27487
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,256,24,0.204128,2.56422,0.499297,0.104448,3.89086,3.3721
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,256,25,0.203584,2.46289,0.49031,0.10752,3.77136,3.26431
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,256,26,0.203136,2.44867,0.501564,0.1024,3.756,3.25577
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,256,27,0.201824,2.46123,0.49234,0.104448,3.76702,3.25984
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,256,28,0.203488,2.45926,0.491579,0.10752,3.77099,3.26185
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",4,256,29,0.200928,2.43523,0.491142,0.106496,3.74943,3.23379
