dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,0,0.920576,0,2864.95,1.31789,2867.37,2867.19
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,1,0.826656,0,2360.04,0.794528,2361.75,2361.66
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,2,0.8376,0,2348.95,0.807008,2350.71,2350.6
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,3,0.829696,0,2339.9,0.792576,2341.62,2341.53
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,4,0.840352,0,2357.81,0.797696,2359.56,2359.45
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,5,0.830528,0,2361.45,0.801792,2363.18,2363.09
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,6,0.834752,0,2541.6,0.804864,2543.36,2543.24
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,7,0.835392,0,2479.88,0.790528,2471.3,2481.51
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,8,0.824896,0,2363.42,0.8008,2365.14,2365.04
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,9,0.82624,0,2358.5,0.791616,2360.21,2360.12
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,10,0.838656,0,2352.65,0.80384,2354.41,2354.29
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,11,0.824096,0,2345.08,0.792576,2346.79,2346.7
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,12,0.825056,0,2338.12,0.791552,2339.83,2339.73
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,13,0.834304,0,2354.88,0.802816,2356.63,2356.51
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,14,0.826816,0,2349.73,0.790528,2351.45,2351.35
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,15,0.835104,0,2346.12,0.790528,2347.83,2347.74
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,16,0.824992,0,2342.48,0.790496,2344.18,2344.1
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,17,0.827232,0,2351.44,0.786496,2353.14,2353.05
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,18,0.825088,0,2351.12,0.796736,2352.83,2352.74
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,19,0.825536,0,2337.47,0.78848,2339.18,2339.09
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,20,0.826848,0,2360.32,0.790528,2362.02,2361.94
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,21,0.823552,0,2345.58,0.792544,2347.29,2347.2
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,22,0.824512,0,2341.36,0.789504,2343.06,2342.98
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,23,0.825696,0,2350.71,0.786432,2352.41,2352.32
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,24,0.833824,0,2334.63,0.791552,2336.34,2336.25
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,25,0.826112,0,2342.17,0.791552,2343.88,2343.79
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,26,0.824608,0,2347.61,0.78848,2349.31,2349.22
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,27,0.826208,0,2364.12,0.789504,2365.83,2365.74
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,28,0.824512,0,2345.08,0.79152,2346.79,2346.7
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,29,0.824448,0,2355.83,0.791488,2357.53,2357.44
