dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"P | P | P | P | N | D",1,161,0,0.587264,0.238488,0.834444,0.521216,2.30374,2.18141
3,float,uniform,GPU,"P | P | P | P | N | D",1,161,1,0.14448,0.212969,0.810075,0.285696,1.57081,1.45322
3,float,uniform,GPU,"P | P | P | P | N | D",1,161,2,0.139744,0.214449,0.786265,0.28672,1.56335,1.42718
3,float,uniform,GPU,"P | P | P | P | N | D",1,161,3,0.140704,0.213661,0.793403,0.287744,1.57123,1.43551
3,float,uniform,GPU,"P | P | P | P | N | D",1,161,4,0.134464,0.217586,0.793804,0.285696,1.56539,1.43155
3,float,uniform,GPU,"P | P | P | P | N | D",1,161,5,0.137408,0.213119,0.797871,0.28672,1.58175,1.43512
3,float,uniform,GPU,"P | P | P | P | N | D",1,161,6,0.138784,0.213162,0.794413,0.28672,1.56985,1.43308
3,float,uniform,GPU,"P | P | P | P | N | D",1,161,7,0.135776,0.214387,0.794658,0.285696,1.57312,1.43052
3,float,uniform,GPU,"P | P | P | P | N | D",1,161,8,0.141088,0.216499,0.795455,0.287744,1.57723,1.44079
3,float,uniform,GPU,"P | P | P | P | N | D",1,161,9,0.13904,0.216981,0.793498,0.288768,1.57678,1.43829
3,float,uniform,GPU,"P | P | P | P | N | D",1,161,10,0.141408,0.212906,0.795427,0.282624,1.57063,1.43236
3,float,uniform,GPU,"P | P | P | P | N | D",1,161,11,0.135136,0.212072,0.794976,0.289792,1.57184,1.43198
3,float,uniform,GPU,"P | P | P | P | N | D",1,161,12,0.137824,0.213845,0.789641,0.283648,1.55998,1.42496
3,float,uniform,GPU,"P | P | P | P | N | D",1,161,13,0.138688,0.215494,0.795973,0.287744,1.57398,1.4379
3,float,uniform,GPU,"P | P | P | P | N | D",1,161,14,0.137952,0.215156,0.794359,0.285696,1.56873,1.43316
3,float,uniform,GPU,"P | P | P | P | N | D",1,161,15,0.138432,0.212764,0.794452,0.2816,1.56316,1.42725
3,float,uniform,GPU,"P | P | P | P | N | D",1,161,16,0.13632,0.214451,0.802751,0.288768,1.57602,1.44229
3,float,uniform,GPU,"P | P | P | P | N | D",1,161,17,0.137376,0.215302,0.789976,0.284672,1.5618,1.42733
3,float,uniform,GPU,"P | P | P | P | N | D",1,161,18,0.139488,0.213813,0.792997,0.284672,1.56444,1.43097
3,float,uniform,GPU,"P | P | P | P | N | D",1,161,19,0.13984,0.21495,0.795661,0.28672,1.57058,1.43717
3,float,uniform,GPU,"P | P | P | P | N | D",1,161,20,0.137152,0.212553,0.795319,0.2816,1.56387,1.42662
3,float,uniform,GPU,"P | P | P | P | N | D",1,161,21,0.137728,0.210684,0.793712,0.283648,1.55875,1.42577
3,float,uniform,GPU,"P | P | P | P | N | D",1,161,22,0.136384,0.212167,0.807588,0.28672,1.57956,1.44286
3,float,uniform,GPU,"P | P | P | P | N | D",1,161,23,0.1352,0.212493,0.79547,0.284672,1.56411,1.42784
3,float,uniform,GPU,"P | P | P | P | N | D",1,161,24,0.145344,0.21326,0.790095,0.284672,1.5714,1.43337
3,float,uniform,GPU,"P | P | P | P | N | D",1,161,25,0.146464,0.214443,0.801811,0.285696,1.65222,1.44841
3,float,uniform,GPU,"P | P | P | P | N | D",1,161,26,0.145504,0.21222,0.796543,0.283648,1.57964,1.43792
3,float,uniform,GPU,"P | P | P | P | N | D",1,161,27,0.138016,0.212557,0.795919,0.283648,1.56643,1.43014
3,float,uniform,GPU,"P | P | P | P | N | D",1,161,28,0.135424,0.215079,0.796417,0.28672,1.57012,1.43364
3,float,uniform,GPU,"P | P | P | P | N | D",1,161,29,0.136128,0.215585,0.791827,0.288768,1.56726,1.43231
