dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,CPU,"D | D | D | D | D | D",8,369,0,14.2811,174.382,1.84486,0.483328,188.395,190.991
3,float,uniform,CPU,"D | D | D | D | D | D",8,369,1,11.5925,109.291,1.78232,0.205792,120.096,122.871
3,float,uniform,CPU,"D | D | D | D | D | D",8,369,2,11.4955,104.563,1.78027,0.203776,113.219,118.043
3,float,uniform,CPU,"D | D | D | D | D | D",8,369,3,11.3378,101.704,1.77648,0.200672,114.536,115.019
3,float,uniform,CPU,"D | D | D | D | D | D",8,369,4,11.3546,98.6519,1.77417,0.200704,103.961,111.981
3,float,uniform,CPU,"D | D | D | D | D | D",8,369,5,11.5372,99.7465,1.783,0.20064,111.27,113.267
3,float,uniform,CPU,"D | D | D | D | D | D",8,369,6,11.3454,111.342,1.7712,0.19968,120.33,124.659
3,float,uniform,CPU,"D | D | D | D | D | D",8,369,7,11.4731,102.816,1.77863,0.202688,113.145,116.27
3,float,uniform,CPU,"D | D | D | D | D | D",8,369,8,12.2172,103.605,1.79,0.206784,117.852,117.819
3,float,uniform,CPU,"D | D | D | D | D | D",8,369,9,11.5304,107.316,1.77683,0.199648,119.486,120.823
3,float,uniform,CPU,"D | D | D | D | D | D",8,369,10,11.3602,102.23,1.77823,0.19968,113.324,115.568
3,float,uniform,CPU,"D | D | D | D | D | D",8,369,11,11.5667,98.7487,1.79319,0.203744,111.409,112.312
3,float,uniform,CPU,"D | D | D | D | D | D",8,369,12,11.5807,93.0426,1.78071,0.20272,104.037,106.607
3,float,uniform,CPU,"D | D | D | D | D | D",8,369,13,11.5456,102.502,1.80414,0.205824,114.674,116.058
3,float,uniform,CPU,"D | D | D | D | D | D",8,369,14,11.6047,101.989,1.78094,0.202688,114.849,115.577
3,float,uniform,CPU,"D | D | D | D | D | D",8,369,15,12.1967,106.042,1.78779,0.210944,118.85,120.237
3,float,uniform,CPU,"D | D | D | D | D | D",8,369,16,11.3708,102.517,1.81484,0.200704,112.974,115.904
3,float,uniform,CPU,"D | D | D | D | D | D",8,369,17,11.6313,104.989,1.7843,0.204768,117.963,118.609
3,float,uniform,CPU,"D | D | D | D | D | D",8,369,18,11.3404,103.077,1.76835,0.198624,112.22,116.384
3,float,uniform,CPU,"D | D | D | D | D | D",8,369,19,11.35,103.549,1.8166,0.200704,116.337,116.917
3,float,uniform,CPU,"D | D | D | D | D | D",8,369,20,12.4718,104.043,1.79936,0.216064,116.762,118.53
3,float,uniform,CPU,"D | D | D | D | D | D",8,369,21,11.5684,112.562,1.84587,0.210944,123.953,126.188
3,float,uniform,CPU,"D | D | D | D | D | D",8,369,22,12.2023,105.948,1.79464,0.196576,120.171,120.142
3,float,uniform,CPU,"D | D | D | D | D | D",8,369,23,11.4863,99.2721,1.77543,0.200704,112.416,112.735
3,float,uniform,CPU,"D | D | D | D | D | D",8,369,24,11.6116,100.034,1.78587,0.204736,108.525,113.636
3,float,uniform,CPU,"D | D | D | D | D | D",8,369,25,11.518,104.538,1.77402,0.204768,114.183,118.035
3,float,uniform,CPU,"D | D | D | D | D | D",8,369,26,11.4894,103.52,1.77412,0.201664,115.077,116.985
3,float,uniform,CPU,"D | D | D | D | D | D",8,369,27,11.3654,104.707,1.77496,0.201696,116.667,118.049
3,float,uniform,CPU,"D | D | D | D | D | D",8,369,28,11.4422,112.542,1.7759,0.202752,113.528,125.963
3,float,uniform,CPU,"D | D | D | D | D | D",8,369,29,11.5443,102.184,1.78042,0.201696,115.159,115.71
