dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,465,0,0.492416,0,2231.65,1.01069,2229.07,2233.15
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,465,1,0.412064,0,1750.54,0.47616,1747.14,1751.42
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,465,2,0.422592,0,1737.57,0.484352,1734,1738.48
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,465,3,0.431296,0,1745.04,0.477184,1740.65,1745.94
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,465,4,0.412256,0,1740.14,0.480256,1737.19,1741.03
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,465,5,0.411392,0,1742.52,0.472064,1739.25,1743.4
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,465,6,0.408544,0,1740.36,0.468992,1735.93,1741.24
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,465,7,0.420704,0,1738.21,0.4864,1734.31,1739.12
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,465,8,0.409856,0,1735.05,0.470016,1731.71,1735.93
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,465,9,0.410464,0,1728.9,0.472064,1725.91,1729.78
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,465,10,0.409824,0,1731.29,0.470016,1730.85,1732.17
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,465,11,0.422304,0,1741.64,0.478208,1738.8,1742.54
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,465,12,0.409984,0,1733.24,0.46896,1729.48,1734.12
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,465,13,0.411968,0,1741.3,0.470016,1737.91,1742.19
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,465,14,0.412096,0,1732.56,0.467968,1729.5,1733.44
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,465,15,0.412768,0,1741.59,0.47104,1738.68,1742.48
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,465,16,0.421408,0,1742.35,0.478208,1739.05,1743.25
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,465,17,0.41552,0,1743.75,0.470016,1741.39,1744.64
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,465,18,0.413504,0,1747.06,0.468992,1743.31,1747.94
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,465,19,0.414208,0,1748.66,0.47104,1745.14,1749.54
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,465,20,0.424832,0,1759.31,0.482304,1754.56,1760.22
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,465,21,0.409312,0,1752.32,0.468992,1747.89,1753.2
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,465,22,0.411648,0,1736.93,0.470016,1733.62,1737.81
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,465,23,0.419616,0,1811.81,0.470016,1797.73,1812.7
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,465,24,0.410976,0,1745.26,0.467968,1741.58,1746.14
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,465,25,0.410048,0,1743.08,0.463872,1737.73,1743.96
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,465,26,0.41104,0,1755.14,0.470016,1752.45,1756.02
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,465,27,0.417696,0,1757.57,0.466944,1754.58,1758.45
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,465,28,0.421856,0,1754.98,0.472064,1751.97,1755.87
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",6,465,29,0.411296,0,1738.87,0.473088,1736.71,1739.75
