dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",1,161,0,14.9396,0.39562,1.4171,0.68608,17.5528,17.4384
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",1,161,1,14.0644,0.381695,1.41823,0.48128,16.4379,16.3456
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",1,161,2,13.8867,0.379574,1.39437,0.484352,16.2342,16.1449
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",1,161,3,14.2059,0.378296,1.39535,0.48128,16.5521,16.4608
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",1,161,4,14.1777,0.380562,1.4136,0.478208,16.5388,16.4501
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",1,161,5,13.9596,0.385503,1.40007,0.477184,16.3159,16.2224
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",1,161,6,14.229,0.384813,1.3995,0.480256,16.5849,16.4936
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",1,161,7,14.1687,0.381891,1.39911,0.48128,16.5217,16.431
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",1,161,8,14.2644,0.382168,1.39986,0.48128,16.6196,16.5278
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",1,161,9,14.1829,0.382763,1.46558,0.485376,16.6065,16.5167
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",1,161,10,14.2069,0.378741,1.4035,0.478208,16.555,16.4674
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",1,161,11,14.1812,0.379943,1.39041,0.48128,16.5226,16.4328
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",1,161,12,14.0242,0.382576,1.3991,0.485376,16.3843,16.2912
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",1,161,13,13.8986,0.384319,1.41735,0.482304,16.2876,16.1826
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",1,161,14,14.2076,0.379371,1.40336,0.480256,16.5612,16.4705
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",1,161,15,14.0101,0.386009,1.4497,0.48128,16.4178,16.3271
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",1,161,16,14.1828,0.402574,1.39814,0.480256,16.5592,16.4637
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",1,161,17,14.1231,0.381942,1.39712,0.483328,16.479,16.3855
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",1,161,18,13.9971,0.380537,1.40311,0.48128,16.3538,16.2621
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",1,161,19,13.977,0.37948,1.39848,0.479232,16.325,16.2342
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",1,161,20,14.0932,0.380288,1.40649,0.480256,16.4504,16.3602
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",1,161,21,14.0018,0.380196,1.39969,0.480256,16.3539,16.262
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",1,161,22,14.0419,0.404869,1.39893,0.48128,16.4191,16.327
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",1,161,23,13.9701,0.378871,1.40124,0.480256,16.3163,16.2305
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",1,161,24,14.0293,0.427505,1.40256,0.482304,16.4407,16.3417
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",1,161,25,14.1695,0.381138,1.40634,0.477184,16.5236,16.4341
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",1,161,26,14.0935,0.380381,1.40366,0.478208,16.4426,16.3558
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",1,161,27,14.1697,0.380629,1.40391,0.477184,16.5244,16.4314
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",1,161,28,14.0942,0.381305,1.39844,0.480256,16.4787,16.3542
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",1,161,29,14.18,0.381407,1.39532,0.480256,16.527,16.437
