dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",6,323,0,0.956192,302.29,2.22103,1.00762,306.631,306.475
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",6,323,1,0.303648,229.772,2.2187,0.641024,233.024,232.936
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",6,323,2,0.304192,225.109,2.19878,0.649216,220.325,228.261
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",6,323,3,0.30624,211.146,2.16507,0.645024,213.905,214.262
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",6,323,4,0.30912,212.303,2.16672,0.647104,213.492,215.426
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",6,323,5,0.304192,241.797,2.17916,0.654336,244.974,244.935
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",6,323,6,0.309696,208.66,2.18471,0.654336,211.888,211.809
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",6,323,7,0.303296,212.544,2.17887,0.64512,215.777,215.671
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",6,323,8,0.307136,217.944,2.1994,0.65024,221.105,221.101
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",6,323,9,0.302656,209.599,2.18827,0.648192,209.067,212.739
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",6,323,10,0.306592,214.273,2.19358,0.6512,217.543,217.424
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",6,323,11,0.30336,210.203,2.22292,0.644096,213.417,213.373
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",6,323,12,0.310816,218.39,2.18257,0.644,221.642,221.527
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",6,323,13,0.301728,212.759,2.21768,0.647168,216.002,215.925
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",6,323,14,0.3008,208.415,2.17453,0.64512,211.374,211.535
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",6,323,15,0.316128,208.412,2.19806,0.65536,210.628,211.582
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",6,323,16,0.314752,209.337,2.17781,0.645056,212.581,212.474
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",6,323,17,0.304544,222.008,2.18624,0.653312,211.522,225.152
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",6,323,18,0.303136,209.413,2.16906,0.644064,209.808,212.529
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",6,323,19,0.305696,208.303,2.17089,0.645088,211.529,211.424
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",6,323,20,0.303808,208.579,2.18379,0.648192,210.076,211.715
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",6,323,21,0.298592,208.391,2.15829,0.645088,210.765,211.493
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",6,323,22,0.300928,209.162,2.21316,0.64,208.879,212.316
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",6,323,23,0.30352,209.103,2.21762,0.646144,208.946,212.27
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",6,323,24,0.298976,207.631,2.17043,0.644,209.973,210.745
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",6,323,25,0.305056,209.557,2.17018,0.644,212.309,212.676
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",6,323,26,0.304,208.791,2.20577,0.643072,211.594,211.943
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",6,323,27,0.306272,216.134,2.16059,0.644064,208.663,219.245
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",6,323,28,0.306528,219.961,2.20821,0.654336,223.178,223.13
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",6,323,29,0.307904,208.12,2.18156,0.65024,211.077,211.26
