dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",2,203,0,15.6591,8.75683,1.1658,0.360448,26.0587,25.9422
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",2,203,1,14.8288,1.44406,1.2282,0.219136,17.8029,17.7202
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",2,203,2,14.866,1.40243,1.21165,0.222208,17.7863,17.7023
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",2,203,3,14.8003,1.39454,1.21894,0.22016,17.7196,17.6339
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",2,203,4,14.7263,1.40236,1.21835,0.221184,17.6576,17.5682
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",2,203,5,14.5378,1.40269,1.21463,0.22016,17.4696,17.3753
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",2,203,6,14.5724,1.39596,1.2167,0.222208,17.496,17.4073
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",2,203,7,14.7406,1.39245,1.21604,0.219136,17.654,17.5682
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",2,203,8,14.3768,1.46936,1.21416,0.22016,17.368,17.2805
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",2,203,9,14.8719,1.4145,1.21755,0.22016,17.8181,17.7241
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",2,203,10,14.7375,1.41133,1.2158,0.218112,17.6746,17.5828
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",2,203,11,14.8876,1.40111,1.21687,0.222208,17.8208,17.7278
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",2,203,12,14.5438,1.41276,1.21369,0.218112,17.4778,17.3884
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",2,203,13,14.7103,1.41126,1.26892,0.219136,17.7016,17.6096
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",2,203,14,14.5461,1.40283,1.21722,0.222208,17.4708,17.3883
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",2,203,15,14.7206,1.39959,1.21198,0.223232,17.6426,17.5554
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",2,203,16,14.7532,1.40398,1.21186,0.221184,17.6802,17.5902
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",2,203,17,14.5177,1.4753,1.21644,0.219136,17.5205,17.4285
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",2,203,18,14.6258,1.49239,1.13602,0.214016,17.5499,17.4682
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",2,203,19,14.8053,1.398,1.22025,0.219136,17.7327,17.6427
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",2,203,20,14.4933,1.41211,1.21766,0.223232,17.4885,17.3463
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",2,203,21,14.5791,1.39524,1.22401,0.221184,17.5034,17.4195
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",2,203,22,14.7171,1.39345,1.21431,0.221184,17.6505,17.546
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",2,203,23,14.7232,1.41046,1.21629,0.222208,17.6609,17.5722
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",2,203,24,14.6841,1.4224,1.21861,0.22016,17.6333,17.5453
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",2,203,25,14.8546,1.39574,1.21177,0.22016,17.7712,17.6823
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",2,203,26,14.6799,1.40123,1.21456,0.221184,17.6069,17.5169
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",2,203,27,14.8905,1.40409,1.21631,0.218112,17.8211,17.729
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",2,203,28,14.5332,1.39636,1.2088,0.219136,17.4526,17.3575
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",2,203,29,14.8757,1.40288,1.21552,0.219136,17.8038,17.7133
