dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"P | P | P | P | D | N",1,161,0,15.2031,0.399389,1.4283,0.687104,17.837,17.7179
3,double,uniform,CPU,"P | P | P | P | D | N",1,161,1,13.9828,0.380573,1.40712,0.482304,16.342,16.2528
3,double,uniform,CPU,"P | P | P | P | D | N",1,161,2,14.143,0.383546,1.3872,0.482304,16.4881,16.396
3,double,uniform,CPU,"P | P | P | P | D | N",1,161,3,14.1569,0.379418,1.39561,0.48128,16.5228,16.4132
3,double,uniform,CPU,"P | P | P | P | D | N",1,161,4,14.1849,0.37828,1.40333,0.482304,16.5348,16.4488
3,double,uniform,CPU,"P | P | P | P | D | N",1,161,5,14.2029,0.379419,1.39771,0.480256,16.548,16.4603
3,double,uniform,CPU,"P | P | P | P | D | N",1,161,6,13.8018,0.385214,1.41083,0.483328,16.1755,16.0812
3,double,uniform,CPU,"P | P | P | P | D | N",1,161,7,14.3148,0.3901,1.4053,0.483328,16.6811,16.5936
3,double,uniform,CPU,"P | P | P | P | D | N",1,161,8,14.0844,0.445364,1.3994,0.479232,16.4967,16.4083
3,double,uniform,CPU,"P | P | P | P | D | N",1,161,9,14.0781,0.38166,1.41697,0.479232,16.443,16.356
3,double,uniform,CPU,"P | P | P | P | D | N",1,161,10,13.9958,0.379249,1.40259,0.480256,16.3455,16.2579
3,double,uniform,CPU,"P | P | P | P | D | N",1,161,11,14.0641,0.380338,1.4004,0.478208,16.4112,16.3231
3,double,uniform,CPU,"P | P | P | P | D | N",1,161,12,14.0652,0.384843,1.39815,0.48128,16.4177,16.3294
3,double,uniform,CPU,"P | P | P | P | D | N",1,161,13,14.0513,0.379822,1.40919,0.480256,16.4234,16.3206
3,double,uniform,CPU,"P | P | P | P | D | N",1,161,14,13.9659,0.382691,1.40779,0.482272,16.3301,16.2386
3,double,uniform,CPU,"P | P | P | P | D | N",1,161,15,14.1714,0.378662,1.40234,0.480256,16.5222,16.4327
3,double,uniform,CPU,"P | P | P | P | D | N",1,161,16,13.9224,0.383139,1.40115,0.483328,16.2844,16.19
3,double,uniform,CPU,"P | P | P | P | D | N",1,161,17,14.0309,0.378452,1.39569,0.48128,16.3822,16.2863
3,double,uniform,CPU,"P | P | P | P | D | N",1,161,18,13.9543,0.384384,1.40287,0.48128,16.3106,16.2229
3,double,uniform,CPU,"P | P | P | P | D | N",1,161,19,14.075,0.378633,1.39748,0.478208,16.414,16.3293
3,double,uniform,CPU,"P | P | P | P | D | N",1,161,20,14.1299,0.382363,1.40683,0.480256,16.4897,16.3993
3,double,uniform,CPU,"P | P | P | P | D | N",1,161,21,14.1982,0.390043,1.40379,0.48128,16.5584,16.4733
3,double,uniform,CPU,"P | P | P | P | D | N",1,161,22,14.2135,0.38048,1.40305,0.482304,16.574,16.4793
3,double,uniform,CPU,"P | P | P | P | D | N",1,161,23,14.2996,0.379393,1.40479,0.480256,16.6664,16.564
3,double,uniform,CPU,"P | P | P | P | D | N",1,161,24,13.9746,0.384488,1.40247,0.480256,16.3442,16.2418
3,double,uniform,CPU,"P | P | P | P | D | N",1,161,25,14.0333,0.381842,1.39459,0.483328,16.3827,16.2931
3,double,uniform,CPU,"P | P | P | P | D | N",1,161,26,14.1488,0.382159,1.4019,0.478208,16.5128,16.4111
3,double,uniform,CPU,"P | P | P | P | D | N",1,161,27,13.9206,0.38086,1.40162,0.480256,16.359,16.1834
3,double,uniform,CPU,"P | P | P | P | D | N",1,161,28,13.9415,0.379831,1.39848,0.480256,16.2837,16.2
3,double,uniform,CPU,"P | P | P | P | D | N",1,161,29,14.0534,0.38093,1.39978,0.497664,16.4187,16.3318
