dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,CPU,"D | D | D | D | D | D",6,323,0,12.6132,129.069,0.942333,0.585696,143.37,143.211
3,float,uniform,CPU,"D | D | D | D | D | D",6,323,1,10.9997,63.308,0.923672,0.176096,75.5081,75.4075
3,float,uniform,CPU,"D | D | D | D | D | D",6,323,2,10.8116,66.2009,0.883245,0.171968,78.1158,78.0677
3,float,uniform,CPU,"D | D | D | D | D | D",6,323,3,10.8656,67.7536,0.881158,0.173024,79.7476,79.6734
3,float,uniform,CPU,"D | D | D | D | D | D",6,323,4,10.9258,66.6426,0.880392,0.173056,78.6672,78.6219
3,float,uniform,CPU,"D | D | D | D | D | D",6,323,5,10.8986,65.9674,0.890212,0.175072,77.9382,77.9312
3,float,uniform,CPU,"D | D | D | D | D | D",6,323,6,10.8627,58.6956,0.880138,0.172,70.6471,70.6104
3,float,uniform,CPU,"D | D | D | D | D | D",6,323,7,10.9039,70.729,0.882688,0.171968,82.7066,82.6876
3,float,uniform,CPU,"D | D | D | D | D | D",6,323,8,10.9079,72.7411,0.87927,0.174016,84.7222,84.7022
3,float,uniform,CPU,"D | D | D | D | D | D",6,323,9,10.9032,73.4927,0.886295,0.173024,85.5555,85.4552
3,float,uniform,CPU,"D | D | D | D | D | D",6,323,10,10.9457,68.0649,0.881155,0.175104,80.1672,80.0669
3,float,uniform,CPU,"D | D | D | D | D | D",6,323,11,10.9132,69.4935,0.883564,0.177088,81.4957,81.4673
3,float,uniform,CPU,"D | D | D | D | D | D",6,323,12,10.9391,65.4262,0.886164,0.176128,77.4331,77.4275
3,float,uniform,CPU,"D | D | D | D | D | D",6,323,13,11.0319,67.7501,0.891749,0.172032,79.9536,79.8458
3,float,uniform,CPU,"D | D | D | D | D | D",6,323,14,10.9805,73.3406,0.892758,0.175104,85.4913,85.389
3,float,uniform,CPU,"D | D | D | D | D | D",6,323,15,10.9151,77.0428,0.883028,0.172032,89.0717,89.013
3,float,uniform,CPU,"D | D | D | D | D | D",6,323,16,10.9222,72.8526,0.879821,0.173024,84.943,84.8276
3,float,uniform,CPU,"D | D | D | D | D | D",6,323,17,10.8941,69.7705,0.886394,0.175072,81.8282,81.7261
3,float,uniform,CPU,"D | D | D | D | D | D",6,323,18,10.7491,65.9093,0.882811,0.173024,77.7891,77.7142
3,float,uniform,CPU,"D | D | D | D | D | D",6,323,19,10.7864,65.6651,0.881281,0.17504,77.5644,77.5078
3,float,uniform,CPU,"D | D | D | D | D | D",6,323,20,10.8358,67.5824,0.891927,0.17408,79.5865,79.4842
3,float,uniform,CPU,"D | D | D | D | D | D",6,323,21,10.8487,63.3166,0.893654,0.176128,75.3339,75.235
3,float,uniform,CPU,"D | D | D | D | D | D",6,323,22,10.9175,67.0393,0.879932,0.174048,79.0688,79.0108
3,float,uniform,CPU,"D | D | D | D | D | D",6,323,23,10.799,64.8913,0.880592,0.172992,76.8014,76.7439
3,float,uniform,CPU,"D | D | D | D | D | D",6,323,24,11.0017,69.3613,0.891403,0.17408,81.542,81.4285
3,float,uniform,CPU,"D | D | D | D | D | D",6,323,25,11.0251,65.0469,0.890546,0.175072,77.2371,77.1376
3,float,uniform,CPU,"D | D | D | D | D | D",6,323,26,10.9783,63.0777,0.882593,0.174048,75.2168,75.1126
3,float,uniform,CPU,"D | D | D | D | D | D",6,323,27,10.7902,66.2968,0.879924,0.171968,78.1957,78.1389
3,float,uniform,CPU,"D | D | D | D | D | D",6,323,28,10.8259,81.1324,0.87982,0.17504,93.0817,93.0131
3,float,uniform,CPU,"D | D | D | D | D | D",6,323,29,10.885,71.1287,0.889641,0.176064,83.1804,83.0793
